宮本フレデリカ,～♪
橘ありす,おはようございます
フレデリカ,あ、あれ！？ありすちゃん、今日は早いね？
ありす,いえ、飼ってるガラパゴスゾウガメに起こされまして……
フレデリカ,ガラパゴスゾウガメ！？
ありす,？
フレデリカ,そ、そんな個性的なペット飼ってたっけ！？
ありす,なに言ってるんですか……。いつも話してる、ガラパゴスゾウガメのガラパゴちゃんですよ
フレデリカ,ネーミングセンスひどいね！？なんでカメ要素をなくしちゃったの！
ありす,カワイイんですよ？たまに指を噛みちぎろうとしてきたり
フレデリカ,エピソードはぜんっぜんかわいくないけど！？。よ、よくわかんないんだけど、ゾウガメって、すっごく大きいんじゃないの？
ありす,まだ仁奈さんよりは小さいですよ
フレデリカ,比べる相手が人間って時点でちょっとどうなのかなー……
ありす,フレデリカさんは、なにかペットとか飼ってますか？
フレデリカ,う、ううん、飼ってないよー
ありす,それでも宮本ですか！？
フレデリカ,苗字で！？
ありす,この伊達メガネ！
フレデリカ,掛けてないよー！？
ありす,飼ってみたい動物はいないんですか？
フレデリカ,え？うーん……。フレちゃんねー！ヤンバルクイナが飼いたい！
ありす,ヤンバルクイナは鳴き声がうるさかったのでオススメできないですね
フレデリカ,飼ったことあるの！？
ありす,あれは私が軍に入る前……。まだ各地を転々としていた時の話です
フレデリカ,掘り下げたい過去のオンパレードだね！？
ありす,まだ、現在のように日本とフランスを1時間では往復できなかった時代……
フレデリカ,それは今でも普通に無理だよ！？。あ、ありすちゃん？
ありす,ありすです！
フレデリカ,いや、そう呼んだんだけど……
ありす,どうしましたか？ヒトが鉄砲喰らったような顔して
フレデリカ,それ死んでるんじゃないかな
ありす,言いたいことがあるならにょっきり言ってください！
フレデリカ,言語センス大丈夫！？。い、いやー。今日のありすちゃん、ちょっと変っていうか……
ありす,あれ？気づいたんですか？
フレデリカ,え？な、なにかあったの？
ありす,この髪飾り、新しいやつなんですよ
フレデリカ,そういうことじゃなくってー……！
ありす,身長も0.1センチ伸びましたし
フレデリカ,それは誤差なんじゃないかなーって
ありす,株式も上場しましたし
フレデリカ,本当に何の話！？
ありす,そんなことよりフレデリカさん！
フレデリカ,ど、どうしたの？
ありす,どうしたの？じゃないですよ！今日のCM撮影！ちゃんと台本に目を通しましたか？
フレデリカ,あれ！？そんな仕事あったっけ！？
ありす,まったく……、いつもアドリブだからって、そんなんじゃ困ります！
フレデリカ,ごめんねー？それで、なんのCMだったっけ？
ありす,ビールです
フレデリカ,ダメでしょ！？。ふ、２人とも未成年なのに！？
ありす,オファーが来てしまったんですから仕方がありません
フレデリカ,マーケティング戦略がおかしいよー……
ありす,では、大まかな流れを確認しますね
フレデリカ,うん……
ありす,まず全裸に
フレデリカ,いきなり！？
ありす,あ、これ由里子さんのメモでした
フレデリカ,そういうのいいからね！？
ありす,えっと、まず私が歩いていると、ひったくりにカバンを盗られてしまいます
フレデリカ,うんうん
ありす,そこで缶ビール(未開封)を持ったフレデリカさんが登場！
フレデリカ,普通は持ってるのもおかしいのに
ありす,フレデリカさんは逃げるひったくりに缶ビールを投げつける！
フレデリカ,！？
ありす,見事にひったくりに当たって確保。ハッピーエンドです
フレデリカ,それでビールの売り上げは伸びないんじゃない！？
ありす,あ、瓶ビールがいいですか？
フレデリカ,そうじゃないよ！街中で瓶ビール投げたらフレちゃんの方がよっぽど犯罪者だよ！
ありす,なにか質問はありますか？
フレデリカ,わからないことだらけなんだけど……。あ、どこで撮影するんだっけ？
ありす,夢の国です
フレデリカ,なんでそこにケンカ売っちゃうのかなー！？
ありす,誰がイッツアスモールワールドですか！
フレデリカ,被害妄想！！！
ありす,……フレデリカさん、ちょっと今日はおとなしいですね？
フレデリカ,そ、そんなことないよー☆
ありす,いえ、いつもならこの辺りで警察の介入があるところなんですが
フレデリカ,そこまで過激なことはしてないよ！？
ありす,口癖がパリでは日常茶飯事だぜ！じゃないですか
フレデリカ,フレちゃんだけでなくパリにもふーひょー被害が！。も、もっと平和な話をしようよ！
ありす,そうですか……。あ、考えてくれましたか？あの話
フレデリカ,えーっと……、なんの、話かな……？
ありす,忘れるなんて酷いです！
フレデリカ,ご、ごめんね！
ありす,同棲の話ですよ！
フレデリカ,！？！？！？。ど、同棲！？誰と誰が！？
ありす,決まってるじゃないですか！私とフレデリカさんがです！
フレデリカ,あ、ありすちゃん、フレちゃんといて疲れるんじゃないの？
ありす,何を言ってるんですか！こんなにも毎日想いを伝えているのに！
フレデリカ,えええ！？
ありす,ラノベの難聴系主人公かっ！
フレデリカ,そういうツッコミは待ってなかったけど！？
ありす,どうして伝わらないんですか？
フレデリカ,え？
ありす,どうして？
フレデリカ,あ、ありす……ちゃん？
ありす,どうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうしてどうして
