白石紬,765プロに来て、もうすぐ１か月
紬,はじめは不安でしたが、皆いい人ばかりでなんとかアイドルを続けられています。ですが……
七尾百合子,私は、風の戦士！
伴田ロコ,ふっふっふ。このアート、エクセレントでマーベラスです！
北上麗花,このプリン、とってもおいしいです♪
野々原茜,ああ！茜ちゃんのプリンがまたなくなってる！
紬,この事務所、うち以外の人が個性的すぎる！？。個性……個性を探さんと
天海春香,うう……、おはようございます
紬,おはようございます。……どうして落ち込んでおられるのですか？
春香,聞いてよ、紬ちゃん！さっき事務所の前でプロデューサーさんになんでピンピンしてるんだ？
紬,なっ！あの方はなんとひどいことを
春香,事務所に来るまでに５回こけましたって言っただけなのに
紬,どうしてピンピンしてるのですか？
春香,そういう紬ちゃんこそ、なんか悩んでるっぽかったけど
紬,じつはかくかくしかじかで
春香,個性かぁ。紬ちゃん、すごくキャラたってると思うけどなぁ。私なんて、これといった特徴ないし
紬,天海さんにはやらかし属性があるではないですか
春香,言い方ってものがあると思うんだ。それなら、みんなを観察してみようよ。例えば口調とか
紬,伴田さんは英語を混ぜて喋っていますね
春香,うんうん。美希はなの
紬,口癖……。わかりました。やってみます。紬ね、子豚ちゃんのためにビビッとアイドルがんばりますぅ。あらあら～。自分、今週レッスンがいっぱいなのなんだけど。なんとぉ！このトーキング、面妖でわんだほーでわっほーい！！
春香,うるさい！！！！。気を取り直して。次はファッションを考えてみよう
紬,ファッション、ですか。高槻さんはいつもカラフルな格好をされていますね
春香,可憐ちゃんはいつも派手な服着てるよね
紬,私は、その、あのような格好はちょっと
春香,紬ちゃんらしい格好でいいんだよ。好きなファッションとかあるの？
紬,着物が好きです。実家が呉服屋ですから
春香,へぇそうなんだ！そういえば、歌織さんもお父さんが自衛官だって言ってたし、ふたりとも珍しい家柄なんだね
紬,ううっ！？
春香,もしかして、まだあの面接のこと引きずってるのかな。自家といえばお嬢様って多いよね。伊織や雪歩、千鶴さんとか
紬,みなさんとは劇場でしか会えていないので、つい忘れそうになります
春香,私も千鶴さんがどんな家に住んでいるのか知らないなぁ。大きな洋館なのかな？
紬,和風のお屋敷かもしれません
春香,ディナーには大きくてやわらかいステーキとかフォアグラが出てきたりして
紬,一流シェフがつくった日替わりデザートを毎日食べているのでしょうか？
春香,気になるなぁ。今度、みんなで千鶴さんのお家にお泊りしに行ってみたいね！
二階堂千鶴,はっくしょん！……風邪？早くスーパーでお肉買って帰らないと
春香,あっ、そうだ食べ物！紬ちゃん、和スイーツが大好きだったよね？
紬,は、はい。休日はよく甘味処を散策しています
春香,それだよ！紬ちゃん、スイーツ大好きキャラで押していこう！
紬,！！？
春香,お菓子大好きな女の子ってとってもかわいいと思うよ
紬,お菓子……かわいい……
春香,オンリーワンですよ、オンリーワン！
紬,うちにも、個性が
星梨花,みなさん、クッキー持ってきました♪
まつり,はいほー！とってもラブリーなマシュマロもいかがなのです？
貴音,１０個ずついただけますか？
紬,
春香,わ、和風じゃないからだいじょうぶ
エミリー,抹茶ロールもいかがですか？
紬,
春香,そういえば私の趣味、お菓子作りだった
紬,個性とはなんとも奥深いものなのですね
春香,……ねぇ紬ちゃん。私ね、個性ってむりやりつくるものじゃないと思うんだ
紬,？どういうことでしょうか？
春香,私はよくこけちゃうけど、わざとやってるわけじゃない。紬ちゃんがわざと転んでも、きっとそれは個性とはいえないんじゃないかな
紬,……
春香,紬ちゃんは個性ってなんだろうって悩んでいたでしょ？私、そういうことあまり考えたことなかったからすごく感心しちゃった。いろいろ悩んで行動してショックを受ける、それは紬ちゃんだからできることなんだよ。人の個性を尊敬することは大切だけど、自分と比較するものでもないと思うんだ
紬,……そう、なのでしょうか
春香,それにね、前にも言ったけど、紬ちゃんってたくさん個性があって魅力的な女の子だからね。私からしたら贅沢な悩みだよ、もうっ！。普通の人は面妖でわんだほーでわっほーい！！
紬,……天海さん。ありがとう、ございます。とても参考になりました
春香,えへへ。……っと、そろそろレッスンの時間！紬ちゃん、行こっか
紬,はい！！。おはようございます！
春香,……おはよう紬ちゃん
紬,どうしたのですか？なにやら落ち込んでるようですが
春香,プロデューサーさんにまたひどいこと言われちゃって……
紬,あの方の失礼な発言も、天海さんのずっこけ体質も、きっと個性のひとつなのでしょう。無暗に突っ込んではいけないことを、昨日教えていただきましたね。私でよろしければお話ください。昨日はとてもお世話になりましたので
春香,ありがとう。実は今日ね。事務所に来るまでに２０回こけたんだけど
紬,どうしてピンピンしてるのですか！？
