本田未央,おっつかれさまでー
渋谷凛,未央！知ってる！？
未央,うわぁ！？ど、どうしたの？
凛,宗教法人って儲かるんだって！
未央,オチで痛い目を見るタイプのギャグ漫画の主人公みたいなこと言い出した
凛,昨日、ちょっと考え事をしてたんだ
未央,はあ……。もはや杏ちゃんでも言わないレベルだよ。というか考える作業すら外部委託してるじゃん
凛,そうしたら、こう返ってきてね
未央,それSiriじゃない！？。食い下がるのか……。根に持たれてる！！！
凛,だから、Googleで調べることにしたの
未央,今のSiriのくだり全くいらないじゃん
凛,でも、いきなりネットで調べるのは危ないと思ったんだ。ほら、今は悪質なサイトとか、不確定な情報が溢れてるからね
未央,おおう……そこのリテラシーはあるのかしぶりんよ……
凛,だから、Googleで調べるためにGoogleでの調べ方をGoogleで調べることにしたんだ
未央,……ん！？
凛,でも、いきなりネットで調べるのは危ないと思ったんだ。ほら、今は悪質なサイトとか、不確定な情報が溢れてるからね
未央,待って！待って！
凛,だから、Googleで調べるためにGoogleでの調べ方をGoogleで調べるためにGoogleでの調べ方をGoogleで調べることにしたんだ
未央,止まって！！！いろいろ崩壊してきた！！！
凛,でも、いきなりネットでででででででででででで
未央,バグった！！！！！
凛,ででででででででででででででででででで
未央,えっヤバいヤバいヤバいしぶりんバグっちゃった！
凛,ででででででででででででででででででで
未央,どうしようどうしようどうしよう！？。えっ！？この声は……！。そんなことできたの！？。脳内に話しかけられたことで私の混乱は悪化の一途を辿ってるよ。いやいや流石のグーグル先生もこの状況は管轄外だと思うよ！？。この検索履歴を誰かに見られたら終わるんだけど。え？。そろそろそのフレーズがトラウマになりそうなんだけど！？。お前もバグるのかよ！！！！！！
凛,いたたた……
未央,次同じことになったら無条件でグーパンだかんね
凛,厳しいね
未央,何かに取り憑かれたのかと思うレベルだったよ
凛,"取り憑かれた"
未央,うぇ！？
凛,この前テレビでさ？悪魔祓いをお寺でやってもらってるのを見たんだよ。お祓いってやつだね。その値段、いくらだったと思う？5万円だって！5万円！
未央,急に喋るね！？
凛,あんなムニャムニャムニャムニャカシコミカシコミ言ってキエーって言ってるだけで5万円だよ！？
未央,かりりんに謎の流れ弾が
凛,もうこれは宗教法人で一儲けするしかないって思って、さっきに戻るんだ
未央,もしかしてこのためにバグるくだりとかやったの！？
凛,当然じゃん
未央,あのテレパシーは！？
凛,まあまあ、細かいことはいいでしょ？
未央,細かくないよ！？むしろそっち極めた方がよっぽど儲けが期待できるよ！？。えっ、ていうか演技なのに普通に叩いちゃったよ。ごめんね？
凛,……未央、優しすぎない？
未央,はい？
凛,ううん、なんでもない。じゃ、儲けようか
未央,その切り出し方から実際に儲かってる人見たことないんだけど
凛,そもそも、何で宗教法人が儲かるのか知ってる？
未央,いや、知ってるわけないじゃん……
凛,しょうがないな……私が未央に教えてあげるよ
未央,ぶっちゃけ聞きたくはないよ
凛,私が番組の台本を捨てて蓄えた知識に驚くといいよ……！
未央,だからこの前の収録アドリブばっかりだったのか！コイツ！！！
凛,とは言っても、中身は簡単なんだ。宗教法人っていうのは法人税がかからなかったり、その他税金での優遇があるみたい
未央,アイドル生活に絶対必要ない知識が増えていく……
凛,他にもいろいろあるみたいなんだけど、とにかく信者を増やしてお布施をもらえばいいんだよ！
未央,ホントにろくでもないな……
凛,じゃ、未央、渋谷教の1人目の信者として、どうすれば布教できるか考えて？
未央,断る間もなく巻き込まれてる
凛,あっ、でも大丈夫、変なツボを買わせたりとかはまだしないからさ
未央,今後する予定があるのかよ
凛,まずはアレだね、聖地！
未央,本格的に練り始めないで
凛,やっぱりこの事務所がいいかな？ウチの学校とかでもいいかも
未央,他人の土地で宗教を開くな！
凛,じゃあ実家か……、花屋は廃業だね
未央,想像の中で廃業させられるご両親が不憫で仕方ないよ
凛,実家の前にお賽銭箱を置くとして……
未央,開祖というより物乞いの方が近くなってる気がするんだけど
凛,宗教というからには、何か"教え"があった方がいいよね
未央,……まあ、宗教によって毎日の習慣が決まってる人はいるからね
凛,どうしよっか……？何か例ってある？
未央,そういうのGoogleに聞けばいいのに
凛,未央の方が頼りになるからさ。あと、いきなりネットで調べるのは
未央,わーわーわー！！！もうその流れはいいから！。ま、まぁよく聞くのは、"1日に3回、聖地の方向に頭を下げる"とか、"豚肉は食べてはならない"とかじゃない？
凛,なるほど……じゃあ"1日に3回は豚に頭を下げる"でいこう
未央,考えうる限り最悪の組み合わせだよ。これは何の集まり？
凛,渋谷教だけど？
未央,しぶりんの実家でみんなで豚に頭下げてるのに？
凛,豚肉に頭を下げるよりマシでしょ
未央,生肉に頭を下げ始めたらそれは黒魔術と説明した方が早いよ
凛,じゃあ生姜焼きにしておこうか
未央,もうそれはただの"いただきます"じゃないのかな。急に和やか
凛,そのあたりは一旦置いておこうか
未央,そっちが話し始めたんだからね？
凛,何よりも大切なのは、"この宗教に入ったらこんなに良いことがありますよ！"っていうウリだと思うんだ
未央,確かにそれは大切だと思うけど……
凛,現代社会の厳しさに疲れ果てた人々……。そんな人たちに私ができること……それは……
未央,そ、それは……？
凛,歌って踊ること……！
未央,……へ？
凛,うん、そうだよ、私にはこの恵まれたビジュアルと歌声がある……！
未央,言い方は引っかかるけど
凛,皆からお布施をもらって、その代わりに歌を届ける……！時には私の写真や手書きの印を渡して、少しでも元気になってくれれば……！
未央,……
凛,そうだ、そうすれば、花屋のままで聖地として、巡礼によって花屋も儲かる……！
未央,……
凛,決めたよ、未央。私、アイドル辞める。教祖になって、歌とダンスでみんなを元気にする！
未央,……
凛,……
未央,……い
凛,……？
未央,今とやってること変わんねえ！！！！！！。一緒じゃん！！！今と！！！
凛,た、確かに……！
未央,アイドル続けてよ！ユニットメンバーが教祖にジョブチェンジするこっちの身にもなってよ！
凛,つまり、アイドルは宗教だった……！？
未央,おおっと危ない方向に考察が向かったぞ！？
凛,だって、おかしいよ……。存在しない偶像にお金をあんなに
未央,ストーップ！！！！！
凛,割と多くの人が救われてないし、もしかして宗教よりタチが悪いんじゃ
島村卯月,アイドル忍法！記憶飛ばし！
凛,とりにてぃ！！！
未央,しぶりん！！！ちょっと新曲の宣伝挟んで倒れたしぶりん！！！！！
卯月,峰打ちです……！
未央,徒手空拳の人のセリフじゃないよ！？ってかいつからいたの！？
卯月,危ないところでした……！
未央,質問に答えて
凛,う、ううん……
未央,あ、しぶりん！
凛,あれ……寝てた……？あ、卯月
卯月,おはようございます♪
凛,なんか記憶が曖昧だな……
卯月,気のせいですよ！
凛,未央が"新しい宗教を開くぞー！"って言ってたところまでは覚えてるんだけど……
未央,言ってないよ。最悪の記憶改竄が起きてるよ
凛,卯月は宗教とか、興味ないの？
未央,マルチの誘いみたいだな
卯月,今はまだ！
未央,今後はあるかもしれないの？
凛,そっか、その時は誘ってね
未央,やめてよ。ユニットメンバー2人が同時に教祖にジョブチェンジするこっちの身にもなってよ
卯月,1レス挟んでの天丼はちょっと早いんじゃないですか未央ちゃん？
未央,そういう角度でツッコミを分析するのやめてくれない！？
卯月,でも凛ちゃん？
凛,え？
卯月,お金儲けのために何かをやっても、みなさんはついてきてくれないですよ？
未央,経験者みたいな口ぶりだけど
凛,ふふ……卯月はお見通しだね
卯月,もっと、"みなさんのためにやってますよ"感を出すのが大事です！
未央,経験者みたいな口ぶりだけど
凛,教祖になるのも楽じゃないんだね
未央,しぶりんレベルのアイドルになる方がよほど難しいのになんで挑もうとするのか
卯月,凛ちゃん、別にお金に困ってるわけじゃないですよね？
凛,もちろん。超売れっ子だもん
未央,いちいち腹立つね
卯月,でもニュージェネで1番お手紙とか差し入れが多いのは未央ちゃんですよ！元気出してください！
未央,同情されてるんだよ
凛,じゃあ、もうちょっとアイドルを続けようかな
未央,末永く続けてほしいよ
卯月,ジョブチェンジする時は3人一緒です！
未央,教祖以外でお願いね？
凛,とりあえず出家してから考えようか？
未央,それ宗教法人ルートまっしぐらじゃん！
卯月,今の髪型と同じカツラを用意しておきますね！
未央,なんで乗り気なの！？
