千川ちひろ,智香ちゃんの担当プロデューサーさんが、今は入院中でしょ？
智香,あ、はい……
ちひろ,その間の、代理のプロデューサーさんなのよ
智香,それはわかりますけどっ……。このプロデューサーさんって……お猿さんじゃないですかっ！？
猿Ｐ,キーッ！キキーッ！
智香,きゃっ！ば、バナナでアタシの頭を叩かないでくださいっ！
ちひろ,落ち着いてください、プロデューサーさん。まだ智香ちゃんも戸惑ってるだけなんですから、ここはひとつ音便に
猿Ｐ,キキッ
智香,うう……ちひろさん、アタシこのプロデューサーさんとうまくやっていく自信ありません
猿Ｐ,キッ？
智香,きやっ！ま、またバナナを構えてますよっ！
ちひろ,智香ちゃん、アイドルはプロデューサーさんを信じて任せてこそトップアイドルが見えてくるものなのよ
智香,それはわかりますけどっ……
猿Ｐ,キッ？
智香,うまくやっていける自信、ないなあ……
佐久間まゆ,智香ちゃんのプロデューサーさん、入院中なんてすってねぇ
智香,うん……幸いそんな大事じゃないみたいなんだけど……
まゆ,？
智香,その間の、代理のプロデューサーさんが……
猿Ｐ,キキッ！
まゆ,？どうして事務所に、お猿さんがいるんですかぁ？
智香,あ、プロデューサーさんおはようございますっ
猿Ｐ,キッ！
まゆ,えぇ？もしかして代理のプロデューサーさんって……
猿Ｐ,キッ
まゆ,えぇ？あ、名刺ですかぁ？若林智香担当プロデューサー、猿谷猿丸さんですかぁ
猿Ｐ,キキッ！
まゆ,これはご丁寧にどうもぉ。佐久間まゆです、よろしくお願いしますねぇ
智香,……なんかまゆちゃんには、礼儀正しいなあ
猿Ｐ,キッ！
智香,も、文句じゃありません。ありませんから、そのバナナはしまってくださいっ！
猿Ｐ,キー……
智香,なんで残念そうなんですかっ！？
猿Ｐ,キキィ、キッキー♪
まゆ,鼻歌まじりに、バナナを磨いてますねぇ
智香,それよりプロデューサーさんっ！今日は、どうするんですかっ？
猿Ｐ,キキッキー！
まゆ,わぁ、すごい身のこなしですねぇ
智香,もしかして、ダンスレッスンですかっ？
猿Ｐ,キー！
智香,えへへっ☆ダンスならアタシ、自信がありますよっ！いつもチアで鍛えてますからねっ
猿Ｐ,キー……
智香,今日はどの曲でレッスンするんですか？
猿Ｐ,キッ！
智香,このCDですか？ええと……お猿のかごや……童謡じゃないですかっ！
猿Ｐ,キキッ！
智香,きゃっ！わ、わかりました。やります！やりますからっ！！
猿Ｐ,キー
智香,うう……プロデューサーさん、はやく帰ってきてください……。えっと……こうかな？
猿Ｐ,キーッ！！
智香,きやっ！ば、バナナはやめてくださいよっ
猿Ｐ,キー
智香,今の……どこが悪かったんですかっ？そんなに怒るんなら、ちょっとお手本を見せてくださいよっ！
猿Ｐ,キーキー。キーキー、キキー♪
智香,えっ……す、すごいっ！
猿Ｐ,キキッキー♪
智香,片手で体重を支えながら、回転を……まるで人間の動きじゃないみたい！！
猿Ｐ,キッ
智香,ラストは両手で体重を支えながら逆立ちをして、足で拍手してフィニッシュ……
猿Ｐ,キキィ？
智香,ごめんなさいプロデューサーさん、アタシ……自分のダンスに慢心してましたっ
猿Ｐ,キイキイ
智香,今のプロデューサーさんのダンスを見て、悟りました。アタシ、もっともっとダンスを磨きますっ☆
猿Ｐ,キイイー
智香,きゃっ！またバナナをかまえ……あれっ？
猿Ｐ,キイ
智香,あの……もしかしてこのバナナ、アタシにっ？
猿Ｐ,キー
