チノ,ワイさん休憩の時間ですよ。何か飲みますか？
ワイ,じゃあカプチーノで
ココア,ワイくんコーヒーの付け合わせにパンもどうぞ
ワイ,ありがとう
ココア,ワイくんまたカプチーノ？本当に好きだね。どうしてワイくんはそんなにカプチーノが好きなの？
ワイ,それはある人に影響されてね。その人は顔も名前も知らない一度会っただけの人なんだ。そしてワイの初恋の相手でもある
ココア,その人の話詳しく聞かせて
ワイ,ええよ。ちょっと長くなるけど
謎の侍,お主は男か？
ワイ,ワイは男ですがどうかされましたか？
侍,拙者は拙者と言う者でござる。木組みの街という場所から来た武士である。今すぐ拙者と決闘をしてもらいたい
ワイ,決闘？そんなもん木組みの街ですれば良いでしょ
拙者,拙者の住む街にはなぜか男子がほとんどおらぬ。だからこうして決闘の相手を探してここまで来たのだ。
ワイ,あなた本当に侍なんですか？その刀は本物ですか？
拙者,拙者の腕を疑っておるのか？それなら
ワイ,あの申し訳ないんですけどワイはこの通り刀を持ってないので決闘は勘弁してもらえませんか？
拙者,なんだと！？男子のくせに刀を持ち歩いておらんと申すか。武士の風上にも置けん。おぬしには死んでもらおう
？？,そこまでです！！。ぴょんぴょんとラビットジャンプで登場悪い子は焙煎しちゃうよ☆
拙者,何者だ？
ワイ,魔法少女？
魔法少女,一連の流れ全て見てました。お侍さん嫌がる人に決闘を挑んじゃダメですよ。
拙者,おぬし年端もいかぬ女ではないか。しかし拙者の邪魔をするなら女子供でも容赦せんぞ
魔法少女,嫌がる人に決闘を挑む事がいけないないことってのは小学生でも知ってる常識ですよ今すぐ彼に謝ってここから立ち去ってください
ワイ,そうですよ。今あやまれば許しますから勘弁してくださいよ
拙者,うるさい！うるさい！うるさい！拙者は何が何でも決闘するーんだ！！
魔法少女,カフェラテ•カフェモカ•カプチーノうさぎさんになーれ
拙者,むっ、拙者用事を思い出したみたいだ。さらばじゃっ！！
ワイ,ありがとうございます。ぜひなにかお礼を
魔法少女,お礼なんてけっこうです。でも一つだけお願いがあります。私は人前で魔法を使ってしまいました。ですから今日あった事は絶対に黙っててください
ワイ,あれ魔法だったんですか？それならあの侍はこの後うさぎになるですか？
魔法少女,なりませんよ。この後しばらくは遊郭通いです
ワイ,なんで？
魔法少女,うさぎってのは性欲が強い動物です。それでは私は木組みの街へ帰ります。言い忘れてましたがまた何か困った事があったらカフェラテカフェモカカプチーノと唱えてくれたらいつでも会えますから
ワイ,綺麗な人だったな…また会いたい
ココア,で、その人には会えたの？
ワイ,会えてないよ。でもなぜかチノちゃんが入れてくれるカプチーノを飲んでるとその人が近くにいる気がするんだ
ココア,ステキな思い出ね
