岡崎泰葉,ごめん、千鶴ちゃんが何言ってるのかわからない
千鶴,だから、ほたるちゃんが蛹になっちゃったんですよ！！
泰葉,そんな馬鹿な
千鶴,馬鹿なったって、ほら見てください！！
泰葉,うわあ本当だ
千鶴,だから最初からそういってるんですよう
泰葉,蛹になったほたるちゃん。いうなればさな菊ほたるってところかな……
千鶴,微妙に語呂がいいけど一大事なんですからね？
泰葉,ごめんごめん、それで、聞きたいんだけど
千鶴,は、はい
泰葉,千鶴ちゃんはさな菊ほたるちゃんをカートに載せて、こんな廊下の真ん中で何してるの
千鶴,さな菊決定なんですか？
泰葉,いいから
千鶴,ええと、とにかく、さっきですね
泰葉,うん
千鶴,私の部屋で一緒に勉強してたらほたるちゃんが突如あっ、私これから蛹になりますとか言い出して
泰葉,そこだけ聞くと無茶苦茶だなあ
千鶴,見る間に肌が堅くなって身動きしなくなってこんな風になっちゃうからどうしたらいいか解らなくて、とにかくＰさんに相談に行こうと
泰葉,それでカートに載せて？
千鶴,はい！まっすぐ連れて行きました
泰葉,それで、Ｐさんはなんて？
千鶴,おー、ほたるも蛹になったか。よかったよかったって
泰葉,ふむふむ
千鶴,そのうち蛹から出てくるから、良かったら千鶴が見ててやってくれよと
泰葉,その説明で納得すると思ってるのかな、あの人
千鶴,そういわれても私どうしていいか解らなくて、でも部屋に帰る途中で泰葉ちゃんを見かけたから
泰葉,うん、今お仕事終わって寮に戻ってきたところなんだ
千鶴,なんで蛹なのかさっぱりわかんないし、でも無敵の岡崎先輩ならなんとかしてくれるかもしれないと思って声をかけたんです
泰葉,無茶言わないで？
千鶴,芸暦長いじゃないですか、そこをなんとか！
泰葉,芸暦って万能じゃないんだからね？
千鶴,え、なに。なんで蛹なの。蛹ってどういうこと。蛹ってことはいままで成虫じゃなかったの。白菊ほたるだと思ってたけど実は白菊幼虫だったの
泰葉,落ち着いて、落ち着いて
千鶴,ねえ泰葉ちゃん、私、どうしたらいいんでしょう！？
泰葉,根本的なことはわかんないけど、今すべきことなら解るかな
千鶴,本当ですか！？
泰葉,うん、まずはちょっとおちついて、ほたるちゃんを良く見てあげて？
千鶴,えっ？えーと……身体の表面が緑色っぽくなって堅くなってる以外は、いつものほたるちゃんっぽい姿ですよね
泰葉,いつものほたるちゃんの姿って？
千鶴,困ったみたいな眉で、でも可愛い顔立ちて、手足が細くて長くて。いつも思うけど、ほたるちゃんてどこもかしこも華奢なのに出るとこ出てますよねえ。全身緑でもなんだかきれいです
泰葉,緑色なのは全身？
千鶴,はい、顔も手も脚もおなかも……ん？おなか？。何も着てない！？
泰葉,蛹になるのは普通身体だけだもんねえ
千鶴,言われてみればそうでした！？
泰葉,とにかく早くどこかに隠して、身体を隠してあげようよ
千鶴,そそそそうします！！。うう、ごめんねほたるちゃん……
泰葉,まあ蛹になってる時って外は見えてないと思うし。廊下では誰にも会わなかったんでしょ
千鶴,ええ、まあ
泰葉,それならギリギリセーフじゃないかな。私も同じ場面に当たったら冷静でいられた自信ないし
千鶴,はい……
泰葉,しかし、本当に蛹なんだねえ。ちょっと茶色っぽくなってきたかな
千鶴,――どうして、蛹なんでしょう
泰葉,そりゃ、変態するためでしょう
千鶴,変態
泰葉,完全変態って奴だね。一度蛹になって、身体を作り変えるの。芋虫が蝶になるみたいに
千鶴,いつごろまでかかるんでしょうか
泰葉,Ｐさんが何も言わなかったってことは、そんなに時間がかからないと思う。もしかしたら今晩中にも出てくるかも
千鶴,……出てきたら、ほたるちゃんはどんな姿になってるんでしょう
泰葉,うーん、多分前とほとんど変わらないかな
千鶴,えっ、でもさっき身体を作り変えるって
泰葉,蛹はね、新しいからだの鋳型なんだよ。ケーキ型みたいなもの。だからほら、蝶の蛹もカブトムシの蛹も、なんとなく成虫っぽい形をしてるでしょ
千鶴,あんまり蛹とか見たことないですが、言われてみれば
泰葉,この蛹は細部までほたるちゃんそっくりだから、中から出てくるニューほたるちゃんも、多分元のほたるちゃんそっくりだと思うよ
千鶴,なるほど……
泰葉,少し、安心した？
千鶴,ええ、はい。羽根とか生えてとんでっちゃったらどうしよう、とか思ってました
泰葉,蛹だもんねえ、解る
千鶴,……
泰葉,……
千鶴,……
泰葉,恐い？
千鶴,え
泰葉,凄く、怯えた顔してる
千鶴,そんな……ことは
泰葉,千鶴ちゃんはすごい顔に出るほうだから、誤魔化すのは諦めたほうがいいよ
千鶴,……はい
泰葉,で、何が恐いの？人間が突然こんなになっちゃったから？
千鶴,そうじゃなくて――それもありますけど
泰葉,うん
千鶴,青虫は葉っぱの上で生きて、葉っぱを食べます。空なんか、見もしないでしょう
泰葉,うん
千鶴,蝶は青虫から変わるのに、空を飛んで、蜜を吸う。もう葉っぱなんて食べたいとも思わない。ううん、自分が葉っぱを食べてたことも、覚えてないんじゃないかな
泰葉,……
千鶴,ほたるちゃんは、どうなんでしょう
泰葉,千鶴ちゃんは、ほたるちゃんが変わっちゃうのが恐いんだ
千鶴,……
泰葉,蛹の中から出てきたほたるちゃんが、自分の事なんて忘れちゃうんじゃないか、って
千鶴,――そうです
泰葉,もし覚えてても、蝶になったほたるちゃんはもっと輝く場所に行くかも知れない。今までと好みが変わって、別の人たちと仲良くなって、自分たちとは疎遠になるかも知れない
千鶴,泰葉ちゃん――？
泰葉,言動が変わるかも知れない。今までと違う表情が見えて、私たちが好きだったほたるちゃんとは違う側面がピックアップされるようになるかも知れない
千鶴,……
泰葉,私たちにだけ見せてくれてた顔を、全然違う人に見せるかも知れない。色々なことが変わって、まるでこれまでのほたるちゃんが無い物になったみたいに見えるかも知れない――
千鶴,あの、泰葉ちゃん……？
泰葉,ふふ。私もね、蝶になった人を見たことがあるんだよ
千鶴,えっ！？
泰葉,こんな風に本当に蛹になったわけじゃないけどね。あの人は悩んで努力して――蝶になったの
千鶴,……
泰葉,違う舞台に行っちゃって、今までと違う仕事をするようになって。まるで自分が知らない誰かになっちゃったみたいで、今までの私たちとの事がなくなっちゃったみたいで、寂しかったなあ
千鶴,泰葉ちゃん……
泰葉,でもね、それは違うんだよ
千鶴,違う？
泰葉,私たちだってそう。人は変わっていくんじゃない。積み重なっていくものなんだ
千鶴,――
泰葉,色々な経験が、出来事が積み重なってその人になるの。蝶になって別の舞台で活躍する人は変わっちゃったように見えるかも知れないけど、違う。それは、その人が積み重ねた新しい姿が見えてるだけなんだ
千鶴,――そう、なんでしょうか
泰葉,そうだよ。変わってしまったんじゃない。その人の中に、蝶になる前のその人はちゃんとある。それを忘れなければ、千鶴ちゃんが好きだったほたるちゃんの姿もきっと無くならずに在り続けるんだよ
千鶴,――はい
泰葉,でも、嘆いたり、変わったってなじったら、ほたるちゃんは傷ついて、もう二度とその姿を出せなくなるかもしれない。本当に遠くに行ってしまうかも――
千鶴,でも――それでも、寂しいです
泰葉,新しい舞台にほたるちゃんがいくのは、寂しい？
千鶴,――はい
泰葉,なら、追いかけていくしかないよね
千鶴,え
泰葉,私たちは友達だけど、それだけじゃない――離れていくほたるちゃんを、追いかけて行けるんだよ
千鶴,泰葉ちゃん――
泰葉,ふふ、参考になったかな？
千鶴,一瞬感動しそうになりましたけど普通蛹になるのって無理ですよね？
泰葉,ふふ、そのあたりは、千鶴ちゃんが起きてから考えればいいよ
千鶴,えっ――
泰葉,それより、今は――ほら
羽化しつつあるさな菊ほたる,パリパリパリ……
千鶴,ほたるちゃんが、出てくる……
泰葉,今は、ほたるちゃんの新しい誕生を祝ってあげようよ。二人で、みんなで
千鶴,はい――はい！。そしてほたるちゃんは蛹から羽化し、私たちの前にその姿をあらわしました。生まれてきた成虫ほたるちゃんがどんな姿だったのか、私は覚えていません。だってほたるちゃんが姿を現すと同時に、私はこの夢から覚めてしまったのですから――
