コミック版,激闘！マジノ戦ですっ！！
しほ,大洗女学園から来た、西住しほです！！(みほ真似)
好子,このフリルのブラウス、今までの学校とは趣が違いますね！
百合,これぞ、お嬢様学校ですわね
久子,うん、いいなフリル…////
沙織,おばあ…浮かれないでよ
エクレール,あ、あれは、西住しほ様？憧れの西住しほ様が何でマジノの制服を…
カリソン,うっわぁー、キッついわぁ
フォンデュ,……
ガレット,ねぇ…まさか、この方々が来るなんて聞いてなかったわよ
フォンデュ,そうですね…
エクレール,くっ、またしても…
ガレット,惜しかった…ですね
フォンデュ,エクレール様、気を落とさずに
エクレール,…わかっているわ、皆の意識も動きも纏まってきている…そうよ、もっと隊長の私がしっかりしなくては…
ガレット,……
フォンデュ,エクレール様…
ガレット,隊長、焦っているわね
フォンデュ,サン・シール流戦術に変えてまだ実績が挙がっておりませんし…私達がもっと…
ガレット,でもこれ以上、隊員達に無理を強いるの？
フォンデュ,そ、それは…
ガレット,実際、今の戦術に慣れつつはあっても手ごたえがあるのかどうか。いっそ、どこからかコーチでも呼ぶ？
フォンデュ,…それ、ありかもしれませんね
アンチョビ,よく来たな！せっかくだ、ピザでも焼こうか？
フォンデュ,それには及びません、実は今日お伺いしたのは…
ガレット,え？ピザ食べたかった…
フォンデュ,練習試合とはいえ、二度も大洗を破った実績のあるアンツィオにコーチをお願いしたくて
アンチョビ,ふむ…
フォンデュ,お願いします！私達に力を貸してください！
ガレット,無理は承知ですがお願いします
アンチョビ,おいおい、そんな頭を下げるなって、当然だろ！マジノ女学院は私が一年の頃から世話になっているからな！
フォンデュ,あ、ありがとうございます！
アンチョビ,…と言う訳で、シマチョビ姐さんに協力してもらおうと思いまして
千代(ツインテール),他ならぬアンチョビさんの頼みです、任せて下さい
しほ,では、さっそく行きましょうか
アンチョビ,……
千代,……
しほ,どうしました？
千代,なんでここにいるのよ、しほちゃん
しほ,ふふ…昨日、千代ちゃんと一緒の時に電話がかかってきたじゃない。やけに私に聞かれないようにソワソワしていたから…
千代,うぐっ
アンチョビ,それって、私からの電話ですよね
しほ,そうみたいね、てっきり私は…。千代ちゃんが若い男と浮気でもしている物かと思って後を付けて来たら、こんな事とはね～
千代,浮気なんてするわけないでしょ！！。それに、今回は私がマジノへ行って活躍…
しほ,おりゃ！シホタックル！！
千代,ちよ…いきなり…
アンチョビ,わわ！…し、シマチョビ姐さん！？
しほ,いまよ！！
千代,し、しほちゃ…イダダ！！
