モバP,薫ちゃんが頑張ってくれたおかげで、お仕事も早く終わったわね
龍崎薫,かおる上手にできてたよね♪
P,うんうん、出来てたわよ。だから、そんな薫ちゃんにはご褒美をあげたいと思いまーす
薫,わー！なになにー？
P,アイス買ってきていいわよ。はい、これお駄賃ね
薫,やったー！アイスアイスー！
P,あ、薫ちゃん。レシートは忘れずに貰ってきてちょうだいね
薫,はーい、いってきまー！
P,……あら、バイクの集団かしら？。こんな真昼間からとは、最近にしては珍しいわね。……ん？
向井拓海,……
P,へー……屈曲な男どもを束ねてるのは女の子なのね。うんうん、なかなかいい素材じゃないの。久々に口説きたくなっちゃった
拓海,よーしオマエら。一旦休憩にすっぞ
舎弟A,ウッス！
舎弟B,トイレいきてー
舎弟C,俺も俺もー
拓海,……オイ。何だテメエは？
P,いいバイクに乗ってるわね。ゼッツーかしら？
拓海,新手のナンパか？そういうヤツはお断りだ
P,やぁん、あっさりフラれちゃった
拓海,嘘泣きなのバレバレなんだよ
P,あら、あっありばれちゃった
拓海,男なのか女なのかよく分かんねえヤツだな
P,生物学上は男よ
拓海,ハァ……？
P,ほら。今流行ってるでしょ、二刀流って？
拓海,……で？
P,私は男性と女性の二刀流よ♪
拓海,うるせーよ
薫,せんせぇー！アイス買ってきたよー！
P,あら帰ってきたわね。それじゃ、また
拓海,次はねえだろよ
P,どうかしら？不思議と貴女とは会えそうな気がするのよね
拓海,ハン、勝手に言ってやがれ
P,ふふっ。じゃあね、特攻服のお嬢さん
薫,ばいばーい！
拓海,……。……何だアイツ。ワケわかんねえ。……喉乾いたな。コンビニでも寄るか
店員,ラッシャッセー
拓海,えーと、飲み物飲み物……げっ
P,あらやだ。また会ったわね
拓海,……何でテメエがいるんだよ
P,付添いの子がトイレに寄りたいって言ったからよ
拓海,またあのガキの子守りしてんのかよ
P,あの子、ああ見えてウチの売れっ子なのよ？
拓海,売れっ子……だぁ？
薫,せんせぇ、おまたせー……あー、この間のおねーちゃんだー！
拓海,コイツが売れっ子……信じられねえんだけど
P,まぎれもない事実よ。ウチの事務所で一番お仕事貰ってるもの
拓海,事務所？
P,ああ、言ってなかったわね。私、アイドル事務所でプロデューサーしてるの。そしてこの子は
薫,かおる、アイドルでーっ！
P,薫ちゃん、ちょっとボリュームさげてね
薫,はーい。あ、そーだ！おねーちゃんにこのワッペンあげる！
拓海,ワッペン？
薫,はい！かおるとおそろいのひまわりのワッペン！
拓海,……オイオイ、この特攻服のどこにつけろってんだよ
P,あら、特攻服の内側につけておくのもなかなかオツだと思うわよ。向日葵のような心意気、ってね
拓海,……まあ、もらっとくか。えーと……薫、だったか？サンキュな
薫,どういたしましてーっ！
P,それじゃあ事務所に戻り……あ、そうだ。これ渡しておくわね
拓海,何だコレ……名刺か？
P,そうよ。事務所の住所も書いてあるから、気が向いたら来てちょうだいね♪
薫,待ってるよーっ！
拓海,ヘイヘイ、気が向いたらな
P,それじゃあ、またね
薫,ばいばーい！
拓海,おー。……せっかく貰ったし、付けるか。名刺は……ポッケにでも入れとくか
舎弟A,あれ拓海さん、アイロンなんて持ってきてどうしたんすか
拓海,このワッペンつけんだよ
舎弟B,へー、向日葵のワッペンなんて意外っすね。拓海さんの趣味っすか？
拓海,ちげーよ、貰いモンだ。ガキから貰ったんだよ
舎弟A,わざわざつけてあげるなんて優しいっすね
拓海,……捨てるのもワリィって思うしな。よし、出来た
舎弟B,……裏地に向日葵ってのも悪くねえっすね
拓海,……意外と出来栄えが悪くねえな
舎弟C,姐さん、大変です！
舎弟A,どうした、そんなに慌てて入ってきやがって
舎弟C,それが……Dの奴がチンピラどもに襲われて重傷なんです！！
舎弟B,ンだと！？それで、Dはどうしたんだ！！！
舎弟C,病院で手当てを受けてます。チンピラどもは近くの公園でまだタムロしてやがります！
拓海,……行くぞ。オイ、アタシのバンテージ持ってこい
舎弟A,はい、わかりました！
拓海,アタシの仲間に手ェ出す奴は……容赦しねえぞッッッ！！！
チンピラB,いやー、しっかし兄貴も容赦ないっすねー
チンピラC,頭から血ダラダラでしたよ、あの特攻服のヤンキー
チンピラA,あの位やっておいてわからせてやらねえとな
チンピラB,魂のフルスイングでしたね。よっ、さすが！
チンピラA,…………おい、誰だお前ら
拓海,テメエらか？ウチの舎弟に手ェ出した奴らは
チンピラB,何だこの女！？
チンピラC,輪姦まわ
拓海,……ハ。テメエらみてえなドグサレなんざ願い下げだ
チンピラA,……女がリーダーとは、ずいぶんしょぼいグループなんだな
拓海,しょぼいグループかどうか……試してみるか、オラ？
チンピラA,……テメエの頭もカチ割ってやらぁ！！！
チンピラB,行った―！兄貴のフルスイングだ！
チンピラC,終わりだぜあのクソ女！
拓海,……オイオイ。こんな腰の入ってねえスイングがフルスイングだと？
チンピラA,えっ……
拓海,テメエの頭もコイツでカチ割ってやってもいいが、ケンカに武器を持ち込むのはアタシの趣味じゃねえ
チンピラA,ああん…？
拓海,素手喧嘩ステゴロ
チンピラA,挑発しやがって……後悔させてやらァ！
拓海,……遅ェ！！！
チンピラA,あ、あが、あう……
チンピラB,あ、兄貴が……ワンパンで
チンピラC,め、めちゃくちゃ強えぞこの女！
拓海,オイ、テメエら
チンピラB,ヒッ！
拓海,目障りなんだよ。とっとと失せろや
チンピラC,ひいいっ！お、覚えていやがれー！！！
舎弟A,さすが姐さん！
舎弟B,一発でぶっとばしちまうなんて！
拓海,……オマエら、今日はさっさと帰れ
舎弟C,はい、わかりました！
拓海,オウ。……ったく、胸糞悪ィな。どこのどいつなんだアイツらは……。頭は大丈夫だったか？
舎弟D,はい、医者からも問題ないって言われました。しばらくは入院ですけどね
拓海,ったく……心配したんだぞ？
舎弟D,へへ、すいません。でも頑丈さだけには自信ありますから！
拓海,もっと腕っぷしを鍛えろってんだ。そもそも何で襲われたんだよ
舎弟D,向こうの連中に一方的に難癖つけられたんすよ
拓海,……
舎弟D,もしかしたらアイツらのバックは、やべーのがいるかもしれないっす
拓海,……わかった、気には止めとく
舎弟D,お願いします
拓海,ンじゃ、お大事にな
舎弟D,ありがとうございます！
拓海,バックにヤバイ奴……ねぇ。まさかどこかの組……いや、まさかな。しばらくは大人しくしとかねえと、やっかい事に巻き込まれるかもな。……おい、誰だテメエら？
黒服A,向井拓海で、間違いないな？
拓海,だったらなんだってんだ
黒服B,お前の部下を拘束してある。こっちに来い
拓海,ハァ？何言ってやがんだ
黒服A,さっさとしろ
拓海,うっせえな、指図すんじゃね……ッ！！！
舎弟A,んー！んー！
舎弟B,もがー！もがー！
拓海,オマエら！！？どうしたんだよ一体！？
幹部,私たちと一緒に来てもらおうか。向井拓海
拓海,……誰だテメエは
幹部,君がこの間ぶん殴ってくれた奴の上司だよ
拓海,アイツの……！
幹部,あの男はね、ああ見えても私の優秀な部下なんだよ。まあ、たまに余計な喧嘩を売ったりするけどね
拓海,それはソッチから手出してきたからだろうが！？
幹部,彼ね、顎を粉砕骨折したってさ。モノも食べれない状態だから流動食でなんとかしてる状態なの
拓海,……だったら何だってんだ
幹部,まあ、簡単に言えばだね。君に清算してもらおうと思って
拓海,誰がンなことをッ！
幹部,君が素直についてこないなら、この舎弟二人がどうなってしまうことやら…
拓海,……テメエッ！！！
