藤居朋,おはようございまーす
緒方智絵里,おはようございますっ！
朋,あ、智絵里ちゃん。今日のテレビの収録、よろしくね！
智絵里,あ……、そのことなんですが……
朋,？
智絵里,スタッフさんが体調不良らしくて、延期になったと連絡が……
朋,あら～……そうなんだ。でも、1人くらいならどうにかなりそうにも思えるんだけどな？
智絵里,全員が
朋,全員！？。え！？みなさん体調不良！？
智絵里,確かな情報筋からです
朋,その情報源も気になるけど
智絵里,まず、ディレクターさんが風邪です2年ぶり9回目
朋,後ろのその甲子園出場校みたいなデータは必要！？
智絵里,次に、メイクさんが口内炎です初
朋,口内炎で休まないで！！！というか初めてなの！？
智絵里,照明さんは頭痛です205日連続
朋,こっちはもっと休ませてあげてよ！！！
智絵里,司会の楓さんは二日酔いです5年連続
朋,楓さん！！！
智絵里,この他にも、虫垂炎、鬱、骨折、右肘靭帯損傷、膝に矢を受けてしまった……などなどみたいですね……
朋,みなさんそんなに満身創痍だったの！？
智絵里,ご冥福をお祈りしましょう……
朋,生きてはいるから！！！
白菊ほたる,おはようございます……。今日はよろしくお願いしま……あれ？どうかしたんですか？
朋,おはよーほたるちゃん。それがね、今日の収録、延期するんだってー
ほたる,え、そうなんですか？どうしてですか？
智絵里,全員のスタッフさんが風邪を引いたり
朋,なんでそこだけ抜き出しちゃったのかなあ
ほたる,なるほど……虫垂炎や骨折は、数日でどうにかなるものではないですからね……
朋,理解力
ほたる,それで、いつに延期になったんですか？
朋,あ、それ、わたしも聞きたいな
智絵里,“楓さんの酔いが醒めるまで”……なので、もう撮影中止みたいなものですねっ
朋,智絵里ちゃん
ほたる,代役を立てれば良いのではないでしょうか？
智絵里,もしもし、志乃さんですか？
朋,結局酔ってそうな人選！？
ほたる,まあ、連絡がそのうち来ますよね
朋,そうね、結構延期になりそうだから、ひとまずは気にしないでいいんじゃないかな？
智絵里,これで司会が代わってたら笑っちゃいますね
朋,そこはコメントしにくいラインよ……
ほたる,ちなみに私はこの前、40℃の熱・頭痛・脳震盪・不整脈で番組に出演しましたが、特に支障はなかったですね……
朋,結果も課程も全く理解が及ばないエピソードをありがと
ほたる,あ、智絵里さん
智絵里,いかにも
朋,キャラどうしたの？
ほたる,確かこの前、智絵里さんとフレデリカさんと凛さんでお茶をしたらしいですね
朋,それ絶対収集つかないでしょ！？
智絵里,うん！楽しかったよ！
朋,その場にいなくて本っっっっっっ当によかった……
智絵里,次は朋さんも一緒にどうですか？
朋,…………前向きに……検討……して……おくね……？
智絵里,そういえば朋さん。最近、いろいろ活躍してますよね！
朋,え？あ、ありがと！
ほたる,私もよく見ます！この前のフレデリカさんとのラジオとか、凛さんとのCMとか！
朋,うん、共演者がだいたいピーキーなこと以外は本当に嬉しいんだけど
智絵里,ほたるちゃんの番組に出てからですよね！
朋,やっぱあれでツッコミキャラが定着しちゃったのかな……
智絵里,遅かれ早かれですよ！
朋,それフォロー？追い打ち？
智絵里,一度見ただけでインパクトありますよね！
朋,そっくりそのまま智絵里ちゃんにも言えるけどね？
智絵里,次は胃薬メーカーとのタイアップとかどうでしょう！
朋,あたしのこと嫌いなの！？
ほたる,そんなこと言って、智絵里さん、朋さんの出てるテレビとか、全部録画してるって聞きましたよ？
朋,えっ？
智絵里,えっ！？ほ、ほたるちゃん、な、何で知って……えっ……！？
朋,……ホントに？
智絵里,……//////
朋,うわめっちゃかわいい
智絵里,も、もうこの話はおしまいですっ！
朋,たまに何考えてるのかわからないけど、やっぱり根は良い娘なのね……
智絵里,ほたるちゃんは夜道に気を付けてね
朋,智絵里ちゃん！！
ほたる,せめてかすり傷くらいはつけられるといいですね……
朋,これホントにアイドルの会話！？。しかしヒマになっちゃったわね
智絵里,はい……、そろそろお昼ですね
ほたる,あ、じゃあ、ご飯でも行きませんか？
朋,ん！いいね！どうせ今日は収録だけだったし！
智絵里,賛成ですっ
ほたる,では、ファミレスにでも行きましょうか
朋,おっけー！
智絵里,あ、3名で、禁煙席お願いします
朋,すでにシミュレーションを始めている！？
ほたる,3人です。はい、禁煙で
朋,結局ほたるちゃんが言うんだ！？
智絵里,人見知りなので……
朋,信じないからね
ほたる,あ、違います、金銭ではなくて、いえ、勤勉でもなくて……
朋,それ手こずるところ！？。じゃ、なに食べよっかな～
ほたる,あ、これ美味しそう……！
智絵里,え？この“及川牧場のスーパーハンバーグ～世界レベルの風～”のこと！？
朋,なにそのメニュー！？誰も言ってないでしょ！？
ほたる,よくわかりましたね
朋,ご名答なの！？
ほたる,でも食べきれなそうなので、普通にスパゲッティにしますね
智絵里,じゃあわたしは、ほたるちゃんのやつの大盛りで
朋,そこ対抗する必要あった？
ほたる,まあ私も大盛りと言おうとしてたところなんですけどね
朋,子供か！。ハンバーグランチお願いします
ほたる,日替わりスパゲッティの普通盛りをお願いします
朋,ウソだったの
智絵里,オムライスで
朋,メニューすら！？
智絵里,あ、朋さんのドリンク、持ってきましょうかっ
朋,え、いいの？
智絵里,はいっ！
朋,じゃあね……
智絵里,何色がいいですか？
朋,色しか指定できないの！？
智絵里,あと、1辛から5辛まで選べます
朋,単位がカレー屋なんだけど！？。ウーロン茶！ウーロン茶をお願い！
智絵里,善処しますっ！
朋,ボタン押すだけなのに！。！？
智絵里,あ、ほたるちゃんがドリンクサーバーを爆発させちゃったみたいですね
朋,ほたるちゃん！！！？？？
ほたる,ただいま戻りました……
朋,あれ！？大丈夫なの！？
ほたる,？爆発のことですか？よくありますよ？
朋,価値観のズレが深刻なレベルなんだけど
智絵里,4日ぶり138回目かな？
朋,その言いかた気に入ったの？。はい！
ほたる,ありがとうございます
朋,急に！？
智絵里,普通、残り1人なんだからわかりますよねっ
朋,聞こえてるから！！！
智絵里,人見知りなので……
朋,人見知りの意味を知らないのかな！？。ふぅ……。美味しかった
ほたる,はい！
智絵里,微妙でした、まあ悪くはなかったです。星三つがいいとこですね
朋,辛辣な口調からの最高評価。これからどうしよっか？
智絵里,あ！わたし、行ってみたいアクセサリーショップがあるんですっ
朋,じゃ、そこに行こうか？
ほたる,やぶさかではないです！
朋,その言い回しは初耳だなあ
智絵里,やぶ医者ではないです
