俺の名前はＰ、ここで新人保育士,＝幼稚園教諭
まこと,ぷろでゅーさー！
ゆきほ,ひ～ん……ま、まって～まことちゃ～ん……
まこと,ぷろでゅーさー！おままごとやりましょー！
ゆきほ,ぷ、ぷろでゅーさーが、その……おとうさんやくをやってくださいぃ～
Ｐ,ああいいぞ！じゃあ、準備するからちょっと待ってろよ～
まこと,じゃあボクがおかあさんやくね！ゆきほはこどもやく！
ゆきほ,え……わ、わたしも……
Ｐ,わかったわかった、じゃあ代わりばんこでやろうなー
まこと,おかえりなさいぷろでゅーさー！ごはんにしますね！
Ｐ,ああ、ありがとう真ご飯一択なのか
まこと,おちゃわんにごはんいれて……。おーもりですよ～！いっぱいたべてください！
Ｐ,おお、これはうまそうだな！もぐもぐ……
まこと,あー！たべるまえにいただきますはー？
Ｐ,おっといかんいかん……いっただっきまーす！
ゆきほ,ふ、ふえ～ん
真は将来良い嫁になるな……と思っていたところで、娘,雪歩
まこと,あ～ないちゃった～。よちよち
ゆきほ,ままー
Ｐ,なんという眼福。よしよし雪歩、パパもいるぞー
ゆきほ,えへへ……ぱぱー
Ｐ,かわいい
まこと,じゃーこんどはゆきほがおかあさんね！ボクがこども！
ゆきほ,う、うん。まことちゃん、わたしがんばる
Ｐ,そんなに気負わんでも……
ゆきほ,おかえりなさいですぅ。ごはんですか？それともおふろ？
Ｐ,あ～そうだな、先に風呂に入らせてもらおうかな
ゆきほ,は～い。じゃあおようふくをぬぎましょうね
Ｐ,はっはっは、雪歩は気が利くなあ
ゆきほ,あら……あなた、このくちべにのあとはなあに？
Ｐ,え？。ははは……いや、なんのことだか……た、たぶん電車に乗ったときにくっついたんじゃないかな
ゆきほ,わいしゃつのせなかにどうやってくっつくんですかぁ？
Ｐ,いや、その……
まこと,ひそひそ……おくさん、あれケンカですよケンカ。やだわぁもう
Ｐ,真、お前は子供役じゃなかったのか……
？？,それはみきのくちべになのー！
Ｐ,余計にややこしくなった
ゆきほ,あら、あなたおとなりのくろいさんのおくさんのみきちゃんじゃない
みき,そーだよ！みきてきにはね、もうくろいさんとはやってけないかなーって。だからはにーとけっこんするの！あとまことくんももらってくの！
まこと,えー！？
Ｐ,真、やはりお前もこっち側だったか
みき,じゃあ、ばいばい。いこ！はにー、まことくん！
ゆきほ,ちょ、ちょっとまって～。そ、そんなのわたし、ゆるしません！
みき,じゃーどーするの？もうみきとはにーはらぶらぶなんだよ？きのうだっていっしょにねたんだから
ゆきほ,ええ！。……うぅ……。う、うう……うぇ～ん
Ｐ,お、おいおい雪歩泣くなよ。しかも今度はガチ泣きじゃないか！。美希が言ってるのは嘘だって、俺は雪歩お母さんのことがいちば……だいすきだよ。ほ、ほ～ら！だっこしてやろう
ゆきほ,えぐ……だいすき？ほ、ほんとですか～？
みき,あー、ずるいの！みきも！みきも！
まこと,ボクもー！
あずさ,じゃあ、今日は何してあそぼっか～
あみ,あみ、あれがいい！え～っと……
まみ,あいどるごっこ！
あみ,それ！。あいどるごっこはいいね～！
まみ,ぶんかのきわみ～！
いおり,またそれ～？あんたたちあきないわねー
あみ,いおりんはやなの？
まみ,いっしょにやろうよ～
いおり,ど、どーしてもっていうなら……
あずさ,これならユニットが組めちゃうわねぇ
あみ,ゆにっと？
まみ,ばす？
いおり,ばかね、ゆにっとってのは……えっと
あずさ,新幹少女の子たちみたいに、仲良くみんなで、アイドルすることよ～
あみ,ひかりちゃん！
まみ,のぞみちゃん！
いおり,あと……り、りんちゃん？
あずさ,ふふふ、つばめちゃん。じゃあホールにいきましょうね～
あみ,なにうたうー？
まみ,あれがいい！みんなでれんしゅーしてるやつ！
いおり,なないろぼたんね
あみ,きみがふっれったっから～！
まみ,なーないろーぼーたんー♪
いおり,すべてーをこいーでー♪
あずさ,そ～めたよ～♪
律子,こらー！まちなさーい！眼鏡を返してー！
とうま,へっへーやーだよー！
ほくと,ちゃお☆
しょうた,ま、まってよ～
律子,ぜぇ……ぜぇ……なんで、がきんちょたちは……こんなに走れるのかしら……。楽しそうに……はぁ、はぁ……見えますか……。あーもう、あいつらまたどっか行っちゃった
あみ,あー！
まみ,りっちゃんだー！
いおり,めがね、とられちゃったの？
律子,そ～なのよ……まったく、あのやんちゃ坊主どもめ！
あみ,かわいそー
まみ,でもかわいーね！
いおり,こっちのほうがいーんじゃない
律子,あずさ先生……年少の子たちはいいですね。こんなに素直ないい子たちで……
あずさ,あら、でもあの子たち……えっと、ジュピター３人組でしたっけ？ちゃんと私の言うこと聞いてくれますよ
律子,それはきっと……
あずさ,？
律子,……クッ。って私だってそれなりに持ってるわよ！あずさ先生が規格外なだけ！
あずさ,律子さん、この子たちが歌うの観ていってください。とってもかわいいんですから
律子,そうですね……ちょっと休憩。ああ、癒されるわあ……。子供たちもそうだけど、あずさ先生もとても楽しそう。こういう先生になりたくて、私は勉強してるのよね！。悪ガキどもには負けないんだから！
なむこ組,やよい、あみ、まみ
７６５組,はるか、ちはや、まこと、ゆきほ
９６１組,ひびき、たかね、みき
九六一組,とうま、ほくと、しょうた
なむこ組,やよい、あみ、まみ、いおり
７６５組,はるか、ちはや、まこと、ゆきほ
９６１組,ひびき、たかね、みき
九六一組,とうま、ほくと、しょうた
はるか,こっちこっちー！ちはやちゃん、ぷろでゅーさーさん！
ちはや,はるか、そんなにひっぱらないで……
Ｐ,ははは、俺は逃げないってー
はるか,えっへへー！ぷろでゅーさーさん！すてーじですよ、すてーじ！
ちはや,はるか、うれしそう……ふふ
律子,あ、プロデューサー殿
あずさ,！。…………
Ｐ,おや、律子じゃないか。眼鏡どうしたんだ？
律子,それは言わないでください……
Ｐ,あーいやすまん、いつも通りやられたのか……
ちはや,あ……あずさせんせいも
Ｐ,……！あずさ先生！こんにちは！
あずさ,……！……こんにちは、プロデューサーさん
Ｐ,アイドルごっこをしてたんですか？いやーあずさ先生なら本物のアイドルにだってなれますよ！
あずさ,もう、プロデューサーさんったら……。私、ちょっと恥ずかしいです
律子,あんまり鼻の下伸ばさないでくださいよ、プロデューサー殿
Ｐ,な、なにを言っているんだ。そんなこと……。ここに来たってことは、春香もこのステージでアイドルごっこをやりたかったんだな？
はるか,そーなんです！ちはやちゃん、いっしょにうたお？
ちはや,うん。ぷろでゅーさー、みててくださいね
あずさ,まあまあ、プロデューサーさんはほんとに子供たちから好かれているんですね
Ｐ,喜ばしいことです。ここにいる間だけは、みんな俺の娘みたいなものですしね
はるか,ねえねえあみ、まみ、いおり。わたしたちもいい？
あみ,あーだめだよー！
まみ,まみたちがさきにつかってたんだよー！
いおり,べつにいーじゃない、いっしょにつかいましょ
あみ,いおりんがいうなら……
まみ,ちかたないね
はるか,あーゆれでぃー♪
ちはや,あいむれぃでぃ♪
あみ,はっじめっよっお～！
まみ,やればできるー♪
いおり,きっとーぜぇたーいー♪
みんな,わたしなんばわ～ん♪
Ｐ,やっぱり、本物のアイドルみたいだな……いや、それ以上にきらきらしている
あずさ,ふふ、ほんとですねぇ
律子,……私、こういう子たちをもっと笑顔にさせてあげられるような保育士になりたいです。もしなれなかったら、昔のプロデューサー殿みたいにアイドルプロデュースする、なんてのもいいかなぁ
あずさ,あらあら。そのときは私もアイドルにしてくれますか？
律子,ぜひぜひ！あずさ先生だけじゃなく、伊織や亜美たちなんかも一緒にプロデュースしちゃいますよ！
Ｐ,ははは、律子だったら自分でアイドルになるのも夢じゃないんじゃないか？
律子,やめてくださいよ……もう。そういうのはあずさ先生にだけ言っといてください
あみ,……ｚｚｚ……
まみ,……すぅ……すぅ……
いおり,……う～ん……でこちゃんゆーな…………
あずさ,うふふ。みんなよく眠っているわ～
やよい,…………
あずさ,やよいちゃん、さっきのあそび時間でも寝てたから……
やよい,しぇんしぇー
あずさ,ふふ。ほら、こっちにいらっしゃい
やよい,…………
あずさ,眠れないの？
やよい,……しょーなんです……わたし、わるいこです
あずさ,そんなことないわよ～。じゃあ先生と一緒に、ちょっとお散歩しよっか
やよい,…………。……だれもいないです
あずさ,そうねぇ。みんないまはお昼寝してるから……
やよい,わたしとしぇんしぇーだけです
あずさ,そうよ、ふたりっきり。みんなには秘密だからね？
やよい,ひみつ……えへへ……
小鳥,ちゅんちゅん
あずさ,あら、音無さん
