姫川友紀,あ、ありがとうございますっ
P,よっ、お疲れ
友紀,あ、プロデューサー
P,順調？
友紀,うん……まぁ、なんとか
P,そっか。ほい水
友紀,さんきゅー♪
P,なかなかサマになってるじゃん
友紀,そうかなぁ
P,たまにはかわいい感じのも良いもんだ
友紀,話聞いた時は、ちょっと恥ずかしかったんだけどね…
P,似合ってる似合ってる
友紀,……そ、そう？
P,うんうん。これを機にファッション系の仕事も増えてくると、幅が広がって良いかもね
友紀,あー、うん。そうだね、仕事……がっくし
P,？
友紀,…まぁいいや。飛鳥ちゃんは？
P,あぁ。飛鳥なら、向こうでまだ撮ってるよ
友紀,そっか
P,特に問題なさそうだったから、後は任せてこっちに来てみたんだけど。行ってみる？
友紀,んー……どうしよっかな
P,あ、はい！今行きます！。何だろ。写真のチェックかな
友紀,……や、やっぱり、表情硬かったかな…
P,緊張した？
友紀,えっと、こういうの撮るの初めてだし、ちょっと…
P,そうか…
友紀,うぅ、どうしよう。撮り直しかなぁ
P,…よし、没写真貰ってくるわ
友紀,はぁ！？
P,データ消される前に回収しなきゃ
友紀,ちょっとやめてよ！
P,だって変顔ユッキとか貴重じゃん。要チェックだな
友紀,いいからそういうの…
P,じゃ、行ってくるから。深呼吸でもして、ちょっと休んでなよ
友紀,貰わなくていいからねー！
P,はいはい
友紀,…もうっ。あーあ。暇になっちゃった。葉っぱ、きれいだなー。…はぁ。……だめだなぁ、緊張しちゃって。……向こう行ってみよ
二宮飛鳥,……
友紀,飛鳥ちゃ……ん？
飛鳥,…やあ友紀。すっかりおめかししているじゃないか
友紀,う、うん……まだイマイチ慣れないけど
飛鳥,それはボクもさ…。こういうゴシックな装い、普段はあまりしていないから…
友紀,そんな風には見えないけどなぁ
飛鳥,そう？…なら、衣装の方がボクに合わせてくれているんだろう。撮影は済んだのかい
友紀,あ、えっと、今休憩中なんだ
飛鳥,そうか…ボクもだよ
友紀,ちょっと様子でも見に……というより、参考にと思って
飛鳥,参考…？
友紀,こういう撮影、飛鳥ちゃんの方が慣れてるのかな、どう撮ってるのかなって
飛鳥,……ふぅん。自然体で良いと思うけれど
友紀,できたら良かったんだけどね…。スタッフさんたちは？
飛鳥,先程向こうに捌けていったかな……打ち合わせだろうか
友紀,…あの、もしかしてちょっと疲れてる？撮影大変だった？
飛鳥,そんなことはないけど…
友紀,じゃあ、なんでまだ寝てるの？
飛鳥,……何故だろうね
友紀,葉っぱ、いくつか身体に落ちてるけど
飛鳥,ああ、そのままで良いよ
友紀,良いんだ…
飛鳥,その方が、きっと自然だろう…
友紀,調子悪いのかな。なんだかいつにも増して、言動がスローボールだし
飛鳥,強いて言うなら……空が高いから、かな
友紀,？？
飛鳥,撮影中にふと見上げたら……何と言うか、吸い込まれそうになってしまって
友紀,どれどれ…。……ほんとだ。うわー…
飛鳥,天高く馬肥ゆる…なんていうけれど。今日の秋空は、本当に高い
友紀,フライ上げたら、そのまま持っていかれちゃいそう…
飛鳥,…はは、キミらしい表現だね。持っていかれる、か。なるほど
友紀,空気もきれいだもんねぇ
飛鳥,こうして天空を眺めているのは……考え事をするのに、ぴったりだ
友紀,起きれない理由、ちょっと分かったかも
飛鳥,フフッ…キミも、横になる？
友紀,さ、流石に遠慮しよっかな…
飛鳥,…そう
友紀,座るくらいにしておくね……よいしょっと。撮影日和で良かったね。景色もきれい！
飛鳥,…綺麗、か
友紀,もみじとか、きれいじゃない？
飛鳥,……ああ、綺麗さ。赤に黄色…美しくも儚く燃える、まるで散り往く命の灯火だ
友紀,ともしび？
飛鳥,…そもそも紅葉とは、葉が機能を失い死んでいく現象のことを指す
友紀,そうなんだ
飛鳥,ああ、緑の色素がどんどん壊れていくんだ。…専門的な知識はともかくね。こうして茜色に染まっていくのは、葉が残り少ない命を燃やしているから。そう考えると、妙にココロがざわつくのは……果たして、ボクだけかな
友紀,…
飛鳥,そして、色が変わり落ちる葉は…木々にとって不要とされた、いわば捨てられた亡骸
友紀,捨てられた…
