橘ありす,おはようございます
フレデリカ,へいらっしゃい！
ありす,は？
フレデリカ,お客さん！どこまで？
ありす,は？
フレデリカ,もー！ありすちゃん！つれないなー！。そこはお姉さんの背中にピョンと飛び乗って、フレデリカさんとなら……どこへでもとか言っちゃう展開だよー？
ありす,くだらないという言葉すら面倒ですね
フレデリカ,あ！もしかして恥ずかしいのかな～？
ありす,同じアイドルとしてなら死ぬほど恥ずかしいですけど。とりあえず趣旨を説明してください
フレデリカ,フレちゃんはねー！タクシーなのだ！
ありす,そうですか、お疲れさまでした
フレデリカ,そんなに気になるなら説明してしんぜよう！
ありす,いや……別に興味な……力強っ！
フレデリカ,あれは昨日の夜の……いや朝……？おとといだっけ？いやでも帰って相棒見たから前の水曜……あれ？それは録画で見た気も……？１週間は前じゃないはず……とりあえず３日前ってことにしとこっか？
ありす,そういうどうでもいいとこに時間を割かないでください！
フレデリカ,〈シューコちゃんがこの前テレビで奏ちゃんが［前に乗ったタクシーの接客がとても丁寧でよかった］って言ってたんよって言ってたのをテレビで見たってシキちゃんが教えてくれた〉って雪美ちゃんが教えてくれたんだ！
ありす,1言に何人ねじ込むんですか！？。翻訳が滅茶苦茶ヘタな教科書みたいになってるじゃないですか！
フレデリカ,括弧の種類が足りないねー
ありす,そういうことじゃなくって！
フレデリカ,それでさ、フレちゃんもタクシーになって、みんなに優しさを振りまこうかなって思ったんだよー！
ありす,理解はできましたが共感はできませんね。そもそも誰が使うんですか
フレデリカ,そうかな？もう30人は運んでるんだけど
ありす,！？。いやいやいや、そんなわけないじゃないですか
フレデリカ,ホントなのにー
双葉杏,フレデリカー、レッスン室までー
ありす,常連みたいな人が来たんですけど！？
フレデリカ,へいらっしゃい！お客さん！どこまで？
ありす,今言ってたじゃないですか！
杏,346プロダクションAビル4階レッスンルームDの入口付近まで
ありす,厳格！？
フレデリカ,へいらっしゃい！
ありす,語彙力！！！
フレデリカ,今日の初乗り運賃は50ポンドだよ！
ありす,なぜ外貨！？。ってか約8000円じゃないですか！高っ！。そもそもポンドはフランスじゃなくてイギリス！！！
杏,元気だねぇ
ありす,手に負えないんですが……
杏,今日はどうやって運賃が上がってくの？
ありす,そもそも“今日は”っておかしいじゃないですか
フレデリカ,今日はねー！フレちゃんが疲れた……と呟くたびに2倍だよ！
ありす,フレデリカさんの匙加減によるじゃないですか！？しかも暴利！！
杏,アド街見た
フレデリカ,じゃあタダ☆
ありす,商売する気あります！？
フレデリカ,じょーだんじょーだん♪
ありす,どこからですか……
フレデリカ,アド街見たから
ありす,じゃあ結局50ポンド取られるじゃないですか！？
