双葉杏,えー、それじゃ暑いじゃん
Ｐ,我慢しろ。というか、レッスンしろ
杏,杏は今、アイドル引退中だから
Ｐ,勝手に引退宣言するんじゃない。印税生活には、まだ程遠いぞ
杏,じゃあほら、レッスン行くから、設定温度下げようよ。ついでに飴をくれ
Ｐ,恐ろしいほど図々しい提案だな
杏,遠慮しちゃ悪いかなって
Ｐ,気の使い方がおかしい
杏,どどん波？
Ｐ,その気じゃねえよ
杏,早くしないと、杏はどどん波を撃つよ
Ｐ,気の使い方が上手くなってんじゃねえよ
佐城雪美,Ｐ……寒い……
Ｐ,なに、冷房が効きすぎてるのか。――げ、設定温度が二十五度になってる。杏の仕業だな
雪美,抱き締めて……
Ｐ,え、なんで？
雪美,寒い……Ｐが、抱いてくれれば……温かい……
Ｐ,いや、冷房の設定温度を上げれば良いじゃないか
雪美,Ｐ……抱いたほうが、早い……
Ｐ,リモコンで操作するほうが早いよな？
雪美,……私……こと、嫌い……？
Ｐ,いや、雪美のことは好きだぞ。でも、あー……そう、俺は暑がりでな。雪美を抱くと、ちょっと暑いかな
雪美,なら……良い方法……ある
Ｐ,聞かせてくれ
雪美,……設定温度……下げる……
Ｐ,それなら、上げても良いよな
雪美,いけず……
Ｐ,かな子
三村かな子,はい、なんですか
Ｐ,その、冷房の温度……下げたほうが良いか
かな子,え、平気ですけど？
Ｐ,だってお前、今日一日、何度も更衣室に行ってるし
かな子,……なんのことですかっ
Ｐ,いや、蒸れるくらい暑いなら、我慢しないで良いんだぞ？
かな子,ち、違うんです！別に汗っかきとかじゃなくて
Ｐ,うん、分かってる。分かってるから、温度下げような
かな子,変な理解はやめてください！私はその、えっと……そう、お洒落に目覚めたんですよ
Ｐ,お洒落？
かな子,はい。お洒落さんなので、一日七回は下着を変えなきゃ、気が済まないだけなんです
Ｐ,温度、下げるぞ
かな子,……お願いします
日野茜,おっはようございまーす！
Ｐ,おう、おはよう。――って、雨にでも降られたのか
茜,雨ですか、降ってませんでしたよ？
Ｐ,でも、びしょ濡れじゃないか。大雨に降られでもしなきゃ、そうはならんだろ
茜,え、ああ、これは水じゃないですよ。私の汗です！
Ｐ,は？
茜,今日は早く起きたので、ランニング代わりに、遠回りしながら走って事務所に来ました！
Ｐ,走って！朝とはいえ、日が昇ってるんだぞ？
茜,はい！そのおかげで、良い汗がかけました！
Ｐ,その汗の量は、明らかに悪いものだ
茜,大丈夫です、鍛えてますので！ところで、訊きたいことがあるんですけど
Ｐ,なんだ？
茜,どうして、プロデューサーが三人いるんでしょう？
Ｐ,誰か、ありったけの水を持ってきてくれ！ついでに冷房の温度も下げてくれ！。うう、暑いな……。久々の昼出勤で分かった。日の昇った後の出勤路が、こんなにも暑いとは。これではあいつらが暑がるのも、得心がいくというものだ。冷房の設定温度を、下げてやるのもいいかもしれない。ようやく着いた。おはようございます
十時愛梨,下着姿
Ｐ,失礼しました。なんで愛梨は脱いでるんだ……？。ああ、そうか。暑いからか。いや、脱ぐくらいなら、設定温度下げろよ
愛梨,プロデューサーさん、どうしたんですか
Ｐ,なんで格好そのままで来るんだ？
愛梨,え、格好……？
Ｐ,服だ、服を着ろ！
愛梨,き、きゃぁああ！見ないでくださいっ！
Ｐ,見ない、見ないから早く事務所の中に戻れ
愛梨,どっちが中でしたっけ！？
Ｐ,混乱するな。落ち着け。――おい、なんでこっちに来るんだ？
愛梨,プロデューサーさんに、密着すれば、少なくともプロデューサーさんには見られないですよねっ！
Ｐ,その状況が、見られるより恥ずかしいことに気づけ！。な、なんだ……？急に寒くなってきたぞ。設定温度は――下がってないな。いったいどうしたんだ？
白坂小梅,お、おはようございます……
Ｐ,おう、おはよう
小梅,あの……ぷ、プロデューサーさん
Ｐ,どうした？
小梅,今日は、お、お客さんが多くて……き、き、緊張する……
Ｐ,お客さん……
小梅,あ、あの人……見た目が、す、少しだけ好みです
Ｐ,待て、小梅。それはどこにいて、どんな人だ？
小梅,え、そこにいる……額が凹んで、目玉が一つ足りない――
Ｐ,よし、小梅。冷房の温度を上げてから、外に出ようか！カキ氷をおごってやる！
小梅,本当、ですか……！う、嬉しい、かも
Ｐ,いやいや、お安い御用だ。だから、ここにいるお客さんが近づいてきたら、すぐに言ってくれ
小梅,分かり……ました。そ、それなら、あの、後ろに……
Ｐ,ぎゃ
輿水幸子,おはようございます。今日もカワイイボクが来ましたよ！
Ｐ,おはよう、幸子。……あれ、お前は汗をかいてないのか
幸子,汗？ボクがそんなもの、かくわけないじゃないですか。汗だくで歩いていても、カワイクないですからね
Ｐ,なにはともあれ、設定温度に文句を言わないのは良いことだ
幸子,当然です！文句なんか言っても、見苦しいだけですから
Ｐ,うむうむ、幸子、こっちゃ来い
幸子,なんですか
Ｐ,ほい
幸子,わ、なにを――
Ｐ,服の下に冷却剤って、お腹壊すぞ
幸子,止めてください、服をまくり上げないで！
Ｐ,いくら見えないからって、これはカワイイと言っていいのか
幸子,良いんです！カワイイなりの工夫なんですから！
Ｐ,カワイイにこだわり過ぎて、なに言ってるのか分からなくなってるぞ
白菊ほたる,おはようございます
Ｐ,おお、ほたるか。おはよう
