島村卯月,菜々さんの年齢、気になりませんか？
本田未央,しまむー急にどうしたの
渋谷凛,そりゃ気にはなるけど、突っ込んだら駄目なとこじゃないかな、それ
卯月,だってですよ、あれだけ自分は17歳だって言いながら自爆してるんですよ？。もうはっきり聞いてしまった方が楽になると思うんですよ！5周年ですし！
未央,5周年だからって許されない事もあるんだよ、しまむー
凛,菜々さんも別に自爆したくて自爆してるわけでは無いと思うけど…
安部菜々,おはようございまーす
卯月,あ、ちょうど良いところに！菜々さーん！菜々さんって何歳なんですかー？
未央,もうちょっとさ、ためらいを持とうよ
菜々,え、ナナは永遠の17歳ですよ？
卯月,そういんじゃなくってですねー！5周年なんですし実年齢を教えて下さいよ！
凛,今日の卯月は勢いがあるね
未央,しかし直球すぎやしないかい？
菜々,うーん…5周年ですか…なら、仕方ないですね、皆さんには秘密ですよ？
未央,いいんだ
卯月,えっ！？教えてくれるんですか！？
凛,当の卯月が一番びっくりしてるんだけど
菜々,ただし、準備に時間が掛かるので明日来てください。そうすれば教えてあげますよ？
未央,…準備？
卯月,わかりました！楽しみにしてますね！
菜々,ええ、楽しいかどうかはわかりませんが…それじゃあ明日
凛,菜々さんからこの部屋に来てくださいって連絡がきたけども…
未央,事務所にこんな部屋あったんだ…、なんか変に緊張してきたよ
卯月,私は緊張よりも楽しみでドキドキしてますね！
菜々,あ、3人ともお揃いですね。どうぞ、ちょうど準備が済んだところです
3人,失礼しまーす
卯月,あれ…？
未央,なんか…？
凛,頭が軽くなったような…
菜々,確認しますけど、3人が聞きたいのはナナの年齢という事でいいんですよね？
卯月,そうです、教えてくれるんですよね？
菜々,わかりました…ナナの実年齢なんですが…
未央,
凛,
卯月,
菜々,17歳です！
3人,えー！！…って17歳！？
菜々,嘘じゃないですよ？ほら保険証にだって17歳って記入されてますし
凛,…ホントだ
未央,…こう言っちゃなんだけど、ちょっと拍子抜けしたって言うか
卯月,そうですよ！じゃあなんで永遠の17歳なんて言ってるんですか！キャラ付けですか！
菜々,もちろん、そういう反応が返ってくるのはわかっていましたよ。今日お話しするのは永遠の17歳についてです。いいですか？ここからの話を聞く覚悟はありますか？
未央,え、なにそのプレッシャーは…
凛,そう言われると余計に聞きたくなっちゃうな
卯月,御託はいいんですよ！早く話してください！
菜々,そうですか、わかりました。…まず卯月ちゃん、ナナに年齢を聞くとき5周年って言ってましたよね？
卯月,そうですよ？それが何か？
菜々,なら、5周年って何が5周年何ですか？
卯月,え？それは私たちがアイドルになってから…の？あれ…？
菜々,質問を変えましょうか、凛ちゃん？
凛,…はい
菜々,凛ちゃんは何歳でアイドルになりましたか？
凛,…15歳だけど
菜々,それじゃあ、凛ちゃんは今、何歳ですか？
凛,15歳だけど…って、ん？え？
菜々,うん、5周年というからには、それ相応の年が経過しているはずですよね
未央,は？…いやいや…え？
菜々,もう、気づきましたよね？ナナが永遠の17歳なんて言っている理由が。アイドルは年を取らないんですよ？
未央,ちょ…！ちょっと待ってよ！？いきなりそんなこと言われても…！
菜々,いきなりも何も、皆さんが今、実際に体験なされているじゃないですか。アイドルになってからの記憶や思い出はしっかりと残っている、けれど年齢はアイドルになった時のまま、変わっていない。これ以上ない証明ですよ
卯月,けど…そんな…そんな事って…
菜々,いやー…ナナもこの事実に気づいた時にはかなり驚きましたけど、3人とも大丈夫ですか？。凛ちゃんなんて、お顔が真っ青じゃないですか
凛,そりゃ…こんな事を聞いたら気分も悪くなるでしょ
菜々,まあいいじゃないですか、考えようによってはいつまでも若いままでいられるんですよ？女の子の夢じゃないですか
未央,菜々さんはどうしてそんなに冷静でいられるのさ！
菜々,冷静にもなりますよ。ナナが何年17歳をやっていると思っているんですか
卯月,…聞きたくは無いんですけど、ナナさんは何年17歳のままなんですか…？
菜々,そうですねえ…だいたい100年くらいは超えてると思いますよ？
卯月,100！！？
凛,そんな…
未央,嘘だ…うそだよ、こんな…
菜々,あっ！勘違いしないでくださいね？ずっとこのままという訳じゃなくて、アイドルを辞めるとまた年を取り始めますからね？
3人,！？
