財前時子,飛鳥になつかれた
時子,……
飛鳥,……
時子,……
飛鳥,…
時子,ねぇ飛鳥
飛鳥,ん？なんだい時子さん？
時子,なんだい、じゃなくてなんでついてきてんのよ
飛鳥,ついてきてる？それは誤解だよ時子さん、ボクもたまたまこっちに用があるだけさ
時子,こっちパッションの更衣室よ
飛鳥,おや、ボクがパッションの更衣室に行ってはならない理由でもあるのかい？
時子,別にないわ、でもいったい何の用があるっていうのよ
飛鳥,……ほら、藍子先輩の下着でも盗もうかと
時子,今すぐクールに帰れ。……
飛鳥,……
時子,だからなんでついてきてんのよ
飛鳥,昨日も言っただろう？ボクもこっちに用があるだけだってさ
時子,はぁ…ま、べつにいいわ
飛鳥,おや、方向転換してどこに行くんだい？
時子,トイレよ、わざわざ言わせないでめんどくさいから
飛鳥,なるほど、ね。野暮なことを聞いてしまったね、どうぞごゆっくり花をつむといい
時子,言われなくても自分のペースで用くらい足すわよ
飛鳥,せっかく上品な言い方をしたのに言い直さなくていいじゃないか
時子,…アンタもトイレ？
飛鳥,ちょっと催してしまってね
時子,まぁどうでもいいわ
飛鳥,ハハッ、逆に興味もたれても困るしね
時子,なにナチュラルに同じ個室に入ってんのよ！！！！。……
飛鳥,……
時子,もうついてくることには何も言わないことにするわ。だけどこれだけは答えてもらうわ、何か用なの？
飛鳥,時子さん、今日はハイヒールなんだね似合っているよ
時子,会話のキャッチボールって知ってる？
飛鳥,何度もいっているとおりボクもこっちに用があるだけでなにも時子さんの後をついている訳ではないよ？
時子,えぇ、今まで疑問には感じてたけどそれでなんとか納得していたわ
飛鳥,じゃあ今日もそれで納得してくれないかい？
時子,今日はオフでなおかつここは事務所じゃなくて道よ、わかる？
飛鳥,へぇ、オフなんだねボクも今日はオフなんだ
時子,そう、ならどこかに行けば？
飛鳥,言われなくても向かっている途中だよ？
時子,………ちなみに私は実家に帰ろうとしてる途中なのよね
飛鳥,奇遇だね、ボクも時子さんの実家に用があるんだ
時子,こっちはないわよ！！。……
飛鳥,……
時子,……
飛鳥,…
時子,……
飛鳥,あ、まだ読んでる
時子,あぁ、わかったわ
飛鳥,読めたよー
時子,はいはい
飛鳥,時子さん、読むの速いよ
時子,私の本なんだからアンタが私に合わせなさい。ていうかなんで私の膝の上のってんのよ
飛鳥,ダメかい？
時子,重いのよふつうに
モバP,時子様ー、そろそろ仕事ですよー
