ガヴリール,あれ、今日のヴィーネの弁当変わってるね
ヴィーネ,うん、レモンのはちみつ漬けなの、すっぱいものが食べたくなっちゃって
ガヴ,ふーん、けどお昼それだけってのはめずらしいね
ヴィーネ,うっ…吐き気が…
ガヴ,え？どしたの、急に？こないだのカゼまだ治ってないの？
ヴィーネ,ううん、つわりがちょっとひどくて……
ガヴ,あ、ああ…そうなんだ、気を付けてね。…………………ん？。…………
ヴィーネ,あ、蹴ったわ
ガヴ,…あ、あのうヴィーネさん…？
ヴィーネ,なによ
ガヴ,今日のヴィーネ、ちょっと変じゃない？
ヴィーネ,……、ふーん、ここまでヒント出しといてそんな反応なんだ
ガヴ,え？
ヴィーネ,ほんと、ダメなパパでちゅねー、ねえ？、ふふ
ガヴ,え、いやいやいやど、どうしたのヴィーネ、今日のヴィーネ確実におかしいんだけど
ヴィーネ,ああもう、皆まで言わせる気……まったく、ホントあんたってやつは…
ガヴ,は、はあ？な、何言ってんのヴィーネ、体調悪いなら保健室いったほうが
ヴィーネ,あのね、ガヴ…できちゃったみたいなの…赤ちゃん
ガヴ,あ………？何が、できたって？
ヴィーネ,だから、赤ちゃん
ガヴ,あ……は、はああ！？な、なな何言ってんの、ヴィーネ！？あ、ああ赤ちゃんって、はああ！？
ヴィーネ,ふふ…んもう、鈍感なんだから
ガヴ,いやいや、ど、どゆこと！？急にそんなこといって！て、てか、相手、だれだよ！？え？
ヴィーネ,え？
ガヴ,え？
ヴィーネ,……んもうガヴ、何言ってんのよ、つまんない冗談はやめてよ
ガヴ,は？
ヴィーネ,え？。え……、何言ってんの…ガヴ…え？
ガヴ,え、いやいやヴィ、ヴィーネ、どうしたんだよ、赤ちゃんがどうとか…お前今日、ほんとおかしいぞ？
ヴィーネ,お、覚えて…ないの…？この間のこと…カゼの時、見舞いに来てくれた日のこと
ガヴ,見舞いって…ああ、ヴィーネがカゼで学校休んだ日のこと？え？…な、なんかあったっけ
ヴィーネ,え……
ガヴ,え？
ヴィーネ,ほ、ほんとに……お、覚えてない……の？
ガヴ,は、はあ！？いや、何！？ホント何のこといってんの？あの日って別に私がプリントをヴィーネん家に渡しにいっただけでなんにも…
ヴィーネ,ひ、ひどっ…う…
ガヴ,え？ヴぃ、ヴィーネ…な、なんか、泣いて…ない？
ヴィーネ,が、ガヴが悪いんじゃない…わ、私…はじめて…だ、った…のに…う…
ガヴ,え…あ、あの…ヴィーネ…クラスのみんなもみてるんで…その…あのこれ以上、よくわかんないこというのは…
ヴィーネ,！？。が、ガヴ…が…責任……とってくれ…ない…？
ガヴ,げ…、つ、ついに本格的に泣き出した！？え、ちょ、ヴぃ、ヴィーネ！？ホントおかしいよ、保健室いこ、保健室っ…
ヴィーネ,ううっ
ガヴ,え、ちょ、ヴィーネ、どこ行くの！？え、ヴぃ、ヴィーネ！？？
ラフィ,あらあら、ガヴちゃん……今のはいけないですねえ…
ガヴ,え、な、何急にラフィエル！？観てたの、今の意味わかんない一部始終！？
ラフィ,あんな無責任なこと言って…ヴィーネさんかわいそう…
ガヴ,いやいやいや意味わかんないし！？私何にもしてないし！そもそもアイツ、赤ちゃんがどうとか言い出して、私に責任がどうとか…！全然いみわかんないだけどっ！
ラフィ,いや、だから、ガヴちゃんなんじゃないんですか？
ガヴ,はあああ！？何が！？
ラフィ,ヴィーネさんを妊娠させたの
ガヴ,。あ……？ラフィエル…今…なんて
ラフィ,さっきの会話の流れだと、ヴィーネさんがカゼに見舞いに行った日に、ガヴちゃんがヴィーネさんとアレして仕込んだっていう運びなのかなって
ガヴ,んなわけあるかああああ！！何言ってんのラフィエル！バカじゃないの、バカなんじゃないの！！？？
ラフィ,あ、顔真っ赤にして焦っていることがまた
ガヴ,いやいやいや、アホか！いろいろツッコミどころ多すぎるわあ！！
ラフィ,え、ツッコミどころ…いやらしいですねえ
ガヴ,下ネタじゃねーよ！お前ホント天使か！？？そもそも…ラフィエル…！聞くけどさ！女の子なんだけどっ！私もヴィーネも！
ラフィ,ええ、そうですけど、それがなにか
ガヴ,それが何かって…いやいやいや！！で、できないじゃん！！あ、ああ赤ちゃんなんか…！女の子同士じゃ、で、できないじゃん！！
ラフィ,………。は！そ、そ、そういえば！！
ガヴ,気づくの遅いわっ！
ラフィ,え、それじゃあ…ヴィーネさんのあれは…もしかして…想像妊娠…？
ガヴ,いやもう…ほんとヴィーネ、なんであんなことになったんだろう…まじ怖かったんだけど
サターニャ,何よアンタたち二人して、こんなところで集まって
ラフィ,あら、サターニャさん
サターニャ,ねえ、ところでヴィネットってなんかあったの？なんか、さっきものすごい勢いで学校から走って去っていくのをみたんだけど…
ラフィ,ああ、それはガヴちゃんが認知してくれないから…ショックで
ガヴ,なあ、お前、さっきの流れなんで無視すんの…ホント、しばかれたいの？ラフィエル…
ラフィ,あ、す、すいません…お願いだから胸倉つかまないで
ガヴ,知らねーよ、ヴィーネなんか…なんかアイツ今日変なんだよ…体調が悪くて早退でもしたんじゃね？
サターニャ,ふーん、ヴィネットったら、まだこの間のカゼ治ってないのかしら…せっかく私が魔界通販で買った薬をヴィネットに差し入れしてあげたのに…
ガヴ,……あ？お前、今なんてった？
サターニャ,ん？いやだから、カゼがなかなか治らないヴィネットのために、このサターニャさまが、魔界通販で買った薬を…
ガヴ,間違いなくそれが原因じゃねーかあ！！ヴィーネがおかしくなったのって、お前が差し入れたっていう、その変な薬のせいだろ、このバカ悪魔！
