敢えてタイトルが3じゃないのは続編が増える度に数字が増えていく系SSタイトルは個人的にごちゃごちゃして見づらいなと思ったらからです。,＊めちゃくちゃ個人の意見です。
ガヴリール,そんなわけで今日はハロウィンです！！。楽しい仮装やおいしいお菓子で仲間たちと盛り上がれるとても素晴らしい一日のはじまりです！！
サターニャ,……いや、ハロウィンだかなんだか知らないけど、勝手に部屋に上がらないで欲しいのだけれど。それに私今暇で忙しいからあんた達の相手をする時間がないの。だから諦めてはやく帰りなさい
ガヴリール,えー、いいじゃないですか。だってサターニャさん、暇なんですよね
サターニャ,はぁ、暇な時くらいアンタの顔を見たくないって言ってんのよ
ガヴリール,酷いですっ！。なんでそんな寂しい事を言うんですか？悲しいです
サターニャ,なんでって、学校の日も休日もサターニャさん、サターニャさんってくっ付いて来て……もう耐えられないの。こんな生活はもう嫌なの……
ヴィーネ,なにそれ、むしろ天国じゃない
サターニャ,百合っ子悪魔は黙ってなさい！！
ヴィーネ,は、はぁ！？ちょっ、ゆ、百合っ子悪魔って……誰が……そんな…
ガヴリール,ラフィエル、百合っ子悪魔とはどういう意味でしょうか？
ラフィエル,うーん、私にもよくわかりませんねー。でも、きっとヴィーネさんは百合の花を愛でるのが大好きなんだと思いますよー
ガヴリール,そういう事でしたか、ヴィーネにはお花を愛でる姿がよく似合うと私も思っていたんですよ
ラフィエル,ですねー
ガヴリール,そう思うとなんだか良いですね。今度から私もヴィーネの事を百合っ子悪魔と呼んでみることにしましょうか
ヴィーネ,ガヴ、それだけはやめて！！私の心が死んじゃう……
ガヴリール,？わかりました。ヴィーネがそこまで言うのならやめておきます
ヴィーネ,うん、ありがとう…本当に
サターニャ,と・に・か・く、私はハロウィンなんかに参加しないんだから
ラフィエル,うーん、今日のサターニャさんはいつもより少し意固地さんですね。理由を聞いてもいいですか？
サターニャ,ふん、理由はさっきも言ったでしょ。四六時中アンタ達に付きまとわれるのに疲れたのよ
ラフィエル,それでもこの頑なさには他にも理由があるんじゃないかと私は思ったのですが。違いましたか？
サターニャ,…………………。はぁ、アンタには敵わないわね……
ラフィエル,伊達にいつもサターニャさんをストーキングもとい、見ている訳じゃないですから
サターニャ,ガヴリール達には絶対に言うんじゃないわよ？約束できる？
ラフィエル,わかりました
サターニャ,一回しか言わないからよく聞くのよ
ラフィエル,はい
サターニャ,いやほらだってね？最近の私ってガヴリールの誘いを最初は断るものの、なんだかんで最後はあいつに付き合ってる訳じゃない
ラフィエル,ですねー
サターニャ,なんだかそれって…
ラフィエル,？
サターニャ,実は私とガヴリールがめちゃくちゃ仲良しみたいな感じですっごく嫌なのよっ！
ラフィエル,………………。ふふ、うふふふあははは
サターニャ,はぁ、え、ちょっとアンタなに笑ってんのよ！？。こっちは真剣だって言うのに……
ラフィエル,だって……サターニャさん…ふふ…あははは。だってサターニャさんめちゃくちゃガヴちゃんと仲良しさんじゃないですか
サターニャ,えー、なによこれ……
ラフィエル,すみません、サターニャさんが面白かったものなのでつい……
サターニャ,面白くて悪かったわね…
ラフィエル,いえいえ、面白いことは全く悪くありませんよ、むしろ正義です
サターニャ,そこまで言う？
ラフィエル,はい、要するにサターニャさんは私の正義ですよ
サターニャ,なんかそれはちょっと嫌ね
ラフィエル,つれませんねー
サターニャ,そりゃ、アンタにつられてロクな目を見ることがないからね
ラフィエル,ですかー。それはそうとサターニャさん、先ほど笑わせて貰えたお礼と言ってはなんですが。実はサターニャさんに良い提案があるんですよー
サターニャ,提案？
ラフィエル,はい
ガヴリール,それにしてもサターニャさんがハロウィンに乗り気になってくれて良かったですね。ヴィーネ
ヴィーネ,そうね、ラフィと話してから突然乗り気になってきたのはちょっと気になるけど…
サターニャ,そ、それはそうとガヴリール、アンタのその衣装はなんの仮装なのよ？
ガヴリール,化け猫さんですよ。ヴィーネが私の為に作ってくれたんです
サターニャ,へぇー
ガヴリール,ヴィーネはすごいんですよ。お料理や裁縫はもちろん得意ですし、他にも家事一般はお茶の子さいさいで、私の自慢の友達です
サターニャ,あー、そう言う惚気話は聞いてないし興味ないから
ガヴリール,酷いですっ！？。そういえばサターニャさん、急な誘いだったのにすぐに衣装を用意できてましたよねどうしてですか？
サターニャ,簡単な話よ、それは前に魔界通販で注文していた仮装が何着かあったのよ
ヴィーネ,いやなんでテレビの通販で何着も仮装を注文してるのよ
ラフィエル,サターニャさん、魔界通販で紹介される商品は何でも注文する悪い癖があるので…
ヴィーネ,それでいつも部屋中ダンボールで散らかっているのね
ラフィエル,はい…片付ける身にもなって欲しいものです
ヴィーネ,ラフィ、そんな事もしてるの？流石にそれはサターニャを甘やかし過ぎじゃない？
ラフィエル,私もそうは思っているのですが、放置しているといずれサターニャさんがダンボールに埋れて死んでしまわないかと心配なのでつい
ヴィーネ,ラフィも大変ね。もし私だったら絶対にそんな事で甘やかしたりしないわね
ラフィエル,さすがヴィーネさんです。私も見習わなければ
ヴィーネ,まぁそんな風に相手の世話ばかり焼いてたら、相手の為にも自分の為にもならないし、当たり前の事よね
ラフィエル,参考になります。私も今度から少しだけサターニャさんに厳しくしていきましょうか
サターニャ,げぇー、ちょっとヴィネット、ラフィエルに余計な事言わないでよ
ヴィーネ,サターニャ、アンタはちょっと怠け過ぎよ、偶にはラフィを労いなさい
サターニャ,はいはい
ヴィーネ,はいは一回でしょ
サターニャ,はーい
ヴィーネ,伸ばさない
ガヴリール,…………………。いいなぁ、私もサターニャさんみたいにラフィやヴィーネに少し甘やかされたい気持ちがほんの少しだけあります
サターニャ,さあ、着いたわよ
ヴィーネ,ここ？
サターニャ,そう！
ガヴリール,誰の家でしょうか？
サターニャ,まぁすぐにわかるわよ。提案？
ラフィエル,はい。まず今回サターニャさんはガヴちゃんの誘いに乗る事が嫌でハロウィンを拒否しているんですよね
サターニャ,まぁそうね
ラフィエル,そしてサターニャさんはハロウィン自体が嫌で拒否している訳ではないと
サターニャ,うん
ラフィエル,でしたら、こう言うのは如何でしょうか。サターニャさんはガヴちゃんの誘いに乗るフリをして、その裏でガヴちゃんに何かちょっとしたイタズラを仕掛けてみるんですよ。それならサターニャさんはあくまでもフリで誘いに乗ったという事で面目は保てますし、私たちもサターニャさんがハロウィンに参加してくれて万々歳です
サターニャ,ラフィエル、アンタ頭いいわね。その案乗ったわ！。ふふふ、ガヴリール今日はアンタをぎゃふんと言わせてやるわよ
ラフィエル,どんなイタズラをするかはお任せしますが程々にお願いしますよー。まぁそこがサターニャさんの魅力で可愛い所なんですが
サターニャ,まぁすぐにわかるわよ
グラサン,
一同,………………
サターニャ,ククク…これぞ私の作戦っ！！。あえてお菓子が無さそうな家に行き、イタズラをする…。そうしたらきっと先生に怒られてこのハロウィンの空気もぶち壊し間違いなしっ！！。私ってば天才ね。さあ、ガヴリールあんたはこの状況でどう立ち回るのかしら、これは見ものね
ガヴリール,先生トリックオアトリート！！
サターニャ,いきなりグラサン相手に躊躇いもなく！？
ヴィーネ,先生…、これはその、手違いというか何というか
ガヴリール,ヴィーネ落ち着いて下さい、今日はハロウィンなので大丈夫ですよ
サターニャ,そうだ、そういえばこいつアホだった！本気でハロウィンだから大丈夫だとか思っているんだわ。でもグラサンの家にお菓子は無いはず、ここは私が仕掛けてアンタ達のテンションをだだ下がりにしてあげるんだから。さぁ先生！お菓子はある！？なければ悪戯されても文句は言えないわよっ！。そして悪戯をする私達に散々怒鳴り散らしなさい
グラサン,………。
ラフィエル,あら？
サターニャ,あ、ちょっと卑怯よ！ないなら大人しく悪戯されなさい。じゃないと私の作戦が……
グラサン,。……
サターニャ,まさか用意してたの！？
ヴィーネ,しかも本格的！
ガヴリール,良かったですね
サターニャ,ぐ…こんなもんじゃ私は満足しないわよ
ヴィーネ,なんでよ！？
グラサン,………
サターニャ,わぁそれは数量限定の特製メロンパン
ガヴリール,すごいですね、先生
サターニャ,わぁ、ありがとう。あれ？なんか思ってたのと違うような……
ガヴリール,サターニャさんはこうなる事を見越して、私達を盛り上げようとまず先生の家に訪ねたんですね。さすがです
サターニャ,いや、違っ……
ヴィーネ,もう、最初はどうなる事かと思ったけど…まさかサターニャにそんな糸があっただなんて、やるじゃない
サターニャ,えっと……
ガヴリール,やっぱりサターニャさんも本当はみんなとハロウィンを楽しみたかったんですよね。私嬉しいです。今日は楽しく遊びましょう
サターニャ,ぐぎゃあ～、なんか思ってたのと違うぅ～！！！
ラフィエル,なんだかんだで結局最後はいつも空回ちゃうサターニャさん最高です。
グラサン,…………………和む
ガヴリール,サターニャさん、私とコンビを組んでお笑いの天下を目指しませんか？
サターニャ,いやなにがどうして、そうなったのよ！？
ガヴリール,ふふ、いきなりツッコミとは、サターニャさんもやりますね
サターニャ,別にアンタの話に乗り気だからツッコミを入れた訳じゃなくて、これは本気で意味が解らない時のマジツッコミよ！。勘違いしないで頂戴
ガヴリール,えー、そうだったんですか
サターニャ,そうに決まってるでしょ。アンタは本当にいつも予想斜め上のアホさで私を驚かしてくるわね
ガヴリール,えへへ、そうですか？
サターニャ,褒めてないわよ
ガヴリール,なんと！
サターニャ,むしろ悪口よ
ガヴリール,そんなぁ
サターニャ,ふん
ガヴリール,でも、そんな私の事がサターニャは好きなんですよね？
サターニャ,なんでそうなるのよ！！
ガヴリール,ふふふサターニャさん、今日も絶好調ですね
サターニャ,誰かさんのお陰でね
ガヴリール,そうですか、それは良かったです
サターニャ,こいつ全然話が通じてない！？
ガヴリール,ふう、まあこんなところでしょうか。サターニャさん、おめでとうございます。オーディションは合格ですよ
サターニャ,はぁ？
ガヴリール,オーディションを合格したサターニャさんには、なんと私とお笑いコンビを結成する権利が贈られます。ぱちぱち～
サターニャ,なにそれ、めちゃくちゃいらない！。そして私はそもそも、そんなオーディションを受けた覚えすらないわ
ガヴリール,まさかサターニャさん、無自覚でこのオーディションを合格したんですか？。これは逸材ですね、さすがサターニャさんです
サターニャ,なにが逸材よ、あんたが勝手に作って勝手に合格させただけでしょうが！
ガヴリール,ふむ、捉え方によっては確かにそういう見方も出来なくはないですね
サターニャ,捉え方もなにも、どこからどうみてもそうでしょ
ガヴリール,まあ細かい事は後でお茶でもしながらゆっくり話して、今は私とお笑いコンビを結成しましょうよ
サターニャ,絶対に嫌よ、断固拒否する
ガヴリール,えー、なんでですか？サターニャさん
サターニャ,逆になんでアンタは私がその話に乗ると思ってんのよっ！
ガヴリール,だってコンビを組めばサターニャが私と一緒に過ごせる時間が増えますよ？
サターニャ,それが私にとっての特典になるとでも？
ガヴリール,はい、だってサターニャさんと私めちゃくちゃ仲良しさんじゃないですか
サターニャ,自意識過剰にも程があり過ぎる！！。一体どうすれば私とガヴリールが仲良しだなんてゴミみたいな発想が生まれてくんのよ。むしろ私はあんたと顔を合わす度に言っているはずよ嫌いだってね
ガヴリール,でもそんな事を言いつつ、いつも私とお話してくれる辺りサターニャさんはやっぱり私の事が好きなんじゃないかと
サターニャ,そんな事はないわ、それはあんたの幻想よ！げ・ん・そ・う！
ガヴリール,他にも下界では嫌よ嫌よも好きのうちという言葉があるくらいですし。サターニャさんの嫌いは好きの裏返し、要するに照れ隠しだと私は思っていますが……
サターニャ,そんな曲がった解釈をされたら何も発言出来なくなるわ！！
ガヴリール,えー
サターニャ,でもいい事を聞いたわね。あんたの理屈で言ったら、逆に好きって言葉はその裏返しの嫌いになるって事でしょう
ガヴリール,ふむ、確かにそうなるかも知れませんね
サターニャ,ガヴリール、好きよ
ガヴリール,はい、私もサターニャさんのこと大好きですよ
サターニャ,ちきしょう！！この天使前置きの意味を全然理解してない
ガヴリール,それほどでもー
サターニャ,だから褒めてないんだってば！！。で、なんでアンタは私と一緒にお笑いコンビを組もうなんてお馬鹿な事を考えたのよ？。理由を教えなさい
ガヴリール,それはですね。ラフィをもっと笑顔にしたいと思ったからです
サターニャ,？？？
ガヴリール,ほらラフィっていつも面白いものこと
サターニャ,そうね
ガヴリール,だから私がラフィの面白いをお手伝い出来るのではないかと思って、それでお笑いを……
サターニャ,ふーん。まあ別にいいんじゃないの
ガヴリール,ですか
サターニャ,それに私を巻き込まない限りはね
ガヴリール,えー
サターニャ,前々から思ってたんだけど、あんたの悲しそうな顔でえーって言うやつやめてくれない。よくそれやってるけど、正直目障りなのよ
ガヴリール,そうなんですか？
サターニャ,そうよ
ガヴリール,でも前にラフィがサターニャさんに何かを要求する時はえーと言いながら悲しそうな仕草をすれば確率大幅アップのチャンスだって…
サターニャ,よしわかった、ラフィエルとりあえずあいつをシメてくるわね
ガヴリール,やめてください、サターニャさん
サターニャ,なにを言っても無駄よガヴリール、なんたって長年あんたに振り回されていた原因が思わぬ所に潜んでいたんだからね
ガヴリール,そうじゃなくてですね。ラフィの所に行っても、多分サターニャさんが返り討ちにされて酷い目に遭うだけですよ？
サターニャ,まさかの私が負けるの前提！？
ガヴリール,だってサターニャさん優しいから、いつも口ばっかりで行動が伴わないじゃないですか
サターニャ,最初に優しいからとか前置きするわりに後半がシンプルに悪口過ぎて開いた口が閉まらないんだけど！？
ガヴリール,でも事実ですよね？
サターニャ,うぐ、そんな事ないわよ。私だってやる時はやる悪魔だし……
ガヴリール,そうですか？
サターニャ,そうよ
ガヴリール,それならこれまでのサターニャさんのやるやる詐欺を思い返してみましょうか
サターニャ,やるやる詐欺って……
回想のサターニャ,ぶっ叩くわよっ！！
回想サターニャ,もうアンタとは口を聞かないんだからね
回想のサターニャ,絶対にやらないから。もう知らない！！
ガヴリール,と、まあこんな感じでサターニャさんって結局いつも言うだけ言って何もしませんよね
サターニャ,ぐぬぬ………
ガヴリール,サターニャさんは下界で俗にいうヘタレと言うやつなんですよ
サターニャ,うぐぐ……
ガヴリール,あ、でも私はそんなサターニャさんが好きですよ。ヘタレだからって別に気にする事はありません、むしろ平和主義でいいじゃないですかヘタレ。ヘタレ＝やさしいです。要するにサターニャさんは最高のヘタレですよ。私はヘタレなサターニャさんだーい好きです
サターニャ,あんたは私に何か恨みでもあるのか！？
ガヴリール,？
遠くから見守るヴィーネ,天然サドのガヴ可愛い……
サターニャ,あんた今日の事覚えておきなさいよ……
ガヴリール,わかりました。日記に書いて覚えておきますね。それはさて置きサターニャさん
サターニャ,私の事を散々馬鹿にしておいて、それはさて置きって……
