モバマスより小日向美穂,たぬき
美穂,ただいま戻りましたー……あ、菜帆ちゃん
菜帆,――ってなりますから～、ここはこういう意味で～
Ｐ,ふむふむなるほど。予想以上に奥が深いな……
美穂,……と、プロデューサーさん？何してるんですか？
Ｐ,おお、美穂か。おかえり。いや実はな、菜帆に頼んで……
菜帆,たぬき語のお勉強をしてるんですよ～♪
美穂,たぬき語の？
Ｐ,うちって色んな子がいるだろ？。たぬきにきつねにうさぎに悪魔、サンタやサンタの孫や神様っぽい何か達と別次元のグローバルさだ。ここまで来ると、人間でも別種族の言葉の一つや二つは覚えないといかん気がしてな
美穂,な、なるほど。それでたぬき語なんですね……
Ｐ,ところが、これがものすっっっごく難しい。たぬきっていつもこんな高度な言語でやり取りしてんの？
菜帆,そんなに複雑じゃないと思うんですけどね～
美穂,そうですよっ。基本はぽんとぽこの２パターンですよ？。尻尾の動きとか腹鼓とか、そういうのもちょっと絡んできますけど……
Ｐ,どっちも無いからなぁ俺
菜帆,それだと～、イントネーションや発音の強弱、あと息づかいなんかで表現するしかないかなぁ～。たとえば～……りぴーとあふたーみ～、ぽこぽんっ
Ｐ,ぽ、ぽこぽんっ
美穂,あ、だめですよ。二つ目のぽは強めに発音しなくちゃ
菜帆,そうですね～。発音で細かく意味が違いますから～……。それだとわかりましたじゃなくて、知ってるがお前の態度が気に入らないになっちゃいます～
Ｐ,大違いだな！？
菜帆,そうなんですよぉ。くれぐれも、公共の場では気を付けてくださいね～？
美穂,えと、それじゃあ私に続いてくださいね。ぽーっこ！
Ｐ,ぽーっこ！
菜帆,良い感じですけど、ぽの発音がくぐもり気味でしたね～
美穂,そうだね。これだと、よろしくお願いしますが……
Ｐ,また暴言になっちゃったか？
美穂,いえ、意味は通るんですけど、武器なんて捨ててかかって来い！くらいの強いニュアンスになります
Ｐ,発音一つでいきなり肉密度１０００％になるの怖すぎるだろ。そうだなぁ、じゃあ一回ちょっと手本見せてくれるか？せっかく二人ともいるんだし
美穂,わかりましたっ。じゃあ、半分狸モードに……
