塩見周子,ってな張り紙が仮眠室の扉に貼ってあったワケだけど
安部菜々,いや、電話対応とかどうするんですか……
周子,でもちひろさん今日休みだよ？
P,え、ちひろさんいないの？
千川ちひろ,呼びました？
P,えっ。ちひろさんいるんだけど
周子,そうだね、いるね
P,休んでないじゃん
菜々,とりあえずソファに座ってください、ほら
P,……。謀られた！
周子,いや、遅いよ
P,受け持ったアイドルたちがいつの間にか俺を騙すようになっていた。俺にだけは偽りなく接してくれてると思ってたのに
菜々,う゛っ……
P,とても悲しい
周子,仮眠室に引きこもってた人に言われても全然響かないんだけど
ちひろ,でもプロデューサーさん、ちゃんと許可取ってますよ？
周子,えっ
P,そうだぞ。というかただの有休だし
菜々,有休なのに事務所に来てるんですか？
P,大人には色々と事情がある。詮索しすぎるとどっちも損をすることになる
菜々,は、はぁ……
P,菜々もしおみーもまだ未成年だから分からないだろうけどいつか分かる。それもちょっと悲しい
菜々,そ、そうですね……
周子,だねー♪
P,どうぞー
二宮飛鳥,お邪魔するよ
市原仁奈,するでごぜーます！
P,俺が受け持ってないアイドルだ！完膚なきまでにもてなせ！今月のお茶係とお菓子係は誰だ！？
飛鳥,！？
菜々,お茶係の裕子ちゃんはラジオの収録でいません！あとお菓子係はPさんです！
P,良かった、堀なら収録しながら超能力でお茶淹れられるもんな
菜々,無理ですよ！
P,じゃあお茶は菜々に任せたい！……えっ今月のお菓子係俺？
菜々,なんで忘れちゃってるんですか！？
飛鳥,……凄い所だね、色々と
仁奈,いつもこんな感じでやがりますよ？
周子,そーそー、だから気にしないでゆっくりしていきなよ
飛鳥,……まあ、そうさせてもらうよ
菜々,仁奈ちゃんはいつものオレンジジュース、飛鳥ちゃんは……コーヒーで良かったですか？
飛鳥,ああ、うん。大丈夫だよ、ありがとう
仁奈,わぁい！菜々おねーさんありがとうごぜーます！
P,俺は雪印コーヒーがいい
菜々,分かってますって
P,さすが菜々だ、ウサミン星人の情報収集力は馬鹿にできない。はいこれお菓子
菜々,お疲れ様ですちひろさん。コーヒーをどうぞ
ちひろ,ありがとうございます、菜々ちゃん！
飛鳥,えっと……初めまして、でいいのかな？
P,直接会うのは初めてだからそれでいいはず。それにしても二宮はコーヒー飲めるんだな。大した奴だ
飛鳥,まあね
P,俺は飲めない。ここで働き始めた頃に初めて飲んだけど、その時ににがっ！なんだこの苦汁！って噴き出したらちひろさんにこっぴどく怒られた
飛鳥,それは怒られても仕方ないかな
P,言葉のチョイスは考えなければいけないと思い知った瞬間だった
飛鳥,……いや、噴き出したのが悪かったんじゃないのかい？
P,ぷはー……え、そうなのちひろさん？
ちひろ,へ？何ですかプロデューサーさん？
P,まずい、すっとぼけられた。ああなるとちひろさんは絶対に真相を教えてくれない
飛鳥,事務仕事に集中しててこっちの話を聞いてなかっただけじゃあ……
ちひろ,？？？
飛鳥,……。にがっ
P,菜々、布巾を用意してくれ。二宮がコーヒーを噴き出すぞ
飛鳥,さすがに噴き出したりはしないよ
P,じゃあよかった。布巾じゃなくてコーヒーを甘くするやつを持ってきてあげて欲しい。練乳でもいい
菜々,練乳ってコーヒーに合うんですか？
P,俺は雪印コーヒーしか飲まないから分からん。とりあえず練乳だ
飛鳥,普通にシロップでいいよ
周子,っはー、やっぱりおかきにはお茶が合うねー
仁奈,このおかき……しけてやがりますね……
周子,いや、それだとカツアゲしてるみたいになっちゃうから
仁奈,カツ……？
周子,りぴーとあふたーみー、湿気ってる
仁奈,しけってる！
周子,そうそう
菜々,湿気ってるそうですけど
P,お菓子係として不甲斐ないばかりである。ということで今からお菓子を買いに行こうと思う
仁奈,仁奈もついて行っていいでごぜーますか？
P,いいぞ。四人までなら馬車も必要ないからな
菜々,馬車って……
飛鳥,それより事務所をちひろさん一人に任せてもいいのかい？
P,ちひろさんなら大丈夫だ。何しろ今日の俺はトイレと食事以外では仮眠室から出ないつもりだったからな
飛鳥,えっ
周子,シャワーくらい浴びなよ
P,社会人として不甲斐ないばかりである。じゃあちひろさん、行ってきます
ちひろ,はい、行ってらっしゃい。ちゃんと領収書は貰ってきてくださいね？
P,大丈夫、俺が忘れてもこっちにはウサミン星の記憶力がついてます
菜々,ちゃんと覚えておいてくださいよ？
P,努力したい。ではこれより今月のお菓子係と愉快な仲間たちは買い出しに向かう
仁奈,おーっ！
周子,おーっ♪
P,あと仁奈はきぐるみを脱いでおくように。汚すと俺が怒られる。仁奈のプロデューサーは怒ると怖い
飛鳥,ボクたちのプロデューサーは目付きが悪いからね
仁奈,pは優しいですよ？
P,さすがに受け持ったアイドルを事ある毎に黙って睨み続けるようなプロデューサーはいないと思う
菜々,何をしたらそんなことされるんですか……
P,無事にデパートに着いたがここからが本番だ。迷ったら二度と事務所に帰れないと思うように。箱に詰め込まれたり地底に引きずり込まれるかもしれない
仁奈,お、おぉ……！
菜々,恐怖を煽ってどうするんですか……
P,迷子になったら館内放送で名前が呼ばれる。館内放送でアイドルの名前が呼ばれたりなんかするとファンとかヤジウマとかが集まって大変な事になる
周子,おー、Pさんにしては意外と考えてるんだね
P,大変な事になったら俺が怒られる。まかり間違って社長に怒られたりなんかすると俺が大変な事になる。それだけは何としても避けたい
飛鳥,結局そこになるんだね……
仁奈,どんなお菓子を買いやがりますか？
P,おかきもいいけど、たまには他の物も……あ！
飛鳥,？
P,……。しおみー、お前の実家の和菓子屋のサイトってここであってる？
周子,うん、あってるけど
P,今から電話して家族割とかなんとか言いくるめてできるだけ安くして欲しい。特に八ッ橋。俺はちひろさんと予算の交渉をする
周子,よしきた、任せといて
P,菜々は仁奈と二宮を連れてお菓子コーナーへ。高すぎないやつを一人一つずつ買っていい。はいお菓子代
菜々,了解です！
P,くれぐれもバラバラにならないように。バラバラになるとキングジョーかターンXでもない限り死ぬ
仁奈,りょ、了解でごぜーます！絶対バラバラになりやがりません！
P,いいぞ、その意気だ。健闘を祈る
菜々,電話するなら休憩スペースとかでやってくださいね？ここ和菓子コーナーのど真ん中ですから
P,なるほど。ウサミン星人は気配りの天才だな。……結果はいかに
周子,一年間の定期購入で三割引きが限界だそーで
P,うん、上出来。で、一月分の値段は
周子,こんくらい
P,……限度額を六千円くらいオーバーしている
周子,え、マジ？もうちょっと頑張った方がいい？
P,いや、お菓子に和菓子を導入するのは俺のワガママだからこれ以上しおみーの両親やちひろさんに無理を言う訳にはいかない。だからオーバーした分は俺が自腹を切って死ぬべきだ
周子,いやいや、死んじゃ駄目でしょ
P,そうだった。美味しい八ッ橋を食べるまで俺は死ねない。一口食べたらもう死んでいい
周子,そんなに安い人生なん？
P,……よし、菜々たちとも無事に合流できたし帰ろう。日が落ちるまでに仁奈たちを帰さないと仁奈たちのプロデューサーに怒られる
周子,Pさんが？
P,そう、俺がすごい睨まれる。お前が睨まれるだけなら俺たちは今頃サイゼリヤでメニューを見てる
周子,じゃああたしはシーフードグラターン♪
P,俺はリブステーキがいい
仁奈,仁奈はえっと、えっと……メニューはどこでごぜーますか！？
飛鳥,……いや、ゆっくりはしていられないんだろう？もう空は紅に染まって、陽は山に足を付けようとしているよ
P,そうだった。二宮は話の軌道修正が巧くて助かる。今日から親しみを込めてにのみーと呼ぶことにしよう
飛鳥,えっ
P,それとしおみーの両親にもお礼を言わないといけない。今度菓子折りとか持っていこう。注文して最初に届いた和菓子でもいいかな？
周子,それ新手の嫌がらせ？
P,駄目か
菜々,駄目ですよ！
飛鳥,にのみーって
P,それにしてもにのみーは話が通じる相手で良かった。神崎と似た類だって聞いてたからすごく怖かった
仁奈,Pは蘭子おねーさんが苦手でやがりますか？
P,初めて会った時、バビロン神拳の技名で対応してたら泣いて逃げられた
菜々,何やってるんですか……
P,……いや、あんな話し方だって聞いてなかったし。事前情報がないと辛い
飛鳥,……この調子だとあと数分で日は沈むんじゃないかな
P,なんだと！？まずい、しおみーは仁奈を担いで走れ！俺はにのみーを担ぐ！
飛鳥,ひゃっ？！
周子,がってん！
仁奈,おわっ
P,菜々はタクシーを見つけ次第俺たちを追いかけて拾うこと！健闘を祈る！
菜々,へ！？あっ、はい！
飛鳥,ちょっ、Pさっ、お姫様だっ、これっ。結局間に合わなかったね
P,こんな事ならみんなでサイゼリヤでご飯食べて帰るってpに連絡しておいたらよかった
菜々,はぁ、はぁ……よく考えたらナナ、タクシー降りてから走る必要ありませんでしたよね……？
周子,まあそこはノリって事でいいんじゃない？
仁奈,でもP、大丈夫でやがりますか？日が沈んだらpに怒られちゃうんじゃ……
P,大丈夫。ずっと事務所にいて、ブラインドで外が見えてなかったって事にすれば問題ない。……はず。……ん、ちひろさんからメールだ。マジかぁ……
周子,どうしたのPさ……あっちゃあ、pさんカンカンみたいだねこりゃ
仁奈,Pは悪くねーです！Pを怒らないように仁奈がpにお願いするでごぜーます！
飛鳥,プロデューサーを説得するならボクも協力するよ。今回の件はボクたちにも非があるからね
P,仁奈とにのみーの優しさで俺が嬉しい。でもちゃんと謝るのが大人。よし、決めたぞ。俺は……
菜々,Pさんは……？
P,明日こそ仮眠室から出ない。どうぞー
神崎蘭子,闇に飲まれよ！
P,！？
蘭子,……？
P,……こっ
蘭子,こっ？
P,木漏れ日のサンタルチア！
蘭子,！？
