生っすかのコーナーで漫才,罰ゲーム
美希,どうもなの～
伊織,私たち≪おにぎり☆らびっつ≫って言いますぅ～。よろしくお願いしま～す
美希・伊織,……せーの
伊織,ぴょんぴょん♪///
美希,……
伊織,って、アンタもやりなさいよ！///
美希,あはははは！もうデコちゃんってばぁ～。普通に恥ずかしいからヤなの
伊織,言い出しっぺはアンタでしょうが。ったく…
美希,ねぇねぇデコちゃん
伊織,デコちゃんいうな！そう呼ばれるのは嫌だって言ってるでしょ！
美希,あ、ごめんおデコちゃん。それでねそれでね
伊織,その解釈すごいわね
美希,ミキね、おデコちゃんに相談したいことがあるの
伊織,なんかもう面倒くさいから素直に聞き入れるわ
美希,ホント！？わーいありがとう！
伊織,良きに計らえ。で、改まって私に相談って何かしら？
美希,実はミキね。将来はオニギリ屋さんになるのが夢なの
伊織,えっそうなの？
美希,うん！だから、こんなアイドルの仕事なんかとっとと辞めｔ
伊織,ターイム！
美希,えっ
伊織,いきなりアンタが爆弾発言するから周りのお客さんが悲鳴上がっちゃっているでしょ！
美希,あ、いいのいいの。どうせ２，３年もしたら他のアイドルの子たちに夢中だし
伊織,えっヤダなにこの子。満面の笑みでなんちゅーこと言うの
美希,という訳で。ミキは今すぐにでもオニギリ屋さんを始めたいから、おデコちゃんには接客の練習に付き合ってほしいの
伊織,絶対に嫌
美希,わーい！ありがとう！
伊織,なんで！？
美希,それじゃミキは店員さんの役をやるから、おデコちゃんはお客様としてお店の中に入ってきて
伊織,いやだから！私は
美希,やったー！ついに念願のオニギリ屋さんが完成したのー！
伊織,って、人の話を最後まで聞きなさいよっ！！
美希,あぁ早くお客様来ないかなぁ～
伊織,……
美希,あ、でも！お客様が１人も来なかったらどうしよう…
伊織,……
美希,うぅ…そしたら絶対に嫌だけど、もう一度アイドルで媚びを売る毎日をやｒ
伊織,あっ！こんなところにオニギリ屋さんがあるわね！入ってみようかしら！がらがらがら！
美希,がらがらがら
伊織,えっ。なんで閉めたの？
美希,いやだって、急にお店の中に変な人が入ってきたから
伊織,アンタがお客役で店に入ってこいって言ったんでしょうが！
美希,はっ！そうだったの！ごめんください！
伊織,いきなりどこの家にお邪魔しちゃったかしら
美希,あっ！ごめんなさいでした！
伊織,でしょうね。そういうのはいいからちゃんと店員役をやって！
