大切な場所に生えているのに、どうして,陰
ありす,というわけで陰毛を陽のあたる場所へ移そうと思います
杏,へえ。面白い
ありす,陽のあたる場所、そう、陽の下へ陰毛を解放するのです
杏,そうだねえ
ありす,パンツを脱いでズボンも脱いで、そうして1日を過ごすのです
杏,アバンギャルドだ
ありす,私にはギャランドゥもありますよ
杏,ワイルドだ
ありす,ギャランドゥは何故ギャランドゥなのか定説がないそうですよ
杏,へえ。杏には生えてないなぁ……
ありす,そういうわけで、陰毛を陽の下へ連れて行ってあげます
杏,杏も行こう
ありす,レッツ！
杏,下半身だけすっぽんぽん！！
ありす,陰毛の門出です
杏,杏達が一番最初に陽の下へ陰毛を連れてきたって感じかな
ありす,服の無い時代には既に行われてたでしょう
杏,じゃあ、有史以来初めてって事で
ありす,歴史に名を刻みましょう。陰毛が世界を変える
通行人,ギャー！！！下半身丸出しだ！！！。通報よ通報！！
ありす,風以外が騒がしいですね
杏,わかる
ありす,邪魔ですが無視していきましょう
杏,オウケイ
ありす,寂しいですね
杏,ありすの股間は賑やかだけどね
ありす,人員が欲しいところです
杏,わかるなあ
ありす,奈緒さん呼びましょうか
杏,毛の人脈といえば奈緒ちゃん。奈緒ちゃんを呼べば全て解決しそうな予感がする
ありす,デウス・エクス・マキノ
杏,ノ
マキノ,へっくしゅ！
泉,どうしたの、マキノ
マキノ,なんでもないわ。強いて言うなら、みんなの下半身が危機、ってところかしら
泉,なにそれ
マキノ,気にしないで
泉,どうでもいいけど、なんで下半身だけ何もつけていないのか聞いても？
マキノ,貴女が言う？
泉,なんでもないわ
奈緒,呼ばれた気がした
杏,さすが奈緒ちゃん。すぐ来てくれたし、何よりすでに下半身が全裸だ
奈緒,陰毛の門出だからな。来ないわけにはいかないだろ
ありす,さすがです奈緒さん
奈緒,さ、行こうか
杏,行こう
通行人,うわっ痴女だ……。あれアイドルじゃね！？嘘だぁ……何かの間違いだ……。オカズにしよ。下半身半裸のアイドルを見て流石の俺も大勃起！。シコるか！。久々に！。な！。イミフｗｗｗうはｗｗｗお毛毛ｗｗｗｗ
奈緒,聞こえるかー！みんなー！！
通行人,おー！
奈緒,今あたしたちはー！陰毛の解放運動を行なっているー！！
通行人,なにそれー！？
奈緒,見ての通りー！！陰毛を日の下に解放する運動だーッ！！
通行人,すっごーい！！
奈緒,反対する者はいるかーッ！
通行人,いなーい！！
奈緒,ならばヨシ！！。これがあたしたちの陰毛だーーーーーーッッッ！！！！！
人間達,うおーーーーッッッ！！！！
