あと申し訳ございません、トリップ紛失しました…。元,◆GITMLMX2Ow
ありす,ルールというものがあります。スポーツ等の決まりごとや国が定めた法律、世間一般で言われる“常識”も言いかえれば皆が知っているべきルールと言えますね。これは、私、橘ありすが自分に課した“ルール”に則って戦う。………ひとつの、物語です
トレーナー,よーし、午前のレッスンはここまで！橘も大分声が出るようになってきたな！
ありす,元々歌や踊りを仕事にしたいと思っていたので…ｯﾊｧ…これ位当然です
トレーナー,良い心意気だ！…午後は踊りの方のレッスンだからな、きっちり食べてくるように
ありす,解りました。今日の昼食はここ飯どころ白兎…情報化社会に生きる身としては事前リサーチも抜かりありません。ネットの評判は少ないですが悪くないですし、外面の古さに反して暖簾は綺麗…当たりの匂いがします
オバチャン,はーい、いらっしゃい！
ありす,一人です
オバチャン,はい、食べたい物が決まったら言って頂戴ね～、今麦茶出すからね
ありす,…店内には掃除が行き届いています、最初に水ではなく麦茶というのもポイントが高いですね…まだ評価には早いですが期待して良さそうです
オバチャン,はい、麦茶。お水の方が良かったらそこにある…それね、そこでお水出るからね。お水も冷えてるから飲みすぎちゃ駄目よ
ありす,ありがとうございます。…メニューに奇をてらったようなものはありませんね…今の時間だとランチセットがお得みたいですが、Ａランチ、Ｂランチの二種類…。Ａランチは煮魚をメインに据えた古き良き和食スタイルですね、おみおつけがシジミなのは昼からお酒を飲む人がいるんでしょうか？。対するＢランチ…こちらは洋食ですね、串カツの三点盛りと小さめの煮込みハンバーグをメインに据えてスープもコンソメですか。悩む所ですが…お店の実力を測るなら腕前がハッキリ出る煮魚があるＡ…！？。Ｂランチには…デザートのイチゴシャーベットがある…！。イチゴシャーベット………。すいません、Ｂランチお願いします
オバチャン,はーい、シャーベットは食べ終わったら出すけどそれでいい？
ありす,それで構いません
オバチャン,はいよー、ちょっと待っとくれ
ありす,イチゴシャーベットに釣られた訳ではありません、午後からのレッスンに向けて体力を付けなければいけませんから。その点、この牛串、豚串、竹輪ナス獅子唐の野菜串とハンバーグで体力をつける私の戦術には否の付けどころが無いはずです。まずは揚げ物・ハンバーグの肉々コンビでお腹を満足させ。然る後にイチゴシャーベットを頂くのです…イチゴシャーベット…
？？？,おばちゃーーーーん！生姜焼き定食！！！ご飯大盛りで！！！！！
ありす,！？
オバチャン,はいはい、いらっしゃい茜ちゃん、そっちに座って待ってておくれ…はい、麦茶
茜,ありがとうございます！。ぶはーーーーーー！美味い！！！
ありす,麦茶のタイミングが早すぎます…あれでは大盛りにしたご飯を食べる時に水かおみおつけで流し込まなければならなくなります、素人さんですね。ご飯と水は基本合いません。どこぞの漫画ではご飯に水を掛けて究極とか言ってましたが…そのレベルのご飯と水を定食屋に期待するのは間抜けな話です。舌を新たにしたいというのでも飲むべきは矢張りお茶か麦茶…この方は貴重な戦力を無駄遣いしてしまったという事ですね
オバチャン,冷えてるんだからあんまり飲みすぎるとお腹壊すよー
茜,ありがとうございます！！大丈夫です！！！熱いので！！！
ありす,麦茶のお代わり自由…！？そうだったんですか…いえ、考えればもっともな話です
オバチャン,はい、Ｂランチセットお待ちどうさん。こっちがソースでこれは醤油だから気をつけてね
ありす,はい、ありがとうございます。…頂きます。細かい点ですが醤油とソースの指摘は思いやりがありますね。さて…Ｂランチセットの戦力は…メインの他はご飯、コンソメスープ、キャベツの千切りにミニトマト、ニンジンの千切り…付け合わせにパスタですか、イチゴじゃなくナポリタンですね、残念です。コンソメスープとご飯が微妙にかみ合っていないですが…こちらはハンバーグと合いますし、問題無いですね。さて、第一手は…まず、串カツの串を外す、これです。原理主義者は批判するでしょうが、こうすることで獅子唐と牛串、豚串を合わせる事が出来るようになります。外し終えたら牛串、豚串の一つと獅子唐以外にソースをかけ…ソースが付いていない牛串と獅子唐に塩をかけ、ご飯。この三点を口に！。獅子唐の辛みが牛から旨味を引き出し、ご飯の甘みと互いに競い合い、次元の違う味を出す訳です。豚串は更に脂が多いので獅子唐が獅子奮迅の働きをしてくれますね。ハンバーグは大・中・小の三つに切り分け…まずは小を頂きます。ここでコンソメスープ。串カツにはまだ手を出しません。ソースが“染みる”まで熱いスープをゆっくり飲んで待つのが大人の対応です。ソースが染みるまで。ここからは味が濃い煮込みハンバーグ、ソース付きの串カツが相手になる訳ですが…問題ありません。嫌いなどと言う子供じみた理由からキャベツに手を付けなかった訳ではありませんから。豚カツ→キャベツ→牛カツ→キャベツ→チクワ揚げ→ハンバーグ→キャベツこの流れですね。完璧です。我ながらなんと美しい流れでしょうか。合間、合間にキャベツを食べる…これで胸焼けが防げるんです。知性が溢れ出てますね。ﾓｸﾞﾓｸﾞ…あ、付け合わせのパスタ…冷凍ではなくキチンと作ってますね、ポイントが高いです
オバチャン,はい、お待ちどうさま
茜,いっただっきまーーーす！！！！！
ありす,あちらは豚の生姜焼き定食…豚の生姜焼き、キャベツ千切り、ポテトサラダ、お新香、おみおつけ…無難な所ですね。ポテトサラダは量が多いみたいですがじゃがいもとゆで卵のみ…キュウリすら入って…あ、もしかしてあのポテトサラダ…手作りなんでしょうか。胡椒が表面に振ってありますし。ハムを抜いているのは逆に好感触ですね、豚がダブってしまいますから…さて、茜さんとやら、この定食にどう立ち向かうんでしょうか？
茜,ご飯に生姜焼きを乗せて…
ありす,ふふん、そんなところでしょうね
茜,今の内にキャベツにも乗せてー
ありす,！？そんな乱暴な！キャベツが萎びてしまうじゃないですか…！
茜,モグモグ…うーーー！美味い！生姜焼きがあるとご飯が３倍食べられます！！！
ありす,これは理に叶ってます、生姜焼きとご飯の比率は１：３…生姜焼きが多いと豚の脂とタレが口に残り、少なすぎると生姜焼きの匂いでご飯を食べるようなみすぼらしさが出てしまいますから
茜,で、次からこの生姜焼きのタレが掛ったキャベツも一緒に…ﾓｸﾞﾓｸﾞ
ありす,…何故あの音が…！まさか、へたっているのは表面だけ…！？いや、それよりあの生姜焼き、ご飯、キャベツの割合はもしかして…！
茜,んーーーーー！やっぱりオバチャンの生姜焼きは絶品ですっ！！！
オバチャン,ありがとねぇ、茜ちゃんは食べっぷりが良いから見てて嬉しいよ
ありす,キャベツを入れる事でご飯の量を減らし…そして生まれる、生姜焼き：ご飯＝１：１．６の“生姜焼き定食黄金比”…！この量を常に正確に取っている…！この人…素人じゃない！。後、キャベツは多少の熱でへたらない…これは憶えておきましょう。敵から学ぶ事もある、ですね
茜,ポテトサラダポテトサラダ！おばちゃん手作りなんですよね！これ！私も家で作ってみましたが全然こんな味になりませんでした！！！
オバチャン,何も難しいコトはしてないんだけどねえ…
茜,このポテトサラダにも生姜焼きのタレを少し、ほんの少し漬けると…美味い！ご飯に合います！！！。これがあるからキャベツにはマヨネーズが要らないんですよね！マヨネーズが重なっちゃいますから！！！
ありす,やっぱり…食事に自分の“ルール”を持つ…“食闘士”…！
オバチャン,はーい、シャーベットですよ
ありす,そして彼女のスタイルは…
茜,漬けものでもお味噌汁でもご飯が美味い！！！！！炊き方！炊き方ですかねっ！？
ありす,全てを“白飯を食べるために存在する”とする…白米主義…！いいでしょう、認めますよ貴方のスタイル…ですが私には敵いません。何故なら…
茜,ふーっ……………あ、ご飯………
ありす,大盛りを過信しすぎましたね、まだまだオカズもおみおつけも残っているというのに…まぁ、ポテトサラダでまでご飯を食べるというのは感心しましたが…大局を見抜けなかったようですね。貴方が見せたポテトサラダに生姜焼きのタレを付けてご飯のオカズにするというのは良い案です。私のスタイルの糧に…
オバチャン,はいはい、お代わりね
ありす,なっ…！？お、お代わり…！？
茜,はいっ！！大盛りで！！！
ありす,そ、そんな…そんなことが…
茜,第二ラウンド！行くぞーーーーーー！！！！！！
ありす,い、いや、それでも、それでもです！
オバチャン,茜ちゃん、ポテトサラダでよくご飯食べられるねぇ…
茜,ﾓｸﾞﾓｸﾞ…おばちゃんの生姜焼きのタレ！美味しいんです！これにポテトサラダを混ぜてご飯と食べると…。………なんでしたっけ！アレ！ドリャー！アレみたいな味になるんです！
ありす,ドリアですね。さて、茜さんとやら…この状況はどうするつもりですか？。お代りにも“大盛り”を頼んでしまった失策！
茜,ﾓｸﾞﾓｸﾞ
ありす,最早オカズも無いのにご飯が余っているようですね…！。たかが二～三口分ですが…食の前線で戦う以上、甘えは許されないのです。その点、私はご飯を片付け、最後に味の染みた豚カツからコンソメスープの余裕のフィニッシュです。食は戦争…戦術も戦略も無い人に勝ち目なん………なっ！？
茜,行儀悪失礼します！！！
ありす,生姜焼きのタレを…ご飯に…！？おかしい。こんなことは許されないです
オバチャン,まぁったく…おばちゃんトコだから良いけど、よそでやっちゃ駄目よ？
茜,はいっ！
ありす,ポテトサラダをタレに漬けていたのもこのためですか…！？確かに生姜焼きのタレそのままではご飯にかけるにはキツ過ぎます…！。ポテトサラダの欠片が混ざる事でマヨネーズのまろやかさをタレに加え…キャベツの余りで食べ味を増す…
茜,ｶｯｶｯ
ありす,こんな…こんな理論ロジック。でも最後にあんな手段に出なきゃいけないほど追いつめられていたのなら私の…
茜,おばちゃん！いつも美味しいご飯ありがとうございます！！！
ありす,私の…
茜,これで午後からも頑張れます！！！！！
オバチャン,アタシも作った甲斐があるよぉ
ありす,あんなにも楽しそうに…。私の…完敗…ですね
茜,それじゃ、おばちゃん、ごちそうさまでしたっ！また来ます！
オバチャン,食べてすぐ走ったらお腹痛くするよー
ありす,一体………あの人は…
オバチャン,あぁ、日野さんトコの茜ちゃんかい？近所に住んでるんだけどねえ、女の子なのに良い食べっぷりでしょう？
ありす,日野…茜…。憶えておきましょう…その名前…そして、次に会った時は…！
