こちら、アイドルマスターシンデレラガールズの二次創作SS,台本形式
モバP(以下P),ふわ～ぁ……
海老原菜帆(以下菜帆),あら～Pさん、お疲れですか？
P,う～ん、どうにも眠い……
菜帆,眠気覚ましに、お茶でも淹れましょうか～？
P,ああ、お願いしようかな
菜帆,ちょっと待っててくださいね～。お待たせしました、どうぞ～
P,ありがとう。うん、いつも通り美味しいよ
菜帆,どういたしまして～。目は覚めましたか～？
P,おかげさまで。最近油断するとすぐ眠気がなあ
菜帆,暖かくなりましたからね～
P,もうすっかり春だな。桜もいつの間にか綺麗に咲いてるし
菜帆,桜……。そうだPさん、今度のお休みあいてますか～？
P,ん？あいてるけど、どうした？
菜帆,お花見、行きませんか～？
P,お花見か、いいかもな。でも、場所取りとかの事前準備どうする？
菜帆,大丈夫ですよ～。そういった準備のいらない場所を知ってますから～
P,そんなのあるの？
菜帆,はい～、えっとですね……
P,っとごめん、もうこんな時間だ！悪いけど後で場所とかメールしといてくれ
菜帆,わかりました～、ではまた後で～
P,行ってきます！
菜帆,いってらっしゃ～い。着きました、ここですよ～
P,ここかあ、見事な桜並木だ
菜帆,人も大勢いて、賑わってますね～
P,そして道の両側には屋台が並んでいる、と……。なるほど、こういうことか
菜帆,はい～、こういうお祭り形式なら、気軽に参加できるかなと思いまして～
P,確かにこれなら事前準備は何もいらないな。よくここのこと知ってたね？
菜帆,うふふ、Pさんと行けそうなところがないか調べましたから～
P,そっか……ありがとうね
菜帆,いえいえ～
P,さて、いこっか
菜帆,あ、ちょっと待ってください～
P,どうした？
菜帆,これだけの人混みだと、うっかりはぐれちゃったら大変じゃありませんか～？
P,うん？それはまあ、そうかもだけど
菜帆,そんなわけなので～
P,ほわぁっ！？
菜帆,片腕お借りしますね～
P,当たってる！いや埋もれてる！？！？
菜帆,うふふ～。さあ、行きましょう～？
P,いやいやいや、さすがにこれはまずいって！！
菜帆,そうでしょうか～？
P,そうです！
菜帆,この感触が気に入りませんか～？
P,いやそんなことは全くないですってそうじゃなくて！ほら、これだと目立つし歩きにくいし！
菜帆,私は気にしませんよ～？
P,そ、それにほら！あのえっと……そう！菜帆の両手が塞がってると食べ物食べるのに不自由でしょ！ね！？
菜帆,う～ん……それもそうですねえ
P,た、助かった……
