突如として猫になる志希,比喩表現ナシ
志希,！！！！
鋭く息を呑み、動揺を押さえつける。自分が置かれている状況を確認すると、どうやら引っかかっている布は、あたし愛用の白衣のようだ。思い切ってそれをどかしてみようとするが、うまくよけられない。どうやら、体格が少し小さくなってしまったようだ。これらの条件から一つの可能性に思い至るが、ひとまず答えを出すのは先延ばし。バタバタともがいてようやく白衣から出てくることができた。東向きの窓から日が差していることから、夜が明けて朝が来たのだろうと理解する。下を見ると、猫の前足にしか見えない自分の手と、しわくちゃになった白衣と、同じくしわくちゃになった昨日の夜着ていたTシャツとホットパンツ,多分内側に下着が残っている
原因については心当たりがある。この間ようやく完成させた,猫耳と尻尾が生える薬
美嘉,志希ちゃ～ん、いる～？レッスン遅刻しちゃうよ～～
志希,美嘉ちゃんまで猫になっちゃったらどうしようかと思ったけど、特に何もなしかな。よかったよかった
美嘉,あれ～、てっきりここだと思ったんだけどな～
フレ,あれ～、志希ちゃんここにいなかった～？
そう、あたしが物陰から出て、実験器具まみれのテーブルに乗ったタイミングで、この部屋を訪ねてきた人物がいたのだ。その名は龍崎薫ちゃん。あたしに、泥汚れや絵の具シミなどが簡単に落ちる洗剤を依頼していて、毎日のように進捗を聞きに来ていた。あたしとのおしゃべりも楽しみにしてくれているようで、あたしなりに分かりやすくしたつもりの化学の話を、とても熱心に聞いてくれるとても良い生徒だ。しかしこのタイミングで来られるのは想定外だ、ふだんは夕方ごろに来ることが多いのに。今日が土曜日だからだろうか？しかし、彼女が入ってきてしまったことに変わりはない。ノックなしに元気よく,おっじゃましまーー！
薫,あー！ダメだよー、こんなところに上っちゃー。ガラスが割れたらどうするのー
ちひろ,あら、薫ちゃんどうしたの？その猫。
薫,志希おねえさんの部屋に行ったら、いたの
みく,うっひゃー、かわいいネコちゃんだにゃー。あー！この子今撫でられてわらったにゃあ！
薫,ずるーい。…いいもん！かおるは、このおもちゃでこの子と遊ぶもん！。ほらほらおいでー
奏,あら
フレ,ネコちゃんだ～
周子,ほんまやー
美嘉,ホントだー
フレ,ついにネコちゃん連れ込んじゃったかー
奏,とうとうって感じね
美嘉,いろいろと大丈夫なのかな？
周子,そこんとこどうなん？ちひろさん
ちひろ,志希ちゃんの行方が分かっていないので、事情が分からないんですよね。なので、ひとまずここに留め置いて、Pさんと志希ちゃんが戻ってきたら相談しようと思ってます
美嘉,志希ちゃんの行方まだわかってないの？
ちひろ,はい。自宅マンションと事務所の中は一通りチェックしたんですけど見当たらなくて
周子,ふーん
フレ,でもまあ、約束すっぽかすのは最近なくなってたけど、でもこーいうことをやっちゃうとこまで志希ちゃんらしさじゃない？
奏,まあ、それもそうね
美嘉,さて、せっかく志希ちゃんがいないんだし、作業しよっか。
フレ,志希ちゃんって事務所のラボにいることが多いから、結構いないタイミングを見計らうの難しいんだよね～。ねー
美嘉,まあ、レッスンを休まれたのはちょっと問題だけどねー
？？？,………何をしているんだい、君は
志希,……あたしに、話しかけてるんだよね？
ペロ,君以外にだれがいるというんだい？
志希,だよねー
ペロ,……それで、君は何者でここで何をしていたのか聞かせてくれないかな
志希,……………ちょっと長くなるけど、いい？
ペロ,かまわないよ
志希,………というわけで、ここで黄昏てたの
ペロ,なるほど理解した。君が一ノ瀬志希だということを信じ切れているわけではないが、君の話はちゃんと理解したつもりだ。その上で一つ問う。
志希,………何？
ペロ,君は、馬鹿なのかい？
志希,………どういうこと？
ペロ,いったままの通りの意味さ。猫であるぼくにもわかっていることが、君は理解できてないんだね。君はそこにいる彼女たちが、何を作っているのかちゃんと知ることもせずに、勝手に裏切られた気分になっているだけだ。
志希,…何が作られているかなんて、わかってるよ。パーティの飾りでしょ、あたしは呼ばれていない。
ペロ,そうだね、たしかにあの飾りは君が呼ばれていないパーティに向けたものだ。
志希,だったらなんで……
ペロ,まだ情報が出そろっていないのに、判断を急ぐからミスが出るんだ。人間の“ケンキュウシャ”にとっての基本だって聞いてるけど？
志希,………………？
ペロ,そこのソファーに上ってちゃんと確認してきなよ。話の続きはそれからだ。わかっただろう、ぼくの言いたかったことが。だいたい、黙ってパーティーの準備といえば気づくもんじゃないのかい、サプライズパーティーの可能性くらい
志希,……………あたしの誕生日って、近いの？
ペロ,そこからかい！？
志希,だって、……ここ２,３年誕生日のことなんて考えたこともなかったし……。そっかー……、通りであたしがいたら困るわけだ。
ペロ,ぼくの方が、君自身より君の誕生日に詳しいのはさすがにどうかと思うんだけど。
志希,………返す言葉もありません…
ペロ,まあ、今日のことはおいといて、ちゃんとサプライズパーティーで驚いてあげなよ。その方がきっと喜ぶから
志希,……うん…
ペロ,ぼくに任せて。
雪美,………うん……、……うん…、……………なるほど……、………………わかった………。
ペロ,まあ、いろいろコツとかがあってね。波長を相手に合わせに行かなきゃいけないんだ。
雪美,………P…もう少しで……来る…。……３人で………志希の部屋……行く……
ペロ,わかった、ぼくたちはついていくから雪美がドアを開けて。
P,すまん待たせた。……それでこのサバトラの猫が志希なのか？。なるほど、わからん。それで質問なんだが、……この症状をどうにかする方法に心当たりはあるのか？。よし、それじゃあ。俺が志希の考えている元に戻る方法を実行する、そのための手段は伝言ゲームだ。雪美、ペロ頼むぞ。
雪美,…………志希も……ペロも………了解って………、………ふふふっ……。
P,うわぁお！びっくりしたー！！
雪美,………P……みちゃだめ…………
志希,いやーすっかり忘れてたよ、ごめんごめん。いやー、ごめんね今回もいろいろ手間かけさせちゃって。
P,ほんと、気を付けてくれよ。そもそも前から言ってる通り、おまえはもう俺の大切なアイドルなんだし、自分自身を大事にしろよ。
雪美,………気を……つけて……
志希,はーい。以後気を付けます。ありがとうねー、ペロ
ペロ,……ンギャァ
P,悪い、すっげぇ待たせたな。ホントごめん。
志希,いいよいいよ、そもそもあたしが話したいことがあるっていうことだしね。
P,それで何なんだ、話って？
志希,あたしね、ずっと生まれてから一回も誰かに気を使ったことなんてなかったの。自分の望むように生きて、我ながらあの頃は白衣を着た自由奔放そのものってカンジで、人間関係について真面目になったことなんてなかったんだ。だけどね、キミに出会ってこの事務所にきて、アイドルやり始めて、２つ新しいことが見つかったの。１つはアイドルっていう生き方そのもの。もう１つは、生れてはじめて築いた人間関係。アイドルとして生きていく中で、キミと交流して、一緒のグループ組んだアイドルがいて、きっとみんな普通の人のあたりまえなんだろうけど、あたしにとっては初めてで、トクベツで。だから、なくしたくないの。どうすればいいの？
P,んなもん、わかるわけねーじゃん
志希,…………ふぇっ？！
P,どうやったら人に好かれ続けられるかなんて、そんなのわかってたら、お前たちにどんな仕事をやらせれば人気が出るか考え込んでこんな時間まで残業する羽目になってねーよ。
志希,…………………
P,お前は普通の人にとっては当たり前なんて言ってたけど、俺にとって見たってお前たちとの関係は失いたくない貴重なもんだ。そいつは、単なるビジネスパートナー以上の大切な、必死に守り抜く意義のある、失うことに耐えられないほどの価値が、少なくとも俺の中にはある。守るためにいろんなことをやってる、だけどそれがこの関係を壊すものじゃないかってびくびくしながらやってるのさ。正しい選択を完全に選びとおせる奴なんて、たぶんどこにもいないさ。
志希,………じゃあ……、…あたしはどうすればいいのさ……
P,お前の好きにすればいいさ。自分自身を犠牲にして誰かとの関係を守るのもよし、奔放に自分の心のおっ向くままに行くもいいさ。ただ……。お前がどんな生き方を選んだにせよ、俺はお前を応援するよ。
志希,きめた。あたしは、自分を犠牲になんてしない。でもキミみたいに、そうやって自由に生きようとしているあたしを応援してくれる人が、一人でも増えてくれるように頑張る。矛盾するかもしれないし、また迷うことがあるかもしれない。でもあたしは、あたしの気持ちに従ってみる。
P,そうか
志希,うん。……あたしは、好きなように生きるけど、誰かに愛されるという願いを手放さない。両方抱えて生きてみるよ
