双葉杏,ねぇプロデューサー、帰っていい？
柳瀬美由紀,プロデューサーさん……午後からの予定はなに？
相川千夏,Ｐさん、眼鏡を新調したの。どうかしら。
黒川千秋,プロデューサー、今日のレッスン甘いわ。もうちょっとレベル上げてもいい気がするのだけど。
梅木音葉,Ｐさん……、事務所にピアノ起きませんか？
Ｐ,この偏り方は……
杏,あつい！！
音葉,言わないで……意識しないようにしてたのに。
千秋,このくらいの試練はトップになるためにはつき物なのよ……ええ、きっとそうよ……
Ｐ,こんなもん平気だろう、暑がりだなお前ら。
美由紀,今何度あるんですか？
Ｐ,んー、30度。
千夏,それはちょっと……
美由紀,暑すぎです……
杏,汗が止まらぬ……
千秋,服が張り付いてあずましくないわね。着替えてきましょう。
千夏,賛成。
音葉,覗かないでくださいね？
Ｐ,覗くわけが無い。
杏,ああ、今のは覗けって意味だよ。
音葉,違います……
美由紀,え……えっちぃ……
Ｐ,いや、覗かないから。
千秋,度胸無し。
Ｐ,は？
千秋,……いえ何でも。
杏,それにしても……
音葉,？
千夏,え？
千秋,何？
杏,ぐぬぬ……神は平等ではないのか……
美由紀,私は……これから……きっとこれから……
杏,アンタも何気にスタイルいいじゃん。ちくしょう。
千夏,そういうこと……というか3サイズ非公表って何？
千秋,17歳でスポーツブラって……
杏,ぐあああああ！。開けるなあああああ！
千秋,いいえ、特に何も。ただコンプレックスを刺激されただけです。
杏,|＾o＾｜やめてくださいしんでしまいます
美由紀,杏さん……大丈夫？
音葉,だめかもね……
杏だったもの,
千夏,ご臨終……合掌。
杏だったもの,ｵｲｶｰｹﾃﾓｰｵｲｶｰｹﾃﾓｰ
Ｐ,うお！？どうした！？
美由紀,聞かないであげてください……
千夏,私達じゃフォローできないわ。
音葉,何というか……ごめんなさい。
杏のようなもの,ｽﾙﾘﾇｹﾙﾐｽﾞﾉﾖｳｰ
千秋,杏、いい加減元に戻りなさいよ。
杏っぽいもの,ｱﾅﾀｰﾀﾞｰｹﾆｰｱﾅﾀｰﾀﾞｰｹﾆｰ
Ｐ,よし俺に任せろ。
杏っぽいもの,ﾐﾂﾒｰﾗﾚﾃﾀﾀﾞﾖｳﾎｼﾉｶｹﾞ
Ｐ,杏ー、杏ー。
杏かな？,ﾕﾒﾃﾞﾓｰﾂｶﾏｴﾃｰ
Ｐ,杏ー、ミルク飴買ってきたけど食うか？
杏,食べる！兄貴マジ最高！
Ｐ,事務所で兄貴って言うな！
美由紀,いいなぁ……
千秋,何が？
美由紀,ええっ？いいえ、何でも無いです……
音葉,……～♪
千夏,懐かしい歌ね。
音葉,はい……合唱で、隣のクラスが歌ってたんです。
千秋,一緒に歌っていいかしら。
音葉,どうぞ……折角ですしピアノ弾きましょうか？
千夏,確かキーボードならあったわね。
美由紀,わぁ……みゆきも一緒に歌いたいです！
杏,お、懐かしいねぇ。一度は誰でも耳にする曲だよね。
Ｐ,わからねぇよ……なんだこの曲………ん？
音葉,……～♪
Ｐ,皆楽しそうに歌うな……なんだこの疎外感は。
千秋,ふぅ……こんなものかしら……？
美由紀,わぁ♪こうやって歌うのも楽しいですね♪
千夏,いい感じね……バラードも練習しておこうかしら。
音葉,みんなの音に合わせてピアノを弾くのも楽しいです……ライブでやってみたいですね。
杏,兄貴ぼーっとしてどうした？
Ｐ,だから事務所で兄貴って呼ぶな。で、だ。
杏,うん？
Ｐ,なんで皆この曲知ってるんだ？しかも空で歌えるじゃないか。ひぃ！？
音葉,嘘……ですよね？
千夏,この曲は名作なのに……
杏,信じられない……
美由紀,ちょっと……がっかりかなぁ……
千秋,プロデューサー……ありえないわ。
Ｐ,ええー……なんでそこまでなじられるんだ……。ふむふむ……――――のときの曲なのか。それならあの面子が知ってて当然だよな。合唱でも使われる曲か、今度音葉を伴奏に置いてライブでやってみよう。
杏,兄貴ー、バスタオル無いよー。
Ｐ,今手が離せん！美由紀ー、持って行ってやってくれー。
美由紀,はーい！
杏,すまんねー、みゆきちや。あの兄貴人使い荒いなー。
美由紀,杏さん甘えすぎだと思うけど？
杏,いいんだよ。使えるものは使わなきゃ。
美由紀,追い出されたりして。
杏,ああ見えて兄貴は困ってる女子を放っておけないから無問題。
美由紀,みゆきのこともお家に置いてくれてるもんね。
杏,兄貴が物分り良くて良かったな？じゃないと路頭に迷ってたっしょ？
美由紀,うん……ところで杏さんってさ、
杏,うん？
Ｐ,美由紀ー！俺の前に風呂入っちゃってくれ！まだ手空かないわ！
美由紀,はーい！んじゃ入ろうかな。杏さんどいてー！
杏,ああ？うん。
美由紀,あ、着替え見ていくの？えっち。
杏,んなわけないでしょ。
美由紀,～♪
杏,何言おうとしたんだろ、まあいいか。
Ｐ,杏は上がったんなら一度明日のスケジュールおさらいしといてくれな。
杏,だるい。
Ｐ,明日一つたりとも飴やらんぞ。
杏,午前ビジュアルレッスン、午後雑誌取材とデモテ収録。
Ｐ,よく出来ました。
杏,さあ、飴をおくれ。
Ｐ,別に今日はやらんとは一度も言ってないがなぁ。
杏,何ですと！
Ｐ,誰が飴をやると言った。
杏,このクソ兄貴！
Ｐ,キャンディはキャンディでもアイスキャンディだぞ。いらんのか、わかった。
杏,お兄様ナマ言ってすいませんした。
Ｐ,苦しゅうない、面を上げい。
杏,調子に乗って……
Ｐ,冷凍庫にアイスの実が買ってある。
杏,よし了解した。
Ｐ,２つまでなー。
杏,ケチー。
Ｐ,明日の飴はサルミアッキにしようか？
杏,お兄様マジ太っ腹。謹んでアイスの実を頂戴いたします。
Ｐ,歯ぁ磨けよ。
杏,面倒いー、兄貴磨いて。
Ｐ,アホかお前は。
杏,杏だるくてもう動きたくないー。
Ｐ,こんな従妹やだー。
杏,そうは言っても心はどう思ってるのやら……うひひひ。
Ｐ,サルミアッキ確定にしてほしいか？
杏,歯磨いてきます超兄貴様。
Ｐ,超兄貴はお願いだからやめて。
美由紀,ふぃ～♪お風呂ぬっくかった♪
Ｐ,そりゃ良かった。冷凍庫にアイスの実あるぞ。
美由紀,はーい！何個まで？
Ｐ,お前は杏と違って聞き分けがいいなぁ。2つだよ。
美由紀,わぁい♪お風呂上りのアイスとはオツだねん。
Ｐ,そうだろうそうだろう。
杏,兄貴ー、歯磨いたー。
Ｐ,そうかそうか。なんでアイス食う前に磨いたよ？
杏,………
美由紀,おいちぃー☆
千秋,今日も今日とて、
千夏,お疲れ様。
音葉,でした。
千夏,んん……チューハイが美味しいわ……あなた達も飲めばいいのに。
千秋,アルコールは嗜みませんので……
音葉,未成年です……
千夏,もったいないわね。
千秋,アルコールは明日に残るとレッスンを万全の状態で受けられません。
千夏,きっかりしてるのね、気張りすぎじゃない？
千秋,こうでもしないと上へ行けませんよ？
千夏,私には彼がついてるから平気よ。
音葉,プロデューサー、ですか。
千夏,ええ、アイドル面での管理はほぼ彼に任せているわ。
千秋,え、一緒に考えてないんですか？
千夏,わりと任せきりね。自己管理はきちんとしているけど、まだこの業界のことはわからないし。
音葉,確かに、私達はまだ新人の域を出ていません。
千秋,そうね……早くトップへ上りつめたいわ。
千夏,急いては事を仕損じるわよ、それとも彼を信用してないのかしら。
千秋,いえ、そういうわけでは。むしろ信頼しているというか。
千夏,あらあら、惚気かしら？
音葉,わぁ……
千秋,いえ！そういうわけでもなくて！
千夏,くくくっ……面白いわね……
音葉,～～～～♪
千秋,………もういいです、おやすみなさい。
千夏,からかいすぎたかしら？
音葉,そうでもないと思いますよ？焦ったときも幸せそうな旋律を奏でていましたし。
千夏,それならいいか。
音葉,はい。
千夏,千秋って、かわいいわね。
音葉,……はい♪
Ｐ,………と、いうわけで。次回のライブには前見せて貰った合唱を入れたいと思う。
千夏,賛成。
千秋,異論ありません。
音葉,楽しそうですね。
美由紀,大賛成です！
杏,却下。
Ｐ,なんで！
杏,だるい。
Ｐ,なんだいつものことか。全員賛成っと。
杏,杏の人権は無視か。
Ｐ,そんなもん俺が預かってる。
音葉,え……
美由紀,みゆき達って、人権無いの？
千夏,Ｐさん、ひどいわ。
Ｐ,ふはははは！人権を返して欲しければこの俺を倒すがよい！
杏,杏は戦うぞ！これは自由を取り戻すための聖戦ジハード
美由紀,おー！
音葉,この勇ましい旋律……私まで昂ぶってしまいますね。お覚悟を。
千夏,敵はデスクの向こうにあり、行きなさい！千秋！
千秋,えっ？
Ｐ,……千秋は面白いな。
千夏,ええ。
千秋,えっ？えっ？
杏,千秋ノリ悪いー。
千秋,ええっ！？そういう流れ？
美由紀,千秋さん、かわいいです。
千秋,……もう。ねえ、プロデューサー。
Ｐ,何だ？
千秋,どうしてこんなに道路が狭いのかしら？
美由紀,私も気になってました、歩道はどこですか？
音葉,それとなぜ片側１車線なのですか？
千夏,狭いわ……
Ｐ,北海道の道路ってどんなんなんだ？
杏,国道なら歩道と路側帯はほぼ確実についてるよ。
Ｐ,マジか……
音葉,まず眺めがここまで悪いとかありえません。
千秋,無意味に広い歩道とかあるわ。
美由紀,車の流れがすごく速いです！
千夏,天塩から稚内にかけての道道なんて最高よ。電柱すら無いんだもの。
美由紀,あそこすごく綺麗ですよね！利尻富士も綺麗です！
音葉,一回北海道にいらしてはいかがですか？案内しますよ。
Ｐ,行ってみたい、すごく行ってみたい。
杏,気になった人はオロロンラインで画像検索してね。私とみゆきちは居てもいいわけ？
美由紀,ちょっと疑問。
Ｐ,いいってことよ、千秋と千夏いるし。
音葉,………そんな。
千夏,どうしたの？
音葉,ラーメンサラダがありません………
千秋,えっ！？
杏,は？冗談っしょ？
千夏,くーにゃんが無い……何飲もうかしら。
Ｐ,くーにゃん？なんだそれは。
千夏,ピーチリキュールとウーロン茶を割ったものです。
Ｐ,それならレゲエパンチだろ、なんだその猫みたいな名前は。
千夏,内地とはかくも恐ろしいところか……
千秋,ラーメンサラダが無いなら何を食べればいいのかしら？
杏,とりあえず焼き鳥盛り合わせじゃない？
音葉,あとは適当にサラダですかね？
