沙織,カモさんチーム応答してくださーい。おかしいなぁ？
優花里,無線の故障ですかね？
華,もう練習も終わりですのに、困りましたね
麻子,あそこに居るの、カモさんじゃないか？
みほ,本当だ!麻子さん止めて下さい、私ちょっと見てくるね
B1bis,
みほ,カモさん大丈夫ですかー？。もう練習は終わりましたよー
そど子,…
みほ,あっ、そど子さんよかったです、何かトラブルですか？
そど子,全員脱出ー！
みほ,え？
ゴモヨ,はい！
パゾ美,はーい
マゾ江,はい！
サド香,はい！
ポル美,はい！
ポル代,はい！
サキュバ子,はい！
みほ,ひっ！？
そど子,あと何人居るの？
ゴモヨ,あと115人みたい
みほ,いやああああああああああああああ！！？。…夢か
ケイ,今日の大洗との練習試合、アリサ、貴方が2軍を率いて指揮を執りなさい
アリサ,わ、ワタシがですか！？
ケイ,いずれは貴方が後輩たちを引っ張っていく立場になるわ、そのための練習よ
アリサ,し、しかし…
ケイ,Don'twally!副官にナオミを付けるから、貴方の戦車道を見せて頂戴？
アリサ,イ、イエスマム！。最大の敵はあんこうチームよ！手強い敵だけど、落とせば敵は総崩れ間違いないわ！。あんこうは必ず2両以上で追いなさい！複数のチームで連携をとって機動包囲！。全車、Goahead!。ワタシがやられっぱなしの訳無いじゃない！今度こそ奴等を叩きのめしてあげるわ！
ヘルメッ子,うるさいなぁ…
アリサ,牽制しながら一定の距離を保ちなさい！チャーリーはブラボーと合流！。どうしたの？。はぁ！？なんですって！？。一体どうなってんのよ！？
Ⅳ号,
アリサ,あ
みほ,撃って！
ナオミ,落ち着け、指揮を引き継ぐ
ケイ,……。反省会ね
華,あらあら、西住さん困ってらっしゃいますよ？
みほ,え、えぇっと…
華,あら、そういえば、自己紹介がまだでしたね、私は…
みほ,五十鈴華さん、12月16日生まれ
華,はい
みほ,吉田沙保里さん、10月5日生まれ
沙保里,うわぁ！誕生日まで覚えててくれたんだぁ！
アンチョビ,……
カエサル,Comeseistata?Hina-chan
カルパッチョ,Naturalmenteho!Taka-chan,sonocontentodiconoscerti
カチューシャ,！誰かいまカチューシャのことカッちゃんって言ったでしょ！？
ノンナ,Кат-тян!?Дажеянеосмеливаласьназыватьеетак!?
クラーラ,Успокойся,Нонна!Возьмисебявруки!
ミカ,大勢で集まることは本当に意味のあることなのかな？
アンチョビ,…帰りたい
優花里,戦車最前線の時間です！今回は豆戦車と重戦車。豆戦車はスペックから用途まで重戦車とは全然違いますが、実は深い関係があるそうです。アンツィオ高校のアンチョビさん、お願いします。
アンチョビ,うむ、今まで一般的に知られているのは豆戦車より重戦車が強いということ。しかし、ここで私は豆戦車のほうが重戦車より強いという仮説を立てる！
優花里,ほう！その仮説とは！？
アンチョビ,まず、豆戦車の砲は重戦車よりもずーっと小さい、この事実は現在まで多くの人間の根底にある共通意識だった！
優花里,カルロベローチェとティーガー1の図ですね
アンチョビ,さて、仮説を一歩すすめてみよう！。豆戦車を大きくして、重戦車と同じ大きさにする。その上で、砲の大きさを比べると…
優花里,比べると？
アンチョビ,豆戦車の砲のが重戦車のよりずっと小さい。しかし！ここが重要だ！
優花里,おぉ！？
アンチョビ,さっきよりはずーっと大きい
優花里,…
アンチョビ,…
優花里,あの…負けてるし、大きくしたら最早豆戦車では無いのでは…
アンチョビ,…
優花里,…
ナカジマ,よーし、ポルシェティーガーは終わりだねー
ツチヤ,次は八九式かー
優花里,お疲れ様です！自動車部の皆さん！
麻子,遅くまで大変だな
スズキ,あれ？冷泉さんに秋山さん？
優花里,我々に何か手伝えることはないかと思い！馳せ参じました！
麻子,専門的なことは出来ないがな
ホシノ,嬉しいけど…どうしようか？
ナカジマ,そうだ、今ポルシェティーガーの整備が終わったんですけど、慣らし運転をお願いできません？
優花里,え、いいんですか！？
麻子,他の戦車に乗る機会も無い、私としては願ったりかなったりだ
ナカジマ,えぇ、何か違和感があったら教えて下さい
優花里,お任せ下さい！
麻子,では出発する
優花里,うわぁ、ポルシェティーガーに乗ってるなんて夢みたいですぅ！
麻子,Ⅳ号とそこまで速度も変わらないんだな
優花里,整地での速度ですけどねー
麻子,このボタンは？
優花里,STEALTH？なんでしょう？
麻子,押して見るか
優花里,…？
麻子,何も変わらないな
優花里,まぁ、実際にそんな機能つけられるわけ無いですもんねー
柚子,会長、ここの記載なんですけど
杏,んー、適当でいいよ
柚子,い、いいんですか？
桃,ん？
麻子,
優花里,
桃,！？。柚子ちゃん！い、今！冷泉と秋山が宙に浮きながら走り去っていった！！
柚子,桃ちゃん…頭の使いすぎでついに…
桃,ついにとは何だ！？てか桃ちゃんいうな！
杏,平和だねぇー
みほ,車長が足で方向を合図してあげて
沙保里,足？
みほ,操縦手の肩を、進む方向に蹴るの
沙保里,親友にそんなこと出来ないよー！
華,いえ、思いっきり蹴って下さい！
沙保里,えぇ…。じゃあ左ぃ！
華,あぅ…
沙保里,華大丈夫！？
優花里,操縦者失神！行動不能！！
みほ,えぇ…
エリカ,あ、隊長、おはようございます
まほ,おはようエリカ、奇遇だな
エリカ,熊本に寄港したので散歩をと…その犬は隊長のお家の？
まほ,あぁ、しかもただの犬ではない
エリカ,はぁ…？といいますと？
まほ,嗅覚は犬！耳は犬！
エリカ,た、隊長！？
まほ,燃える瞳は原始の犬！。……
エリカ,……。それは…ただの犬なのでは？
まほ,……。小さいころ、お母様にそう教わったんだ…
ツチヤ,いい感じだよー！
