本田未央,おっはよー！あ、ふみふみおはよー！
鷺沢文香,未央さん、おはようございます……いつも、お元気ですね
未央,えっへへー、未央ちゃんの半分以上は元気でできてるからねー。ん？何読んでんの？
文香,これは……自己啓発本、といえば良いでしょうか。思うところが、少し、あったもので……あ、私は、お構いなく……
未央,ふーん、そっかそっか。でもさ、そういうのでやる気出すってのも良いよね！。私もさ、ちょっと違うかもしんないけど、音楽とか聞いてよっしゃ未央ちゃん今日もいっちょや…！。？。……あれ、ふみふみ？。ふ……ふ………。ふみふみが、消えた……！？。かくかくしかじかなんだよ！
向井拓海,それをアタシ達に話してどうしろってんだよ
未央,一緒にふみふみの行方を探そう！
高森藍子,トイレとかじゃないの？
何せ,ﾊﾟﾀﾝｯ
荒木比奈,DIOを背後から暗殺しようと皇帝を構えたホル・ホースが、気づくと逆に背後に回られてたみたいなヤツっスか
拓海,何を言っているのかわからねーが……ちなみによ。文香はどんな本を読んでたんだ？
未央,えぇと、なになに……
藍子,茜ちゃん、本出してたんだ
拓海,でっけぇ文字で一言ずつしか書かれてねぇ……
比奈,半分のページが茜ちゃんの写真だから、自己啓発本ってより写真集っスね
未央,……あっ！
藍子,どうしたの、未央ちゃん？
未央,こ、このページは……！。……ペロッ
拓海,おい、なんでこの本舐めた
未央,これは、ふみふみの手汗！そして。このページ以降、ふみふみの手汗は着いていない。つまり……。ふみふみは、このページを見たが最後、どうにかなっちゃったんだよ！
比奈,肝心なトコがフワッとしてるっスねー！
藍子,と、とにかく、文香さんを探してみよう！
拓海,おーい、文香ー！
未央,ふみふみー！あ、あーちゃん比奈先生、そっちは！？
藍子,ダメだよ、見つからなかった
比奈,トイレも一応舐めてみたんスけど、ちょびっとしか文香ちゃんの痕跡は無かったっスね
拓海,なんで舐めんだよ
未央,ウーム、遠くに行ったとは考えにくい……。……！。そうだ、良いこと考えた！。これで良しっ！
藍子,えっ、なにこれ真顔
拓海,絶対捕まんないだろ
比奈,ていうか絶対伝わらないっスよね
未央,掛かった！
拓海,すごいな！誰だこんなのに引っかかる馬鹿は！
文香Ｐ,文香っ！文香ぁ～～！！
藍子,あっ、文香さんのプロデューサーだよ！
文香Ｐ,ペロッ……あれっ？文香かと思ったらこれ文香の本だっ！
拓海,舐めるまで人と本の区別もつかねぇのかよ
文香Ｐ,君達、文香を知らないか！？さっきからどこにも見当たらないんだ！
比奈,アタシ達も探してるトコなんスよ
文香Ｐ,ああぁぁぁどうしよう！これからマッスルキャッスルの収録なのにぃ！
未央,えっ！？ふみふみあの番組に出るの！？
文香Ｐ,そうなんだよぉ、あぁぁまさか文香はあまり運動得意じゃないから逃げてしまったとか…！
拓海,もう収録現場にいるんじゃねぇのか？
未央,ふみふみはマジメだから、きっとそうだよっ！行ってみよう！
川島瑞樹,さぁ、続いての競技はマッスル綱引きでーす
十時愛梨,今日は特別に、文香さんの代打で向井拓海ちゃんに来ていただきました～♪
拓海,おい
藍子,ここにもいなかったかぁ
未央,ウムム、いよいよもって迷宮入りの体を成してきたね
拓海,おい
三村かな子,拓海さんが相手かぁ……ううぅぅ手強そう、だけどっ
拓海,いやアタシはやんねぇよっ！何で出させられてんだよ！
文香Ｐ,すまない、拓海ちゃん。後で必ず埋め合わせするからどうかこの通り
拓海,お前が出ろや！
文香Ｐ,うお、ちょちょっ！！俺が出てどうすんの絵面汚いじゃん！！
拓海,アタシだってさっさと文香探しにケリつけて流しに行きてぇんだよっ！！
かな子,へぇ……ひょっとして、文香さんを探しているのかな？
一同,えっ？
未央,ま、まさかかな子ちん、ふみふみの居場所を……！？
かな子,よぉし、それじゃあ番組を盛り上げるために……！。タダで教える訳には行かないよ！
瑞樹,成長したわね、かな子ちゃん……！
比奈,なるほど、聞きたくばお前のその拳で聞くが良い
拓海,面白ぇ、そういう事なら受けて立ってやろうじゃねぇか
双葉杏,あーあ、いいのかなあんな事言っちゃって、拓海さん絶対強いじゃん
緒方智絵里,で、でもかな子ちゃんも346プロが誇る横綱だから…！
杏,ユニットメンバーをダイレクトにディスるんじゃないよ
