モバP,あぁ～久しぶりに長期休暇取れたし地球外でも行こうかな
P,どこにしようかな？
アシスタント,イマナラプロデューサー割ガオ得ナシブヤ星、サクマ星がオススメデス
P,なるほどね。じゃあ先ずは佐久間星から行こうかな
佐久間まゆ,まゆ、プロデューサーさんが来てくれて嬉しいです
まゆ,両手出してもらってもいいですかぁ？。佐久間星特製リボンです。色々な所で役に立つ優れものなんですよ
P,あっという間に1週間も滞在してしまった。しかし佐久間星はすごいなぁ、お腹が減ったと思ったら偶然お弁当持参のまゆに出会うし、遊びたいと思えばゲーム持参のまゆに出会うしスゲーよな。さて、次の星にでも行こうかな
まゆ,まゆ、寂しいです…
P,ゴメンな、俺もあんまし休みないから…また来るよ
まゆ,絶対にまた来てくださいね…
P,おう。じゃ、出発してくれ
アシスタント,カシコマリマシタ。アクシデントハッセイナニカガシップニカラマッテマス
P,ん？。なんだ、赤い糸が絡まってだけか…ビックリしたよ
アシスタント,ハッシャシマス
渋谷凛,プロデューサー待ってたよ
P,はいこれ、パスポート
凛,先ずは入管手続きをするよ。これに着替えてこのゲートを通って
P,おっけー。あれ？
凛,どうやら危険物を所持してるみたいだね
P,そんなの持ってないけど
凛,その赤いリボンだよ
P,これはただのリボンだし
凛,マイクロチップが埋め込まれてる。持ち主の精神が読み取られるみたいだけど
P,……
凛,危険物は預かるよ
P,はい
凛,じゃあどうぞ。ゆっくりしていってね
P,渋谷星かぁ～初めて来たけど花がいっぱいあっていい所じゃないか。腹が減ったな…近くにご飯屋さん無いかな…あの人に聞いてみるか
ハナコ,牛丼屋でしたら２丁目の角を曲がった所にありますよ
P,ありがとうございます
凛,いらっしゃいませ
P,何にしようかな。ネクタイ？
凛,そうだよ。並はネクタイと交換
P,ネクタイなんて今付けてるのしか無いし
凛,それで良いよ
P,え、俺が付けたのなんて
凛,それで良いよ
P,そうなの？
凛,毎度あり
P,渋谷星はあんまり慣れないな…次に行こう
アシスタント,マスターソロソロチキュウニモドラナイトイケマセン
P,もうか、休みは過ぎるの早いなぁ
アシスタント,デハシュッパツシマス
P,おｋ
アシスタント,アト24ジカンでチキュウニトウチャクヨテイデス
P,そっか、じゃあひと眠りするから着いたら起こして
アシスタント,カシコマリマシタ
P,どうかしたか！？
アシスタント,モウシワケゴザイマセンセンカワ商会ノシップトショウトツシテシマイマシタ
P,あーあーこちらプロデューサー申し訳ない、プログラムにミスがあり衝突してしまった。損害状況を教えて欲しい
千川ちひろ,こちら千川商会。こちらの船の損害は0です。並大抵の事では傷一つ付きません
P,それは良かった
ちひろ,ですが今の衝突で荷物の輸送が5秒遅れる事になります。5秒の時間を返して頂きたい
P,おいおい、そんなのできないよ。アシスタント、白旗出して降参の意思表示をしろ
アシスタント,カシコマリマシタ
ちひろ,！。私も舐められたものですね…白旗を振って宣戦布告とは良い度胸です
