モバP(以下P),……なぁ、まゆ
まゆ,はぁい？
P,……なんだ、これは？
まゆ,まゆですよぉ？
P,……
まゆ,まゆの、まゆ……ですよぉ？
P,……いや、その……
まゆ,……
P,……。TENGAEGGだよね？
まゆ,はい？
P,はい？じゃないんだよ
まゆ,はぁ……
P,はぁ、でもないんだよ
まゆ,ふーっ
P,耳は弱いからっ！
まゆ,アンリミテッド……
P,囁きにも弱いからっ！！。じゃなくてだな
まゆ,？
P,これ、TENGAEGGだよね？
まゆ,まゆ、よくわからないです
P,書いてあるじゃん。パッケージに
まゆ,……
P,……書いてあるよね？
まゆ,それがどうかしたんですかぁ？
P,どうしたもこうしたもないだろ？。どこの事務所にプロデューサーにTENGAEGG渡すアイドルがいるんだ？ん？
まゆ,でも、Pさん……。まゆ、使い方とかわからないですよぉ？
P,本当に？
まゆ,……うふ
P,……知ってるね？
まゆ,ジョークグッズですよぉ？
P,知ってるね
まゆ,……もしかして、セクハラ、ですかぁ？
P,この場合どっちがセクハラなのかねぇ！
まゆ,まゆはいつでも歓迎ですよ、うふ
P,何が？
まゆ,あら、また……
P,何が？
まゆ,Pさん、セクハラプロデューサーなんですねぇ……
P,セクハラアイドルに言われてもなぁ
まゆ,同じ……うふ、運命感じちゃいます
P,マジでセクハラするぞお前
まゆ,……しないくせに
P,泣かせたくないからな
まゆ,プロデューサーさんになら、別に……
P,俺がまゆを泣かせたくないんだよ
まゆ,愛を囁いてくれないと、まゆ、泣いちゃいそう
P,囁いたところで泣くんだよなぁ
まゆ,囁き得ですよ？
P,今度な
まゆ,……うふ。で、この◯ナホですけど
P,おい
まゆ,どうかしましたか？
P,いや、うん……なんでもない。大丈夫、大丈夫
まゆ,このオナ◯ールですけど
P,いや……やっぱダメだ。まゆの口からそんな言葉聞きたくなかった……
まゆ,はぁい
P,わかればいいんだ
まゆ,でも、Pさん……アイドルにこういうモノ貰って……嬉しくは、ないんですか？
P,嬉しかないわ
まゆ,まゆからのプレゼントなのに？
P,それとこれとは別問題だよ
まゆ,まゆ、悲しい……
P,俺も今めっちゃ悲しいよ
まゆ,正直興奮しません？
P,しません
まゆ,何で？
