えーっと花言葉は…確か,不幸中の幸い
みほ,うーん……。誰からだろ？
愛里寿,…………
蝶野,それでは試合を始めます。礼！
みほ,よろ――。ダージリンさーん。今日はありがとうございました
ダージリン,ふふ。こんな言葉を知ってる？。友情は瞬間が咲かせる花であり、そして時間が実らせる果実である。おめでとう
みほ,ダージリンさんて結構ロマンチストですよね
エクレール,大洗のピンチに他校の仲間(ライバル)が大集結……？
ガレット,エクレール。この新聞記事をご覧になりまして？
エクレール,いえ？見せてくださるかしら
ガレット,どうぞ
エクレール,大洗のピンチに他校の仲間(ライバル)が大集結……？
ガレット,あの大洗が廃校をかけて大学選抜チームと戦っていたとは驚きですわ。エクレールは知っていまして？
エクレール,い、いえ……
ガレット,おっと次の講義が……失礼いたしますわ
エクレール,…………。(力に……なれなかった)
ガレット,(ふふふ、しょんぼりしてる)
エクレール,私、そんなこと全然知らず……呑気に……！おうぇっ……
ガレット,！？
エクレール,はっ……はっ……
ガレット,だ、大丈夫ですか！？
エクレール,き、今日は胃薬飲んでなかった…から
杏,っていうことがあったくらい、マジノは後悔してるらしい
みほ,気持ちは嬉しいですけど……心配です。エクレールさんが気に病む必要なんてないのに……
沙織,ちょっと華！
優花里,と、とにかく！一度会ってみた方が良いかもしれませんね！
みほ,そ、そうだねっ！
エクレール,わ、私は一体どう謝罪すれば……
ガレット,いっそ開き直るのが良いと思いますわ
エクレール,開き直る……？
ガレット,随分と苦戦なさったそうですわね。ふふん、あの程度、自力で切り抜けられずに大丈夫ですの？的な
エクレール,ええ……？。大学選抜チームとの試合のこと聞きましたわ
みほ,あ、はい。そのことなんですけど
エクレール,随分と苦戦なさったそうですわね？
みほ,！？
ガレット,(あっ、ホントにあの案で行くんだ……)
エクレール,わ、私たちでしたら、10分で終わってた試合ですわ。あ、あの程度、自力で切り抜けられなくて、この先大丈夫ですの？
杏,は？
エクレール,ら、らいばるとして情けないですわ
華,…………
ガレット,(ごめんなさい！謝るから、もうやめて下さい！)
エクレール,ふ、ふん！どんな卑怯な手を使いまして？
麻子,おい、流石に挑発が過ぎるぞ
エクレール,(もう限界ですわ。演技だとしても辛すぎる……)。おろろろろろろ……
みほ,わぁ！だ、大丈夫ですか？
エクレール,すみません……
みほ,いえ、そんな
エクレール,そろそろお暇させていただきますわね……。…………
みほ,あ、すみません、ビズはちょっと
エクレール,……すみません
みほ,いえ……。…………
愛里寿,…………
蝶野,それでは試合を……
エクレール,私たちも参戦いたしますわ！
みほ,それで土砂崩れを意図的に発生させーーー
まほ,確かにハマれば効果は大きいだろうが、そんなに上手くーーー
エクレール,(なんて顔触れですの……！き、緊張する！)
ダージリン,それで作戦名はどうするの？
みほ,そうですね……。皆さん何かありますか？
アンチョビ,う～ん……
カチューシャ,エクレール、あんた何かないの？さっきからだんまりだけど
エクレール,(何か、何か答えなきゃ！ダメ……何も浮かばない！うう……)。うぇっ、おぇえ
一同,ふう……
まほ,さて、先ほどの続きだが、何か良い案はあるか？
みほ,却下です！！！ぐしゃぐしゃ作戦で行きましょう！
一同,お～！
エリカ,チッ、何よ
後は,大洗の代わりに廃校になった学校の話
