橘ありす,ふぅ……、久々の学校ですね……
ありす,最近はお仕事が忙しかったですが、勉強の手を抜くわけにはいきません。まぁある程度は予習をしていますし、わからない箇所は卯月さんにメールで送れば3秒以内に正確な解説が返ってきますし……。……あれ、どうなってるんでしょうか。……いえ、深く考えるのはやめておきましょう。おはようございます。お久しぶりです。ありがとうございます……。どうでしたか？。アイドルですけど！？。おはようございます。そんなに休むわけにもいきませんからね。アイドルだって言ってるじゃないですか！！！。開口一番でそんな説明口調！？。せめてユニットって言ってください！！！いや組まないですし！！！
先生,はーい、みんな席についてー
ありす,ほらみなさん、朝礼の時間ですから、戻ってください
先生,橘さんは人気者ですね
ありす,面白がってるだけですよ……、まったく……
先生,だがそれも今日までだ
ありす,先生！？
先生,冗談です
みんな,HAHAHA！！！
ありす,このクラス、まともな人間がいないんですか？？？
先生,今日は皆さんに、大切なお知らせがあります
ありす,？
先生,なんと、新しいお友達が増えることになりました！
ありす,え！転入生ですか！
みんな,Fuuuuuu！！！
ありす,なんでみんなさっきからテンションがアメリカンなんですか！？
先生,では、早速きてもらいましょう。宮本さーん
ありす,みやも……、えっ……？
宮本フレデリカ,盆じゅーる♪宮本フレデリカだよー！
ありす,その日本要素いります？
みんな,わぁーっ！！！！
ありす,ここは普通に驚くんですね
先生,というわけで、今日1日、みんなの先生になってくれる宮本フレデリカさんです
フレデリカ,よろしくねー！
ありす,って、フレデリカさんが……先生……！？てっきりこっちに混じって受けるのかと
フレデリカ,フレちゃん相手なら何を言ってもいいわけじゃないよー？？？
ありす,えっと……、フレデリカさんが授業をするんですか？
フレデリカ,そうだよー♪
先生,というわけで先生はシンゴジラを見てきますね
ありす,自由
フレデリカ,もちろん、ありすちゃんだからといって特別扱いはしないからね！
ありす,いや、求めてませんが……
フレデリカ,せいぜい無条件でテストが100点になるくらいだよ！
ありす,最高のVIP待遇じゃないですか
フレデリカ,じゃあ、早速授業を始めちゃうよ！
ありす,国語……、できるんですか……？
フレデリカ,はい私語ーーー！！！！！
ありす,
