松永涼,あー、そろそろハロウィンかぁ
白坂小梅,涼さんは、今年の…ハロウィン…何に仮装する、か、もう決めた？
涼,ん～～。今年は事務所が用意した衣装だけでいいかな？。正直、それだけでお腹いっぱいだわ。自前では用意しないと思う
小梅,そっかぁ……
涼,小梅は仕事以外で何か仮装するの？
小梅,う、うんっ。今日は…それを涼さんに、見てもらい、たくて…
涼,へー！小梅何着るんだよ？見せて見せて！
小梅,う、うん…ちょっと…待って、てね…。お、お待たせ…涼さん
涼,お～～。それがハロウィン用の仮装？
小梅,うん…
涼,全身包帯でぐるぐる巻き。……ミイラかなにかか？
小梅,殺人鬼
涼,殺人鬼ぃ！？。いやいやいやいや。なんでそんな包帯ぐるぐる男が殺人鬼の仮装なんだよ！？
小梅,え、えへへ…えへ、へ…こ、この、鎌を使って…人を殺しまくるん、だよっ
涼,小梅がめっちゃ笑顔で危ないことをつぶやいてるッ！！
小梅,えへへ…へへ……
涼,そんで、鎌で人殺しと確実にヤバイやつじゃねーか！ぜってー関わりたくねーわ！！
小梅,……そう？
涼,見た瞬間に即逃げるね。アタシなら
小梅,逃げても…逃げなくても…ちゃんと、殺し、て、あげる…よ？
涼,小梅の発言がどんどんヤバイ方向になってる…っ！。絶対嫌だわ！殺されてたまるかってーの！
小梅,う、うーん、そう…かな？
涼,仮に誰かに殺されて死ぬとしても、絶対そいつにだけは殺されたくないわ
小梅,そう、かなぁ？
涼,そんなヤバイ見た目と殺し方の殺人鬼にだけは御免だね
小梅,え、えへへ…それじゃあ、涼さん、こういう、殺人鬼、には、出くわさない、と…いいね
涼,ああ。そう祈るばかりだね
