千川ちひろ,それじゃ、たるき亭に予約入れときますね
高垣楓,はい。ふふ……久しぶりの飲み会、楽しみです
本田未央,なになに？パーリーが催されるとな？それは未央ちゃんも気合いを入れとかないと！
ちひろ,駄目ですよー？これは大人達だけのお楽しみ会だから、未央ちゃん達はまた今度
未央,ぶー
楓,ふふ。大人になったら、未央ちゃんも一緒に気持ちよくなりましょうね
未央,おぉ……無駄にエロい……
島村卯月,ハイハイ！私も気持ちよくなりたいです！プロデューサーさんとも一緒に！
未央,コラッ、エロボケを被せてこない。しまむーのキャラじゃないでしょ
卯月,え？私なんかエッチな事言った？
未央,……え？
卯月,未央ちゃん？私エッチな事言ったのかな？
未央,ちょ……
卯月,ねぇねぇ、未央ちゃん？私はどんなエッチな事言ったのかな？
未央,こ、この……
卯月,み～おちゃん？
未央,っ…………プロデューサーとまぐわいたいって言ったんだよ？
卯月,！？
未央,しまむーは！プロデューサーのっ！○○○○を××××に！！△△△△△でっ！！□□□□したいって言ったんだよぉ！！
卯月,！？！？？
ちひろ,……楓さんが変な言い回しするから……
楓,てへっ
渋谷凛・三船美優,お疲れ様です
ちひろ,あ、お疲れ様です。美優さん、今度の飲み会についてちょっといいですか？
美優,はい。なんでしょう？
ちひろ,たるき亭でやることになったんですが、参加する人の――――――
凛,……未央、外まで聞こえてきたよ。なんてこと叫んでるの……
未央,あ！しぶり～ん。しまむーがエロおやじ化してセクハラしてくるんだよ～。卑猥な事言わされた～
卯月,い、言わせてないよ！あんな事叫ばれて私のほうがセクハラされた気分だよぉ！！
未央,いけしゃあしゃあとこの娘はっ！！こんな嘘吐き娘はパパに叱ってもらわないとっ！
卯月,やーだー！やめてよー、ママー！！
未央,離しなさい！もうすぐパパ帰ってくるから、それまで大人しくしてなさいっ！！
卯月,やー！！ママの馬鹿ー！！
凛,……いきなりコント始めないでくれる？
未央,しぶりん……これはコントと見せかけて、しまむーの所業をプロデューサーにチクる為の布石だから
卯月,え！？ホントに言うの！？ちょ……未央ちゃんっ！！
未央,ちょっとしたおふざけが思わぬところに影響が出るって教訓だよ。アイドルは発言に気を使って……ね？
卯月,ね？じゃ、ないよぅ！うぅ……いいもん！全力で否定したら、プロデューサーさんはきっと私の味方になってくれるからっ！
未央,なにおう！？私とプロデューサーの親愛度の高さを舐めてるなぁ！？しまむーが何を言おうとプロデューサーは私の味方だからっ！
卯月,かわいそう！未央ちゃんかわいそうっ！！その思い込みかわいそうっ！！
未央,はぁ～ん！？まったくこの子は残念だよっ！ほら、しぶりん言ってあげて！この嘘吐き小娘に言ってあげて！！かわいそうなのは誰なのか言ってあげて！！
凛,……二人共かわいそうだよ。プロデューサーは誰より私と
未央・卯月,そういうのいらないっ！！今は私達の戦いっ！！
凛,……はいはい。二人共ちょっと落ち着いて。お茶取ってくるね
未央,……オッケー。しまむー、一時休戦だ。プロデューサーが帰ってきたら決着をつけようじゃないか
卯月,恨みっこ無しだよ！
未央,望むところっ！
モバＰ,お疲れッス！！
未央,あ！プロデューサー！ちょっと話がっ！！
卯月,プロデューサーさん！今から未央ちゃんがデタラメを言いますよ！！
未央,なん！？いきなりこの子は……！！
モバＰ,すまん！後でな！……凛は居るか！？
凛,こっちだよ。どうしたの？
モバＰ,やった、やったぞ！
凛,え？
モバＰ,朝の帯ドラマ……出演決定！
凛,ちょ……
モバＰ,おっと、すまん！嬉しさのあまり抱き付いてしまった！
凛,……ぁ
モバＰ,おめでとう、凛！これだけは直接言いたくてな！
凛,え、あ、うん……
モバＰ,ははっ！まだ実感湧かないか……っと、もう少し喜びを分かち合いたいけど、打ち合わせがあるから行かないと
凛,ま、待って！
モバＰ,ん？
凛,喜びの瞬間を呆けたままなんて嫌……お願い、もう一度抱きしめて
モバＰ,っと。ん～……ま、いっか。改めておめでとう、凛
凛,全部プロデューサーのおかげだよ。……タイミングもバッチリ
モバＰ,タイミング？
凛,ううん、何でもない。それじゃ、お仕事頑張って。あ、ネクタイ整えて……ん。行ってらっしゃい
モバＰ,おぉ、サンキュ。行ってきます！
未央,……
卯月,……
凛,はい、お待たせ。お茶だよ
未央,ん、ありがとう
卯月,あ、私お菓子持ってるよ。お茶請けにしよう
未央,おー、流石しまむー。ナイスナイス
卯月,えへへ……
未央,……
卯月,……
凛,ふぅ……
未央・卯月,っ！
凛,……ん？
未央,くっ……
卯月,り、凛ちゃん！オーディション突破おめでとう！
未央,そ、そう！それっ！しぶりん、おめっ！！
凛,ふふ、ありがとう
未央,うんうん、めでたいね。私も頑張らないと
卯月,あ、頑張るは私が先に言いたかったな
未央,おぉ、ごめん。しまむーの大事なやつとっちゃった
卯月,もー。未央ちゃんったら。えへへ……
未央,ははは……
凛,……
卯月,……
未央,……
凛,……
卯月,……
未央,……
凛,……………………………………………………抱きしめられたわー
未央・卯月,っ！
凛,私からじゃなくて、プロデューサーから抱きしめてきたわー
未央・卯月,……
凛,その後、改めて抱きしめあったわー
未央・卯月,……
凛,仕事に送り出すとき、完全に夫婦のそれだったわー
未央・卯月,……
凛,……
未央・卯月,……
凛,……………………………………………………二人共かわいそう
未央・卯月,あっ！
凛,あ、ゴメン。聞こえた？
未央,あ゛あ゛！！地獄の渋谷ぁ！！！
凛,うざいって言いたいのかな？ふふん、何とでも言えばいいよ。親愛度が一番高いのは誰かってはっきり分かった訳だし？今の私は無敵だよ
卯月,蒼の剣を受けよ！アイオライト・ブルー！カッコカワイイ宣言！
凛,言うに事欠いて、それは無いでしょ！
未央,速攻でダメージ喰らってるじゃん
凛,ぐっ……
卯月,蒼穹の果て、私はここにいる！ヴォルト・オブ・ヘヴン！カッコカワイイ宣言！
未央,うんうん。しぶりんのキャラも相まって、カッコよくてカワイイセリフだよね
凛,違うでしょ！そういうのじゃないでしょ！！
卯月,静かなる蒼の息吹よ……カッコカワイイ宣言！
凛,せめて最後まで言ってよっ！
卯月,我が剣に宿りて敵を穿て！ラズール・レオ！カッコカワイイ宣言！
凛,ごめん、嘘！もう許してっ！
卯月,だって、未央ちゃん
未央,うむ。これに懲りたら調子に乗って煽らないように！分かったかね？渋谷君
凛,………………………………でも、事実抱きしめられたし
未央,おーし！いい度胸だ！しまむー、もう一度ミサワ責めだっ！
卯月,本田未央ですっ！カッコカワイイ宣言！
未央,何でもアリか、貴様っ！
ちひろ,女三人寄れば姦しいとは言いますが……
楓,あの元気さは若さでしょうか。ふふ
美優,……羨ましい……ですね……
楓,……でも、お酒の席では私達も負けないくらい姦しくなりますから、心配いりません。そう……負けませんっ
ちひろ,それ、心配なんですが……
美優,ふふ……でも、やっぱり……羨ましいです……凛ちゃん……
楓,そうですねぇ……
ちひろ,凛ちゃん……？
市原仁奈,ちひろおねーさん、ちょっと写真撮ってくだせー
ちひろ,ん？いいですよー
仁奈,それじゃ、Ｐは仁奈を抱っこしやがれです。美優おねーさんは隣で笑ってくだせー
モバＰ,はいよ。そらっ
美優,笑顔……ですか……。不自然にならないようにしないと……
ちひろ,はーい。いきますよー
美優,え？ちょっと、ま……
ちひろ,はい、チーズ
美優,ぁぅ……
仁奈,ありがとーごぜーます！それじゃ見せてくだせー
モバＰ,あ、コラ。危ないだろ
仁奈,へへー。ちひろおねーさん、はやくはやくっ！
ちひろ,はいはい。こんな感じですよ
凛,……急に写真なんて、どうしたの？
モバＰ,学校の宿題なんだと。大切な人や物を写真に撮って作文にするって
卯月,……それ、人によっては残酷なことにならないですか？
モバＰ,一応配慮はしてあるみたい。物を学校に持ち込んで先生が撮る方法でもいいみたいだし。それで済ませる子も結構いるみたいだから、心配するような事にはならんだろ
卯月,そうですか。にしても、美優さんは納得ですけど、プロデューサーさんも大切な人に選ばれるとは。妬けますね～
