モバP(以下P),お、来たか紗南ー、お疲れさん
紗南,今日もよろしくねPさん。今日何しよっかー
P,んー、とりあえずあれか、音ゲーでもやるか？
紗南,……スマホ？
P,かなぁ、最近はそういうの多いよなぁ
紗南,まぁ色々あるよね、デ◯ステとかミリ◯タとかエムス◯とか
P,ははっ、そうだな
紗南,Pさんそこは突っ込んでくれると嬉しいなって。で、どうする？スコア？耐久？
P,耐久、回復なし、コンセ込み、マス縛りで
紗南,え？マス+じゃなくて？
P,そっちの方がワンミスの恐怖つえーかなーと
紗南,あーなるほどねっ！曲は交互？ぴにゃ？
P,ぴにゃから合わせで、ロールは勝ち側で
紗南,おっけー！んじゃいつも通りに……
P,…………
紗南,…………
P,ゆめはゆーめで
紗南,おーわれーなーい……
P,…………
紗南,かなーえるよー……。ほーしーにーねーがーいをー
P,………別に歌わなくていいぞ？
紗南,先に歌ってきたのPさんだけど！？
P,む、これは……
紗南,お、これで決着つきそうだね！
P,…………っと
紗南,やっぱはや……っと！
P,…………あーっ！ミスったクソっ！！
紗南,やーりぃ！あたしはこのまま……ってうわっ！
P,ふふん、流されるのはあるあるだよな
紗南,いや、Pさんがいきなり動くからだよ！びっくりした！
P,悪い悪い……っし……で、どうする？
紗南,二人ともワンミスかー……
P,んじゃスコア？
紗南,コンボ数じゃない？
P,コンボ数だと紗南が勝つだろ！？
紗南,Pさん理論編成なんだからスコアで勝つに決まってるじゃん！？
P,大人の課金力を舐めるんじゃない
紗南,先月いくらいれたの？
P,………はーなーもちとちよもいい性格してるよな
紗南,待って、いくら入れたの！？
P,よし、目を逸らそう。次何やるよ
紗南,んー、レースゲームとかやる？マ◯オとか
P,ス◯ブラでもよくね？最近ご無沙汰なんだよなぁ
紗南,え？Pさんやってないの？情報出たじゃん？
P,カ◯ーイは世代だし勇◯も最高なんだけどさ？
紗南,バン◯ョーが世代ってPさん年齢がバレ
P,いや隠してないしな。……それこそ来てから本格的にやろうかなって……
紗南,うわぁそれ絶対やらないやつだよPさん
P,ジョー◯ー出たのに全く触ってねぇんだよなぁ、奈緒に言われてアニメも全部見たのに
紗南,ゲームは？
P,…………RPGって社会人になると辛くてな
紗南,えー、RPGやろーよー話題作色々あるじゃん
P,久々にやろうとは思ってるんだよ、新作
紗南,………当ててあげようか？
P,お、どうした、いいけど……
紗南,錬金術でダブルソードして今ふとももが熱いやつでしょ
P,…………………ソナコトナイヨー
紗南,………Pさんのえっち
P,いや、まだアレがそういうのとは決まってないし……2次人気だし……
紗南,Pさん的にやっぱああいうタイプが好きなの？
P,まぁなぁ、未央とかそんな感じだろ？キャラ的に
紗南,あー、あと唯さんとか？気軽に話しかけそうな
P,あとお前な、紗南。紗南も男子にさらっとゲーム挑むだろ
紗南,まぁ勝負したいしね！あと一狩行きたい時とか！
P,……そこが勘違いするんだよなぁ
紗南,……でも今あたしPさんとゲームしてるよ？
P,俺は大人だしノーカン。……どうした紗南？
紗南,な、なんでもないっ！で、買うの？
P,多分なー……積みそうだけど
紗南,なら買ったら一緒にやろうよ！それなら飽きないし！
P,RPGを？二人でかー……テイル◯とかなら協力プレイも出来るけど
紗南,一緒にストーリー見るだけでも楽しいって！
P,ま、そうか……それなら予約しておこ。紗南、◯イザのコスプレする気ない？
紗南,………………しないっ！
P,似合いそうだけどなぁ、レベルは足りてないけど
