前野,夢野先生！！今日から僕が担当ですよ！！。よろしくお願いします！！
野崎,うわあああああああああ！！！。……っは！！。……夢か。まさか前野さんが夢にまで出てくるとはな……。前野さんを超えるいろんな意味で恐ろしい人はいないだろう
瀬尾,あはははは！！
男,うわーーー！！
野崎,瀬尾か……あいつも朝から元気だな。あいつに関わるとロクなことな起こらない。……。……ん？。前野さんと瀬尾を会わせるとどうなるんだ……？。自分の事が大好き、KY、話を聞かない……。二人には色々と共通点がある。もしそんな二人が出くわしたら……一体どんな会話が繰り広げられるんだ？。最終的にどっちがウザく見えるんだ……？
佐倉,野崎くんおはよー！！
野崎,！佐倉……
佐倉,？どうしたの？何か考え事？
野崎,……この際佐倉にも話そう。……という疑問が生まれたんだ
佐倉,野崎くんが真剣に考えてると思ったら……。……。それは確かに気になるよ！！
野崎,佐倉もそう思うか！！？
佐倉,うん！！。野崎くんが喜んでくれてる……こっちも嬉しくなるよ！！。これは是が非でも二人を会わせたい！！。！！でも……どうやって会わせよう……？
野崎,……！！確かにそうだな……。結局どうやって会わせるか思いつかないまま時間が過ぎてしまった。とりあえず家に帰ろう
若松,あ、野崎先輩！
野崎,！若松。そうか……明日も瀬尾と出かけるのか
若松,はい……しかも◯◯によるなんて……
野崎,◯◯……？あのファミレスの？
若松,はい、ほかのお客さんに迷惑かけないでほしいですね……
野崎,……！！。若松！！何時にそこに行く！！？
若松,え、ええと……昼の1時です
野崎,偶然にも同じ時間帯！！。いける！！これはいけるぞ！！
若松,な、何がですか！？
野崎,！！電話……佐倉からだ。もしもし。例のファミレスに行くんだろう？俺もたった今聞いた。佐倉……明日は行くしかないな。最強の……矛と盾の対決を見届ける為に！！
若松,さっきから何の話をしているんだ……？
瀬尾,いやーまさか千代達も来るなんてなー
佐倉,う、うん！！結月とこういうとこに行く事あまりないから……たまにはって思って！！
野崎,すまない若松……俺達の実験に付き合わせてしまって
若松,いや、寧ろ助かりました……二人きりは地獄ですからね。俺、前野さんは話でしか聞いた事ないんですけど……そんなにやばいんですか？
野崎,ああ
若松,……あの瀬尾先輩よりもですか？
野崎,ああ、並かそれ以上だ
瀬尾,何コソコソ話してんの
若松,！！な、なんでもありません！！。先輩達何頼みますか？
瀬尾,私これー！！
佐倉,じゃあ私は……
野崎,まだか……まだ来ないのか
若松,……野崎先輩？
野崎,！！な、なんだ？
若松,あの……何頼みますか？
野崎,そうだな……じゃあ俺は……
瀬尾,なぁ野崎、あんた今日変だね。いや、変なのはいつもだけどいつも以上に変
野崎,……
佐倉,ゆ、結月！！
野崎,くっ……この煽り……前野さんに匹敵する！！。打ち砕かれるのは前野さんか……それとも瀬尾か……。ここで会話させるプランを復習しよう。胸に目がない前野さんはきっと瀬尾に注目するはずだ。そして前野さんは瀬尾に話かける……その後の展開は未知数だ。瀬尾がうざいと言って話を切り上げるのか……はたまたそれに動じず話し続けるのか……。今世紀最大の対決が……今始まる！！
瀬尾,あー美味かった
野崎,！！？俺の注文したやつがない！！？
瀬尾,だっていくら私が呼んでも反応しないんだもん。だから食べていいかなって思って
野崎,おのれ瀬尾！！
瀬尾,ねーえー。もうメシ食ったしほかのとこ行こーぜー
野崎,！！
佐倉,ゆ、結月！！もうちょっとだけいよう！！
瀬尾,え、なんで？まだ何か食べるの？
佐倉,う、うん！！デザート食べたくなっちゃった！！
野崎,すまない佐倉……
若松,先輩……本当に前野さんは来るんですか？
野崎,ああ、来るはずなんだが……それにしても遅い
瀬尾,なんでまだここにいるの？
佐倉,も、もうちょっと結月とお喋りしたいなーって思って！！
瀬尾,お喋りぐらいどこでもできるじゃん
佐倉,え、ええと……
野崎,佐倉……もう限界だ。正直に話そう
佐倉,野崎くん……
野崎,瀬尾、お前を引き止めるのには訳が会ってだな……
若松,まさか……そのまま言うのか？
野崎,お前に会わせたい人がいるからだ
瀬尾,え、誰
野崎,それは来てからのお楽しみだ
佐倉,まあ流石にどんな会話になるのか見たいとまでは言えないよね
野崎,というわけでもう少しだけ待ってくれないか？
瀬尾,あのさ、そいつって面白い？
野崎,え……？
瀬尾,面白かったら会いたい
野崎,あ、ああ……面白い
瀬尾,よーし、じゃあ待とーっと
佐倉,よかった……
野崎,しかし……これだけ経って来ないのはおかしい。もしや都さんの身に何か……？。ちょっと都さんに電話してみる
佐倉,う、うん
野崎,もしもし、都さんですか？。あの、今日って確か◯◯に……。……えっ？。な、成る程……分かりました。……失礼します。……
佐倉,の、野崎くん……どうだった？
野崎,都さんが言うには……。……と言われたらしい。流石前野さんだ……俺達の予想の上を行く
佐倉,戦わずして勝つ……恐ろしいね
瀬尾,ねー来ないならもう行っていい？
野崎,ああ、いいぞ。じゃあな
若松,えっ！！？。じゃあなって……着いてきてくれないんですか！？
野崎,実験ができないと分かってしまったからな
若松,そんな……佐倉先輩は！？
佐倉,私、まだベタが……
若松,ええっ！！？
瀬尾,行こうぜ若ーーー！！
若松,うわーーーーーー！！！
野崎,よく考えたら会わせたら会わせたで取り返しのつかない事になりそうだったしよかったのかもな
佐倉,うん……
