関裕美,……♪
塩見周子,んー？裕美ちゃん何してんのー？
裕美,わっ、周子さん。いや、その別に……
周子,今隠したのは何かなー？見せて見せてー
裕美,いや、別に何も……
浜口あやめ,むむっ、これはアクセサリーですね
裕美,きゃああ！？あ、あやめちゃんいつの間に……
あやめ,驚くことはありません。何故ならわたくしは、忍ドルなのですから！
周子,どーも、あやめ＝さん。しゅーこです
あやめ,それはやめて下さい！忍者業界の風評被害なのですよ！？
裕美,に、忍者業界……？
及川雫,みんなお揃いでどうしたんですかー？
裕美,あ、雫ちゃん
雫,あ、アクセサリですね。もしかして、手作りですかー？
裕美,う、うん。ちょっと恥ずかしいけど……
周子,へー……ね、アタシにも教えてくんない？アクセサリーの作り方
裕美,へっ？
あやめ,あ、是非わたくしも！
雫,私も作ってみたいですー
裕美,あ……じゃ、じゃあ作ってみる？
周子,やったー♪
裕美,じゃ、簡単なビーズアクセでも……。どうかな？
あやめ,はい！出来ましたよ！
周子,アタシもー
雫,こんな感じですかー？
裕美,雫ちゃんのは……牛、かな？
雫,はい。実家で飼ってる牛さんを作ってみましたー
周子,すごいねー、模様まで
雫,がんばりましたー
裕美,周子さんは……
周子,ロザリオ、十字架ね。かっこいいっしょ？
雫,んー、赤十字のマークですかー？
周子,いやいやいやいや。確かに献血はよく行くけどね？
あやめ,わたくしのもご覧下さい！
周子,なにこれ、手裏剣？
あやめ,はい！忍者の魂とも言うべき、四方手裏剣ですよ！
雫,かっこいいですねー
周子,……あれ？でもさ……
あやめ,どうかしましたか？
裕美,魂……投げちゃうの？
あやめ,…………
松尾千鶴,…………
星輝子,フ、フヒ……
千鶴,事務所に来たら輝子さんがゴミ箱に頭を突っ込んでいる……
輝子,トモダチ……どこ行ったー……フヒヒ……あっ
千鶴,あっ
輝子,………………おはようございます
千鶴,お、おはようございます。輝子さん、どうしたんですか？
輝子,と、トモダチ……行方不明になって……
千鶴,トモダチって……キノコの事ですか？
輝子,そ、そう……トモダチがいないから、今日のショウコはボッチノコー♪……ふ、フヒ……
千鶴,……あの、レッスンまで時間がありますし、良かったら探すのを手伝いましょうか？
輝子,フヒッ！？……い、いいの？
千鶴,輝子さんのコンディションにも関わりますからね
輝子,あ、ありがとう……
千鶴,といっても、どこから探しましょうか
太田優,二人とも、話は聞かせてもらったよ☆
