柚・忍,私たちっ！ぱっつん同盟！
柚,というわけでっ！私たち2人はフリスクから抜けて活動するよっ♪
穂乃香,え？
あずき,それホントに！？忍ちゃん！？
忍,え、ええと…実はあたしもさっき柚ちゃんに一緒に言って♪と頼まれただけで…
あずき,つまりノリで言っただけ？
忍,うん。そだね
柚,がーんっ！忍ちゃん…ぱっつん同盟…やめちゃうの…？
忍,いや、そもそも同盟を組んだ覚えがないけどね
穂乃香,なるほど…柚ちゃんと忍ちゃんが抜けるというのであれば…私はあずきちゃんと新たにユニットを組むしかありませんね…
あずき,待って。穂乃香ちゃん。柚ちゃんの思いつき大作戦だから。コレ
穂乃香,和装ストレッチ…いえ。ぴにゃ金魚なんて名前は…
あずき,うんうん。過去を悔やまないで前向きなのはいいけどね。ユニット名にこだわらないで欲しいなぁ～
柚,和装ストレッチかぴにゃ金魚なら迷わず前者だねっ♪
忍,良さげなセンスと壊滅的なセンスとはっきりしてるから…実質一択だね…
柚,その点。あたしたちはぱっつんで決まりだから悩まずに済むね♪
忍,いやだから組んだ覚えはないし
柚,がーんっ！
忍,2度目はもうやめようねー。お仕置きチョーップ
柚,ぐえーっ。やられたっ♪
忍,はーい。よしよし
柚,チョップされたところを撫でられると癒されるなぁーっ♪
穂乃香,閃きました…ピニャコ・ストレッチなんてどうでしょう…！
忍,まだ考えてたのね
あずき,ていうか、あずきの要素ゼロになってるよー！
穂乃香,はっ！う、うっかりしてました…
柚,間をとってぱっつん・ストレッチにしよーよっ♪
あずき,あずき1人だけ仲間はずれは嫌だよっ！？
忍,じゃあ、和装ぱっつんぴにゃとか？
あずき,マスコットの別バージョンみたいだね。サトシ・ピ◯チュウみたいな
忍,駄目かー
柚,うーん…改めてユニット名を決めるって難しいよねっ
穂乃香,そうですね…覚えやすく、かつインパクトのある名前となると…
忍,いやいや。てか、なんでユニット名変更みたいな流れになってるわけ？
あずき,うん。フリルドスクエアのままでいいと思うよ。あたし。気に入ってるし
柚,いやいやっ。停滞とはすなわち後退。時代は常にイノベーションを求めているのさっ♪
穂乃香,変わらないものも大切な気はしますけど…
柚,穂乃香ちゃん甘いよっ！実際に変えるかどうかはともかく！考え続けることが大切だと柚は思うんだっ。なんたって今はアイドル戦国時代だしねっ
忍,口がよく回るねぇ
穂乃香,…確かに。柚ちゃんの言うことにも一理ありますね
あずき,うん。一理あるけど、柚ちゃん。暇だからテキトーなこと言ってるだけだと思うよ？
柚,はて♪
忍,まあでも、フリルドスクエアについて改めて考えてみるのもいいかもね
あずき,え？忍ちゃん。案外改名に乗り気？
忍,違うよ。改名には反対。絶対しない
あずき,じゃあ、どうして？
忍,んー…どう言えばいいかな。なんて言うか、その、やっぱこの名前が落ち着くなーみたいな話し合いも1度はしてみたいわけ
あずき,ごめん。よくわかんない
穂乃香,つまり。結論ありきの話し合いをしたいと言うわけですね
忍,そうそう
あずき,ちょっと難しいけど…なんとなくわかったよ。フリルドスクエアの良さを再確認したいんだね
忍,うん
柚,じゃあ、じゃあ！柚から質問っ♪
穂乃香,柚ちゃん。どうぞ
柚,わーい。穂乃香先生！フリルドスクエア、ってどういう意味なの？
穂乃香,意味…ですか
忍,あたし。考えたことなかったなー。プロデューサーに今日からこのユニット名ねって言われただけだし
穂乃香,恥ずかしながら私も…
忍,スクエアは正方形だよね
柚,四角っ♪
あずき,4人だからピッタリだね
柚,あれ？でも元々は忍ちゃんと穂乃香ちゃんのユニットだったんだよね？
忍,そう言えば2人の時からスクエアだったね
穂乃香,プロデューサーさん…もしかして英語わからないんじゃ…
あずき,ほーのかちゃん。さりげなくひどいこと言ってるよ～
忍,…じゃあ、プロデューサーが4人になることをあらかじめ…想定してたとか？
穂乃香,そうなんですかね？
柚,いやいや！これは運命だよっ！♪あたしたたは運命に導かれたのさっ♪
あずき,ドラ◯エみたいなこと言わないの
穂乃香,ふふふ♪でも、本当に運命だったとしたら素敵ですね♪
あずき,…そうだね♪
忍,スクエアの部分はそれでいっか
柚,じゃー、次っ。フリルド、は？
3人,…
柚,…みんな渋い顔してるね
あずき,待って。電子辞書で…と。ありゃ、フリルドは出てこないや…
忍,フリルならでてくるね
細い布の片側をギャザーまたはひだにして、他の側を波打たせたもの。切り替え線や縁の装飾とする。,－のついたスカート
柚,つまりどういうこと？
忍,ひらひらのフリル系の衣装が多いユニット、ってことじゃない？
柚,そういえばライブ衣装はフリフリのが多いねっ
穂乃香,なるほど。では、フリルドスクエアとはフリル衣装の4人組というわけですね
あずき,…そうなんだ？
忍,あずきちゃん。言いたいことはなんとなくわかる。正直、ピンとこないね
あずき,うん。ライブごとに衣装変わるし
柚,あずきちゃんは和装することも多いしねーっ
穂乃香,フリルドスクエアはフリルドスクエアです。意味を深く考えても仕方ありませんよ
忍,だね
柚,じゃっ。どんな名前にしよっか♪
忍,…え？いまのいい話っぽい流れで終わりじゃないの？
柚,イノベーションがまだ起きてないよっ
あずき,いや。いらないよ
穂乃香,そもそもイノベーション、とは？
柚,ほら。例えば、ぴにゃが突然DJをやり始めたような衝撃と同じだよっ♪
穂乃香,…！
柚,イノベーションとは、つまり感動なのですっ♪
穂乃香,なるほど…！
あずき,待って。柚ちゃん初めてDJぴにゃを見た時、あれはないよねっ♪って言ってなかった？
忍,言ってたね。悪意ゼロの満面の笑顔で言ってたね
柚,はて？
穂乃香,イノベーション…フリルドスクエアにもイノベーションを…感動を…
忍,穂乃香ちゃん。戻ってきて
柚,もーっ、みんなノリ悪いなーっ
忍,だってフリルドスクエアに愛着があるし
穂乃香,今さら変える部分もありませんし
あずき,柚ちゃんの暇つぶしだってわかってるし
3人,話し合いは終わりです
柚,ええ～っ。というわけで、ユニット名の変更を要求するーっ♪
P,待て。完全に今のままでいいの流れだったじゃないか
柚,ちっちっちっ。甘いなっ。少数派の意見を尊重することも大切なんだよっ♪
P,仮にそうだとしても少数派が偉そうに言うべきことじゃないと思うんだ
柚,控えめに言えばいいの？
P,いや。何も言わなくていい。せっかくのオフなんだから帰ってお休み
柚,つーまーんーなーいぃーっ！
P,ついに本音をさらけ出したな
柚,だって暇なんだモンっ
P,じゃあお医者さんごっこしようぜ。げへへ
柚,へっ、変態っ！
P,冗談だ
柚,誰かーっ。ポリスメーンっ！
P,はいはい。話に戻るぞ
