三村かな子,おはようございま～す
渋谷凛,ん、おはよ
かな子,あ、凛ちゃん！ちょうどよかった！
凛,？
かな子,ちょっと話したいことがあって……
凛,どうしたの？えっと……平均体重底上げ担当大臣さん？
かな子,どんな役職！？。いきなりひどいよ！？どうしたの凛ちゃん！
凛,就任おめでとう
かな子,就いてないよ……
凛,ちょっと話を戻すけどさ、食べ放題で元を取るにはもうレジの金を抜くしかないよね
かな子,そんな話してないよね！？
凛,やっぱり原価ってものがあるからさ
かな子,凛ちゃんなんかおかしいよ……！？
凛,怒ってる？てへぺろでごぜーます
かな子,ええ……
凛,で、どうしたの？
かな子,うん、私、この前動物と触れ合うロケをしたんだけど、その時のワンちゃんが可愛くて……
凛,うんうん
かな子,それから犬を飼ってみたいなって思ってるの
凛,なるほど、それで犬を飼ってる私ってことなんだ。いいよ、何でも聞いて
かな子,ありがとう！
凛,意外とみんな知らないんだけどさ、犬を飼ってるってちゃんと自治体に届け出れば、例えば私の区なら……確か毎月3460円まで飼育代として支給されるんだよ
かな子,へぇ～！知らなかった！
凛,これは、この前フランス人ハーフの友達から本当に聞いた作り話なんだ
かな子,ウソなの！？本当っぽいウソやめて！。あとその友達も誰だかわかっちゃうよ……
凛,私コンビニ行ってくるけど何かいる？
かな子,凛ちゃん！？ちょ、ちょっと待って！？
凛,あ、そこのホワイトボードの裏にたくさんお札が貼ってある
かな子,いきなり怖いこと言わないで！！！。たぶんそれ貼ったの小梅ちゃんだと思うし……！
凛,で？なんの話だっけ？
かな子,いやいや……犬を飼いたいって話だよ……
凛,ああ、犬の話か……しつこいな
かな子,しつこくはないよ！？1回しか言ってないのに……！
凛,やっぱ犬を飼うならアレが大事だよ、エサ
かな子,あー、なるほど……凛ちゃんの家はハナコにいつも何をあげてるの？
凛,ウチ？ウチはね……お湯の煮込みかな
かな子,それお湯じゃない！？
凛,そうとも言うね
かな子,ガリガリになっちゃうよ！？
凛,確かに
かな子,確かにって……
凛,あと、犬には食べさせちゃいけないものがあるんだよ
かな子,え、例えば？
凛,例えばね、チョコレート、アボカド、あと玉ねぎもダメだね
かな子,ええ？美味しいのになんで？
凛,犬がお腹を壊しちゃうんだって
かな子,へぇ～！そういうのを聞きたかったんだよ～
凛,そう？
かな子,じゃあ他にこれには気を付けた方がいいよっていうもの、何かある？
凛,あー、765のアイドルの方が芸歴にうるさい
かな子,関係ないよね！？
凛,すぐ怒るから
かな子,聞いたことないし……。犬のことを聞いてるんだよ……！？
凛,ああ、犬？犬の話をよくもまあ引っ張るね
かな子,引っ張ってないのに……！
凛,大した犬好きだねぇ！
かな子,言葉に棘があるよぉ……
凛,じゃあ大切なのはしつけ、芸を仕込んだ方がいいよ
かな子,ああ、お手、お座りとかかな？
凛,違う違う、もっとちゃんとした芸を仕込んだほうがいいよ
かな子,ええ……？……あ！フリスビー投げてキャッチさせるとか？
凛,違うんだよね……もっとハナコみたいにすごい！！！って言われるような芸を仕込まなきゃいけないんだよ
かな子,？？？……じゃあ、ハナコちゃんができる1番すごいことってなに？
凛,確定申告
かな子,すごっっっ！！！！。人間で手こずってるのに！？
凛,まあね、ちなみにアッキーもできるらしいよ
かな子,ええ……
凛,だから我が家はもう、税金関係は頭を下げてハナコにやってもらってるね
かな子,えええ……！？。飼い主が犬に頭を下げるって……凛ちゃんは恥ずかしくないの！？
凛,いやいや……“恥ずかしい”なんて感情があったら、全国ネットでチャイルドスモックは着れないよ
かな子,多方面を敵に回すのはやめよう！？
凛,子供の頃見たテレビの芸人に、まさか自分がなるとはね
かな子,アイドルだから！！！！！。もう！なんなのこの時間は！。凛ちゃんになんて相談しなければよかったよ！
凛,まあまあ、話の通じる相手じゃないんだから
かな子,それを自分で言うの！？
凛,落ち着いて、ね？
かな子,よく言えるね……
凛,ちょっと話を戻すんだけど、私がまだ駆け出しのプリキュアだった頃に
かな子,だからそんな話はしてなかったよ！？
凛,ｺﾞﾎｯ……
かな子,さっきからそのウソはなんなの！？
凛,ｺﾞﾎｯｺﾞﾎｯ……ｹﾞﾎｯ……
かな子,って……あれ？どうしたの？
凛,ここWi-Fi飛んでるね
かな子,わかるの！？
凛,この事務所は電波が強いね……
かな子,知らないよ！？。凛ちゃん！ふざけてるの！！？？
凛,ま、まあ、そんな怒んないでよ
かな子,怒るにきまってるでしょ！こっちは真剣なのに！
凛,ちょっと、その態度はなに？ケンカ売ってるの？
かな子,私だってたまには怒るよ！
凛,ふーん、おもしろいね、果たしてかな子ひとりでニュージェネの3人を倒せるかな？
かな子,何でニュージェネ巻き込んだの！？凛ちゃんだけに怒ってるの！！！
凛,もう、気分悪いな……
かな子,こっちのセリフだよ！
凛,もう顔覚えたからね
かな子,……え！？今！？。ずっとCPでやってきたのに！？。そんな適当なこと言ってると、ファンがいなくなっちゃうよ！
凛,それなら新しいファンを獲得するだけだよ！
かな子,そんなこと言って……！アテはあるの！？
凛,当たり前でしょ！
かな子,……
凛,……
かな子,……
凛,まあこれは賛否両論あるということで
かな子,もういいよ
