池袋晶葉,亜季さん大和亜季
奈緒,へ、へえー……
晶葉,正確には外用薬ではなく、内服薬になるんだが……これだ
奈緒,ふ、ふーん……
晶葉,……飲みたいのかな？
奈緒,ま、まっさかー！そ、そうじゃなくてさ、こっちのこの……これ、なんなんだ？
晶葉,む？これか。これは追尾型のレーザー照射式蚊取り機だ。夏から取り組んでいて先日完成したのだが、テストしようにも肝心の蚊がいなくてな
奈緒,……
晶葉,聞いているのかな？
奈緒,え？あ、ああ。聞いてる聞いてる
晶葉,そうか。蚊がいないのでどうしたものかと思っていて。最悪、夏までしまっておかなければ……
奈緒,……
晶葉,飲みたいなら飲んでみるか？
奈緒,え？い、いや、あたしには必要ないから！
晶葉,モニターとして協力してくれると助かるのだが……
奈緒,ほんとか！？い、いやー事務所の仲間を助けるためなら仕方ないかー。必要ないけど、しかたないなー
晶葉,……理想的なモニターだな
奈緒,え？なんか言った？
晶葉,いや別に。では飲んでもらうわけだが
奈緒,お！イチゴ味だ
晶葉,あ！
奈緒,え？
晶葉,もう飲んだのか？
奈緒,？ああ
晶葉,……それ、１０倍に希釈して服用してもらうつもりだったのだが……
奈緒,え？それってだ、大丈夫なのか！？
晶葉,身体に害はないはずだが……。なにか体調に変化は？
奈緒,別に……なんともない
晶葉,そうか。しかし何かあればすぐに知らせてほしい、なにしろ治験としては最初の人物なわけだから
奈緒,うん。わかった
北条加蓮,おはよう。あ、奈緒！
奈緒,おはよう。今日も加蓮、可愛いな
加蓮,え？
奈緒,いっつも思うんだけどさ、加蓮ってほんと綺麗だよな。あたしとは大違いで、線が細い印象があるのに
加蓮,……あ、ありがと
渋谷凛,おはよう、今日は寒いね
奈緒,凛、おはよう。凛の髪、ストレートで綺麗だよなー
凛,え？
奈緒,あたしには似合わないよなー
凛,なに？どうしたの？
加蓮,それがアタシにも……
晶葉,実はツンデレに効く薬、というのを飲んでもらってみていてだな
凛,え？なにそれ
加蓮,つまり奈緒は今、なんでもとっても素直な奈緒ってこと？
晶葉,そうなるな
加蓮,ふーん
奈緒,？なんだよ
加蓮,奈緒はさ、アタシのこと本当はどう思ってんのー？
奈緒,え？
凛,ちょっと加蓮！
加蓮,いいじゃない、ちょっと聞いてみたいし
奈緒,可愛いくてうらやましいって思ってる
加蓮,え？
奈緒,だから大好きだ
加蓮,////
奈緒,服装とか髪型とかオシャレでさ。ネイルもすごいし、うらやましいなーっていっつも思ってるんだ
加蓮,わ、わかった。わかったからちょっと……そ、そう素直に面と向かって褒められると、恥ずかしい////
凛,あ、じゃ、じゃあ、私は？
奈緒,凛も大好きだよ。あたし、凛みたいにはなれないなーって。美人で、クールで、でも優しくて
凛,ありがとう////
奈緒,年下なのに、時々すごい大人びて見えるんだよなー。ほんと凛は美人だよ
凛,奈緒には奈緒のいいところがあるよ。奈緒だって可愛いから
奈緒,ほんと！？嬉しいなー
加蓮,うん、素直な奈緒もいいじゃない
凛,なんだか新鮮
奈緒,なあ。あたしもさ、なんだか思ったことを素直に言えるっていい気分だなって
加蓮,うーん。いつものちょっと素直じゃない奈緒も可愛いけど
凛,うん。でもいつもは本心じゃないってわかってても、今日みたいに素直にちゃんと言ってくれる奈緒がいいよ
晶葉,ただ問題は、想定の十倍の濃度を服用しているという点だが
奈緒,心配してくれてありがとな。でも大丈夫みたいだ。効き過ぎても、こういう効果ならかえって嬉しいよ
晶葉,ふむ……しかし、なにか異常があれば知らせてくれ
奈緒,ああ。あたしもバカだな。もっと早く素直になれば良かったんだよ。恥ずかしがらずになんでも思ってる事をちゃんと言えるって、最高だ。もうずっと、このままでもいいかもな
凛,それはそれで残念
奈緒,え？
加蓮,素直じゃない奈緒も、可愛いもんねー！
奈緒,言ったな！
凛,ふふっ
Ｐ,おはよう、みんなそろってるな
加蓮,あ、おはよう
凛,今日もよろしくね、プロデューサー
奈緒,あー。やっぱ格好いいな、プロデューサー。……えっ！？
加蓮,え？
凛,あ！
Ｐ,……は？
奈緒,あ、いけない。つい本音が、今まで黙ってたのにさ……じゃなくて！あ、あたし////
Ｐ,おい、奈緒はどうしたんだ？
凛,それが……
加蓮,奈緒は今、ツンデレに効く薬っていうの飲んでて……
Ｐ,ツンデレに効く薬？
凛,今までは聞かれた事に素直に答えるだけだったんだけど……
加蓮,ほら、十倍の濃度を飲んでるって言ってたじゃない！
