佐久間まゆ,みなさんこんばんは。佐久間まゆです。
喜多日菜子,みなさんこんばんは。喜多日菜子です。
まゆ,この番組は、ドリームアウェイの二人がお送りする、愛と妄想が悪をつらぬくラブリーチャーミィなトークバラエティ番組です。
日菜子,日菜子はぎりぎりわかりますが、知らない人も多そうですねぇ。
まゆ,正直センスがいいかと言われるとちょっと・・・・。
日菜子,これはやはり次回以降の検討要素ですよ！
まゆ,さて、先日はドリームアウェイとして二人でお仕事をさせていただきました。
日菜子,ロワイヤルライブに来てくださったみなさんありがとうございますぅ。
まゆ,感想メールもお待ちしてますよ。
日菜子,今回はドリームアウェイという正式なユニットでのお仕事でしたねぇ。
まゆ,語尾が眠そうな二人っていうのは風評被害です。
日菜子,意外とまゆさんって語尾がのびてないんですよねぇ。
まゆ,日菜子ちゃんのゆるっとしたかんじ、かわいらしいですよ？
日菜子,むふふ。ありがとうございます。
まゆ,まゆは仙台、日菜子ちゃんは秋田出身ということで、偶然ですが東北出身ユニットになりましたね。
日菜子,そうですねぇ。ときどき地元が懐かしくなったります。
まゆ,日菜子ちゃんは東京にきて変わったことってありますか？
日菜子,やっぱり冬の生活ですかねぇ。雪がふらないのはありがたいです。寒いのは得意じゃないので・・・・。
まゆ,それはわかります。雪かきとは縁遠くなってしまいましたねぇ。
日菜子,あ、日菜子はもともと雪かきはあんまり・・・・。どんくさいのでお父さんとお兄ちゃんにお任せでした。
まゆ,あら、実はまゆも自分では・・・・。
日菜子,むふ。頼れる王子様はいませんかねぇ。
まゆ,それではメールの紹介です。沈黙の土下座さんからです。ありがとうございます。
日菜子,ありがとうございますぅ。
まゆ,まゆさん日菜子さんこんばんは。先日のことなのですが、久しぶりに観光目的で旅行に行ってきました。金沢へ一泊二日の旅だったのですが、まだ肌寒い時期だったこともあり、駐車場や道路の隅に雪が残っていたことが衝撃的でした。兼六園をぶらぶらしたり、市場でおいしい海鮮を食べたり充実した２日間でした。お二人はいってみたいところなどはありますか？とのことです。
日菜子,旅行ですかぁ。いいですねぇ。
まゆ,まゆたちもときどきお仕事で遠くへ行ったりしますが、たまにはお仕事なしで出かけるのもいいですね！
日菜子,そういえば修学旅行で沖縄に行ったような気がします。
まゆ,まゆも中学校の修学旅行は沖縄でした。やっぱり東北ですねぇ。
日菜子,沖縄いいですよねぇ。日差しの中、まぶしい太陽を背に王子様が・・・・むふふ
まゆ,ああ、今回はけっこう持ちこたえられたと思ったのに！。日菜子ちゃん！お仕事中です！帰ってきて！
日菜子,はっ！危ないところでした。
まゆ,どちらかと言えばアウトでした。
日菜子,そこはまゆさんと編集さんの力でセーフに・・・・！
まゆ,なりません。
日菜子,あうあう・・・・。気を付けます・・・・。
まゆ,ところで日菜子ちゃん、行ったような気がしますっていうのは？
日菜子,日菜子は１５歳なのですが、来年１５歳になって修学旅行に行く・・・・？今年の日菜子はもう修学旅行に行った・・・・？
まゆ,ごめんなさい。まゆが悪かったです。この話は終わりです。続いてのメールはこちらです。オリーブオイルの搾りかすさんからのメールです。ありがとうざいます。
日菜子,ありがとうございますぅ。
まゆ,まゆさん日菜子さんこんばんは。僕は来年受験を控える新受験生です。まだまだ実感はわきませんが、がんばらないとなーって気持ちはほんのちょびっとだけあります。お２人は学校の勉強は得意ですか？とのことです。あ、日菜子ちゃんの受験について触れるとりぼんぱわーで成敗しちゃいますね。
日菜子,世の中には触れてはいけないことが多いんですねぇ。
まゆ,日菜子ちゃんはお勉強はどうですか？
日菜子,勉強ですかぁ。日菜子はあんまり・・・・。集中して考えこんでると、ついつい妄想の方へ思考が・・・・。
まゆ,相性は悪そうですねぇ。
日菜子,１人でやってると全然なので、よく放課後に友達に見てもらってるんです。それで妄想に入ると現実に連れ戻してもらったり・・・・。
まゆ,うふふ、いいお友達ですね。
日菜子,まゆさんはお勉強が得意そうなイメージがありますねぇ。ノートもきっちりそうです。
まゆ,そう言ってもらえるのはうれしいですねぇ。
日菜子,まゆさんは日菜子にとってはお姉さん感があるんですよねぇ。だから予習復習をきっちりして、授業中もきっちりノートをとってそうなイメージなんですよねぇ。
まゆ,うう、ちょっと恥ずかしいですねぇ。でもたしかにノートはまじめにとってますよ？
日菜子,まゆさんのノート、とってもきれいそうです。日菜子のノートは・・・・やはり妄想と勉強は相いれないのです。
まゆ,逆にちょっと見てみたくなってきましたね、日菜子ちゃんのノート。
日菜子,まゆさんも妄想の世界へいかがですかぁ？
まゆ,うーん、考えておきますね・・・・。
日菜子,むふふ♪
まゆ,こんな王子様はいやだ！のコーナー！
日菜子,いぇい！
まゆ,このコーナーは、現代の王子様を追い求める妄想プリンセスである日菜子ちゃんでも、思わずこんな王子様はちょっと・・・・と遠慮したくなってしまう王子様を紹介するコーナーです。
日菜子,ああ、日菜子の王子様はどこなのでしょう・・・・。
まゆ,まゆの考えが正しければ、このコーナーでは見つからないでしょうねぇ。
日菜子,むむむぅ・・・・。
まゆ,最初の投稿は尻アスさんからです。ありがとうございます。
日菜子,ありがとうございますぅ。
まゆ,普段使っている消しゴムがキン肉マン消しゴムの王子様
日菜子,じ、じみな嫌さですねぇ。
まゆ,日菜子ちゃんあれ、実物見たことあります？たしか消しゴムとしての実用性っておそろしく低かった記憶があるんですよね。
日菜子,逆にまゆさんはいったいどこで見たんですかぁ？たぶん日菜子の兄さんなんかでも絶対に世代じゃないですけど・・・・。
まゆ,小さいときに親戚のおじさんの家で見たような・・・・。
日菜子,さて、次の投稿ですぅ。３馬鹿カルテットさんからです。ポテトはじゃがいもだから実質野菜という思考の王子様
まゆ,あー、います、たまにいますよぉ。じゃがいもは黄色の食べ物だということを知らないんでしょうねぇ。
日菜子,緑色ではないんですよねぇ。ってまゆさんめっちゃ懐かしいです。
まゆ,この思想は肥満一直線のはずなのになぜ体系が維持できるんでしょうか・・・・。やはり胸に・・・・。
日菜子,誰のことでしょうか？ギターをひく双子のお姉さん？
まゆ,日菜子ちゃんそれ世界線がちがいます！
日菜子,あ、アイドルなのは妹さんでしたね！
まゆ,世界線！
日菜子,日菜子としてはたくさん食べる人は好きですよ？。だらしない王子様はちょっと・・・・ですけど♪
まゆ,それではエンディングのコーナーです。
日菜子,番組へのメールは、欄外記載のメールアドレスか、番組ホームページの投稿フォームからお願いしますぅ。
まゆ,皆さんのちょっとした日常のこと、各コーナーへの投稿、お気軽にメールください。
日菜子,ユニットドリームアウェイについてのメールもお待ちしてますよぉ。
まゆ,ふぅ。今回も大きな事故なく乗り切れましたね。
日菜子,むふふぅ。まゆさんにはお世話になりっぱなしですぅ。
まゆ,まぁ日菜子ちゃんに頼られるのはいやじゃないですけど・・・・。
日菜子,頼りにしてますね、まゆおねーさん♪
まゆ,あらあら、家族が増えてしましましたねぇ。さて、メールを紹介しましょうか。
日菜子,円卓のナイトさんからです。ありがとうございます。
まゆ,ありがとうございます。
日菜子,大は小を兼ねると言いますが、僕は希少価値も大切だと思います。お２人はどう思いますか？。むふ？なんのことでしょう？
まゆ,そうですね、さっぱりわかりません。それとセクハラ構成作家さんにはあとでお話しがあります。次です、次。
日菜子,はいぃ。あ、これは構成作家さんからのメモですね。まゆさんは別に小さくないと思いますよ。あ、まゆさん、まだ番組は終わってないですよ！も、戻って・・・・！
まゆ,日菜子ちゃんはなしてください！あの変態はここで始末しないと・・・・！
日菜子,ひ、ひえ～。ぶっそうな・・・・。
まゆ,あ、いいお時間になりました。今週はここまでとなります。
日菜子,尺が余っていたら危険でした・・・・。
まゆ,うふっ。次回はきれいな放送にしましょうね。
日菜子,そ、それでは！
