塩見周子,18
きらり,うー……PちゃんPちゃん、きらりお腹ぺこぺこ……
P,え、まだ15時だぞ？昼飯ちゃんと食ったろ？
きらり,ご飯ちっちゃくて足りなかったにゃあ……
P,……まぁ野菜中心で少なめだったけど。なら言ってくれればよかったのに
きらり,せっかく京都来たからおしとやかなきらりでいこうと思ったんだにぃ……
きらい,でもおなかすいた……うーっ……
P,まぁ撮影も終わったし時間はあるけど……待てないか？
きらり,えー、がまんするのー？いつまでー？
P,出来れば夜まで
きらり,にょわ……それじゃお腹すいてきらりんぱわー出ないにぃ……。待てないからPちゃんがじがじすぅ！がじがじ！
P,おわ、やめろ、やめろ！。わかったわかった、どこか入ろう。我慢厳しいならおやつってことで、な？
きらり,うっきゃー！さっすがPちゃん☆。Pちゃんと一緒に美味しいもの食べて、一緒にいっぱいはぴはぴすぅ☆
P,軽くだぞ。軽く食べて軽くはぴはぴな。あと鹿せんべいはダメ
きらり,りょーかーいっ☆えっとね、えっとね、それじゃ……あ、ぜんざい！
P,あー、それくらいなら丁度いいな。多少腹持ちもいいし
きらり,にょわーっ☆きらりぜんざい好き☆甘くてふわふわでしゃーわせー☆。じゃあね、んー……そこのお店がいいっ☆
P,ん、アレか？まぁあんまり高くなければどこでもいいけど
きらり,うきゃー☆それじゃメニュー見てくるにぃ！
P,……………おしとやかは……？
きらり,Pちゃん、すっごい高い……
P,これは流石に出せん
きらり,うう……ぜんざい……
P,他見よう、まだ時間はあるし
きらり,にょわ……？
P,今うわって言ったぞ……しかもへいらっしゃーいって……。………え？
きらり,シューコちゃん！！おっすおーっす☆
周子,きらりんおーっす
P,え、周子？…あ、もしかしてここって？
周子,そそっ、あたしの実家。京都なんかで何してんの？旅行？
P,こいつの撮影
周子,あー、お仕事かぁ
きらり,ふふふー、きらり着物着ておしとやかでしょー？
周子,おー、いいねー♪似合ってるよ
P,周子は？里帰りか？
周子,そそっ、寄生…帰省中。だから看板娘やらされてんの
P,……ちゃんとやってんのか？
周子,え？あはは……まぁまぁ、かな？
P,…………
周子,いやー、にしてもすごい偶然だね。まさか地元で会うなんて
P,確かにな。こんな出くわし方するとは
周子,ね！オフでもPさんに会っちゃうなんて、なーんか嬉しー感じ！。あ、運命感じちゃったりしない？しない？
P,いや、しない
周子,ぶー。なにさー、つれないなー
きらり,でもシューコちゃんのおうちってすごいんだにぃ☆
P,あー、そうだな。和菓子屋とは聞いてたけど、こんな高級店だとは
周子,あ、それ嘘メニューだから。ホントはそんな高くないよ
きらり,ほぇ？メニューが嘘？
周子,そそ、というか普段はそもそもメニューなんてここ置かないし。それはあたしのお手製
P,は？
周子,あはは、接客面倒臭いからさ、ちょちょいっとね
きらり,にょわ………
P,…………お前……
周子,ま、いーじゃんいーじゃん！Pさんときらりんなら歓迎っ！。ほら一服したいなら入って入って！サービスするからさ♪。はい、ぜんざいのセットね。いっぱいおまけしといたよ
きらり,にょ、にょわーっ！！すっごい☆すっごい☆
P,これなんかいろいろ入りすぎじゃ……？いいのか？
周子,いーのいーの。きらりんに食べられた方がぜんざいも幸せだろうし。そもそも客来ないからさ、余っちゃって仕方ないんだよねー
P,それはお前の工作の結果だろ……親父さんにどやされるんじゃないのか
周子,大丈夫大丈夫、常連のじいさんたちはひとしきり来たし。愛想振り撒いて巻き上げといたから
P,……それでいいならいいんだけど
きらり,PちゃんPちゃん、食べていい？食べていい？
P,いいぞ。周子にお礼言いな
きらり,シューコちゃんありがとーっ☆いっただっきまーす☆
周子,はーい、召し上がれー♪。Pさんはお茶だけでいいの？何か出そっか……あ、この八ツ橋食べる？
P,いや、俺はこれだけでいいよ
周子,あら、それじゃあたしが食べよっと
P,美味いのか？
周子,んー、それなりだねー。八ツ橋ってなんかパッとしなくてダメだよね。なんでうちもこんなん作ってんのかな……
P,え……
周子,で、この後は？さっき言ってた撮影？
P,いや、それはもう終わった
周子,ありゃりゃ……見学しに抜け出せると思ったのに
P,……そんなにここで働くの嫌なのか
周子,だってつまんないし。親父がちょっと帰って来いって言うから来たらコレだよ、あたしゃー自由が欲しいよ
P,親父さんも心配してくれてんだろ
周子,もー、困っちゃうね…撮影終わったんならもう帰るの？
P,ああ、少なくともきらり達はこの後は帰京だな
周子,あ、他にも来てんだ。誰がいんの？
きらり,なおひゃんとひへりひゃんとひえひゃん☆
P,こら、食べるか喋るかにしなさい
きらり,ふぁい……。……………
周子,早く食べないと逃げるからね
きらり,！？………………
P,逃げないから落ち着いて食べなさい。周子も煽んな
周子,いやー、ついね？ごめんねきらりん
きらりん,………………
周子,で、帰りは新幹線？
P,いや、社長が飛行機取ってくれてるからきらり達はそっち。マイレージがなんとかって
周子,あれ、それじゃPさんは？
P,俺は明日の夕方今日のスタッフさんと打ち合わせがあってな。ホテルで一泊
周子,お仕事大変だねー。お疲れ様
P,ま、代わりにそれまでのんびりできるからな。観光でもするさ
周子,観光かぁ……あ、それじゃ今日はもう暇だったりする？
P,まぁ一応はな。あとはこいつら空港まで送って、その後ホテルにチェックインする予定
周子,なら夜ちょっと遊んでよ♪。久々に帰ってきたら昔の友達みんな働いてて遊んでくれないし、家いたら店番させられるしで暇で暇でさー
P,………
きらり,…………
周子,だから久しぶりにダーツでも、ねっ♪
P,…………
きらり,……………………にょわ
P,そうだな
周子,え？何？
P,いや、周子は逞しいなって
周子,ふふーん、これくらいじゃなきゃパラサイトはやってけないからね
P,パラサイトってお前もアイドルだろ…一応社会人だぞ
