商人曰く、,自分のチンポで自分の尻穴を突ける者はいない
ガヴリール,凄まじい貫通力でどんなものでも貫くちんぽ！！
ラフィエル,凄まじい防御力でどんなものでも防ぐ尻毛！！
ガヴリール,ついにこの日が来たな、ラフィエル
ラフィエル,そうですね……今日こそ決着をつけましょう。ガヴちゃん
ガヴリール,私が特殊訓練によって鍛えたチンポはどんなものでも貫く。それがたとえ穴でなかったとしても、ね。無敵だね。絶対に貫ける
ラフィエル,私の尻穴は絶対に貫けません。この尻毛が穴を守っている以上、何人たりとも踏み入ることはできません。最強です。絶対に貫けません
ガヴリール,このチンポで貫けないものはないだろうな。これが私のちんぽだ。可愛いって？そんなこと言えるのも今のうちだ。これが私のちんぽだ。今までいくつもの穴を貫いてきたよ。妹の穴すらも余裕で貫いた。黒人のチンポってでかいんだけど柔らかいから大したことないんだよね。私のちんぽは鋼鉄並みの硬さ。ちんぽで釘だって打てちゃうぞ。私のチンポ最大の武器はずばり右ねじの法則だ。私は擬似的に快感を脳内で作り出すことで射精しなくても回転天使力を維持できるようになった。それにより……私のちんぽの周りには天使力によりドリルのような回転力が生じる。このドリルチンポが私の無敵の貫通力を生む最大の武器だ！
タプリス,やめてください！！初めてがこんな形なんて嫌です！！
ガヴリール,安心しろ。ヤるのは後ろの穴だ
タプリス,そっちも嫌です！！！。むしろしてる人のほうがおかしいですよ！？。ひぃぃっ！？やめてくださいっ！！こういうことはっ……こういうことはっ、もっと……ちゃんとした場で……
ガヴリール,安心しろ。すぐ天国送りにしてやる。マラ細胞が……トップギアだぜ
タプリス,ひぃいいっ！？そんなのっ……死んじゃいますぅぅう！！
ガヴリール,死ぬほど気持ちいいぞ❤
タプリス,嫌ぁああああああああ！！！。お゛お゛お゛お゛っ！！！
ガヴリール,どうだ❤気持ちいいだろ❤
タプリス,と゛め゛て゛ぇ゛え゛え゛え゛え゛！！！。あ゛た゛ま゛お゛か゛し゛く゛な゛る゛ぅ゛う゛う゛う゛！！！
ガヴリール,ごめん❤止まらん❤
タプリス,んお゛❤お゛お゛っ❤お゛ぉぉぉぉ❤❤❤
ガヴリール,よーし出るぞ……ふんっ！！
タプリス,お゛っ❤お゛っへ゛ぇ゛え゛え゛え゛え゛❤❤❤❤
ガヴリール,ふぅ……だしただした❤
タプリス,……っ……っ
ガヴリール,おいタプリス、顔見せろ
タプリス,ん゛へぇっ……❤❤❤
ラフィエル,私の尻穴は、絶対に貫けません。この尻毛を突破することは不可能です。これが私の尻毛です。ちょ、ドン引きしないでください！。ひどいですっ。この尻毛で幾度となく侵入者を防いできました。あ、ちなみに大きい方をする時はこうやって……。道を確保します。ちょっと失礼じゃないですか？。何と言っても硬度です。私が身につけた尻毛は東海の雲に棲むと伝えられていた超級危険種の体毛、特に急所を守る体毛並の強靭さを誇ります。あまりにも剛毛、この世界に存在する全ての糸とは比べ物にならない強度を誇ります。よいしょっ❤
マルティエル,では行きます。……。次は……お嬢様のお尻を射抜けばいいのですね。……。おお……お見事
ラフィエル,あれ？今放ちました？すみません、まったく気づきませんでした
ガヴリール,アポカリプスペニスの力なら全てを貫ける
ラフィエル,勝てます。自信あります
ガヴリール,もう、徹底的にぶち犯す
ラフィエル,絶対に防ぎきります。どんとこいです
ガヴリール,そう言ってられるのも今のうちだぞ
ラフィエル,負けても恥じることはありません。尻毛に負けたと言っても私の尻毛は神の域に達していますから
マルティエル,ふぅ……慣れない口調は疲れますね
ラフィエル,もう少しですからがんばって下さい
マルティエル,はい
ラフィエル,ふふ、この程度のおちんちんでは……絶対に尻毛は突破できませんね
ガヴリール,っ❤。お前も……こんなクラッカーのあとの紙くずみたいな尻毛じゃ私のちんぽは阻めないぞ
ラフィエル,どちらが優れているか……やってみればわかりますよ
ガヴリール,だな。じゃあ……早速始めようか
ラフィエル,マルティエル
マルティエル,はっ
ラフィエル,ありがとう
ガヴリール,さて……始めようか❤
ラフィエル,どんとこいです❤
ガヴリール,泣き叫んでも後悔するなよ❤。いくぞ！
ラフィエル,どうぞ❤。ふふ、その程度ですか。まったく大したことないですね？
ガヴリール,……ッ
ラフィエル,なかなか進みませんね～？
ガヴリール,……
ラフィエル,ね？。！。……ッ
ガヴリール,……ッ。ッ！。くぅっ……！！
ラフィエル,ふふ、勝負ありですね
ガヴリール,……！
ラフィエル,そろそろ……終わらせてあげましょう。ガヴちゃんのドリルチンポ……その威力は褒めてあげます。ですが……。こんなもの、尻毛剃りにも使えませんね❤
ガヴリール,う、うぐぅぅぅ……！！
ラフィエル,さあ終わりです……ケツだけ歩き、ローリングサンダー！
ガヴリール,ふぐっ……ッチンポがっ……！！。ぎゃっ！！
ラフィエル,ふぅ……❤
ガヴリール,くっ……流石ラフィだ……
サターニャ,天界のほこたてだって
ヴィーネ,なにこれ
サターニャ,私達も魔界のほこたてに出演してほしいって依頼きてるんだけど
ヴィーネ,絶対断れ
サターニャ,はい
