ち●ろ,本当に人気マスコットキャラになりたいという気持ちで……胸がいっぱいなら……！。どこであれ土下座が出来る……！たとえそれが……。肉焦がし……骨焼く………鉄板の上でもっ…………！
ぴにゃこら太,ぴにゃあああああ
工藤忍,つまり……？
喜多見柚,こーいうコトでいいんだよね、Ｐサン！
穂乃香,
Ｐ,やめろお前ら、穂乃香が本気で俺たちを警戒してるだろ！
ちひろ,というか何でイメージ図が私なんですか柚ちゃん！？
穂乃香,……人形焼き、ですか？
Ｐ,ああ、こないだのグルメリポートが好評だったらしくてな。そこに穂乃香の趣味が耳に入ったらしく、コラボ企画を持ちかけられたわけだ
穂乃香,良かった、いじめられるぴにゃこら太はいなかったんですね……
忍,なんだ、そっちの焼きだったんだね
柚,どっちも鉄板を使うし、柚たちの予想も大体合ってたんじゃんＰサン！
Ｐ,お菓子作りと焼き土下座、天と地ほど違うわアホウが
柚,うあー、自慢のぱっつんヘアーがぁー♪
ちひろ,楽しそうですねぇ柚ちゃん
Ｐ,さて、今回の仕事だが移動式屋台での売り子とその後のミニライブがメインになる。穂乃香一人だと負担も大きいから、柚と忍にも参加してもらうが大丈夫か？
柚,おっけーＰサン、今度の柚は超売り子アイドルだよっ！
忍,学園祭みたいで楽しそう！でも、あのブサ……ぴにゃこら太ってそんな人気あるんだ
Ｐ,ブサイクとか言うなよ、雰囲気似てるって言われた俺が傷つくだろ……
穂乃香,…………ブサイクじゃないです、もん
全員,いじけてる穂乃香(ちゃん・さん)かわいい
柚,ところでＰサン、そのコの中身は何になるのカナ？
ちひろ,私が企画を聞いた時はそれぞれのアイドルにちなんだ味、でしたよね？
Ｐ,ああ、穂乃香がずんだあん、柚がゆずクリーム、忍がアップルカスタードになってるぞ
柚,わぉ、割と直球！
忍,変わりダネぞろいのメニューだね……
Ｐ,あずきの予定が空いてれば、あずき味も用意できたんだけどなー
穂乃香,そこで頑張らなくても……
Ｐ,まぁ百聞は一見にしかず、サンプルをもらったしとりあえず作ってみるか
穂乃香,……え、完成品じゃなくて自分で作るんですか？
Ｐ,そりゃ出来たての方が美味いからな……柚、俺が持ってきたリュックから材料と焼き型出してくれー
柚,ほいほい、この柚シェフにおまかせあれー♪
穂乃香,わぁ、ぴにゃこら太の型だ……！
忍,……というかＰさん、ずっとあの鉄板を背負ってきたの……？
ちひろ,プロデューサーの仕事って何でしたっけね……
Ｐ,という事で完成しましたぴにゃこら太焼き(各150円)
柚,おお、ホントにぴにゃこら太だー！
忍,謎のふてぶてしさもしっかり再現されてる……
ちひろ,しかし無駄に作るの手慣れてましたねぇ、Ｐさん
Ｐ,そりゃプロデューサーやってるからな、このくらいは出来ないと
全員,何の関係が……
Ｐ,ともかく、冷めないうちに食べちまうぞー
穂乃香,……美味しそう、でもこんなに似てるなんて……。すぐ食べてしまうのはかわいそうだし、いったい私はどうすれ…ば……？
忍,もぐもぐ
柚,ぱくぱく
Ｐ,がぶがぶ
ちひろ,うまうま
穂乃香,ぴにゃこら太ー！？。まったく皆さん、躊躇せずに食べるなんて！
Ｐ,出来たての方が美味いしなぁ
忍,それに、穂乃香ちゃんも今は普通に食べてるよね？
穂乃香,さ、最初の一歩が大事なんです！……ん、忍ちゃんの、美味しい……
