みく,じゃあ、Pチャン、ちひろさんお疲れさまにゃ
幸子,お疲れさまです
茜,お疲れさまでしたー！！！
心,はいはい、お疲れー。気を付けて帰れよ☆
ちひろ,お疲れさまでした。暗いので気を付けてくださいね
心,ふー……
ちひろ,お疲れ気味ですね
心,急に仕事増えたからね☆
ちひろ,あのライブ以降二倍とまではいかなくてもそれに近いですからね
心,いい加減裏方がはぁと達だけじゃ死ぬぞ☆
ちひろ,今月は丸一日休み取れるんですかね……
心,半休取れるだけマシと思ってた方がいいぞ
心、ちひろ,はぁ……
心,まぁ、お仕事増えるのは良いことなんだよね
ちひろ,ですね。前みたいにお金なくてひーひー言わなくて済みますし。心さんの曲を発注する余裕だってあるのに
心,無理無理。アイドル業まで手が回らない☆。プロデュースと事務作業だけで一杯一杯☆
ちひろ,ですよねぇ……
心,ま、落ち着くまでもうちょい我慢かな。もしくは人が増えるまで
ちひろ,増えるんですか？
心,はぁとに聞くな☆
心、ちひろ,はぁ……
心,っと、電話か。はいはい。あなたのはぁとをしゅがしゅがすうぃーと☆しゅがーはぁとだよぉ☆。はえ？
菜々,ですから！ナナは未成年じゃないです！
？？,だーかーらー。詳しい話は署で聞くから
心,お疲れさまでーす☆
菜々,はぁとちゃん～！
？？,ん？どちらさま？
心,えー、この人の上司、かな？。てか、どゆこと？
菜々,未成年と間違えられて……
心,ああ……。その袋の中身のせいで職質されてんのね
？？,未成年飲酒は法律違反！お姉さんは職務を全うしてる真面目な警察官なの
心,あー……。えっと、この人一応成人してます。私よりも年上です
？？,うそぉ！？その見た目で！？
菜々,お巡りさんだってそんな変わんないじゃないですか！
心,菜々先輩、身分証は？
菜々,よく行く酒屋さんなので……
心,年齢確認されないから持っていかなかったのか。なるほど。うーん、はぁとも菜々先輩の身分証明できるものなんも持ってないしなぁ……
？？,あー、もうわかったわ。お姉さんの職場を証明できるものでいいわ
心,じゃあ、名刺をどうぞ☆
？？,えーっとなになに……CGプロダクションっと……
菜々,なんとかなりそうですね……
心,地元でも念のため身分証くらい持ち歩いてください☆
菜々,はい……
？？,確認とれたわ。アイドル事務所の人なのね。どうりで綺麗な人だと思ったわ
心,やぁ～ん☆おまわりさんお世辞が上手だぞ☆
？？,お世辞じゃなくて本音よー？警察は嘘つかないんだぞ。それにしてもアイドルだったとはねー
菜々,ナナ、そんなにアイドルに見えないんですか……
心,髪ボサボサで芋ジャーの状態では無理☆
？？,いいわねー。華やかで楽しそうね
心,ん？興味ある？アイドルやっちゃう？
菜々,はぁとちゃん！？
？？,はいはい。大人をからかわないの
心,はぁとは本気だぞ☆
？？,ありがとね。でも、公務員って副業ダメなのよ
心,あー、そうなのか。そりゃ残念
？？,でも、スカウトされるなんてお姉さんもまだまだ捨てたもんじゃないわね！
心,うんうん☆余裕余裕☆
？？,っと、そろそろお仕事戻るわね。これ以上サボってると怒られるわ
菜々,う……。長々とすみませんでした……
？？,いいのよ。気にしないで。悪いのはこっちだし。それにどーせ応援で来てるだけだから、あたしにはここらの治安は関係ないし。じゃ、そういうことで。またね～
菜々,関係ないならなんでナナを職質したんですか……
心,ま、そういうこともあるある♪どんまい☆。～～♪
ちひろ,ご機嫌ですね
心,お仕事楽しいからね☆
ちひろ,ちょっと前ですと、こんなド平日の真っ昼間にお仕事なんてほとんどなかったですしね
心,そ☆今はほぼ毎日お仕事三昧☆。しかもちょっと前とちがってはぁとが営業行きまくってやっとじゃないし☆
ちひろ,オファーが来るってありがたいですよね
心,まぁな☆
ちひろ,で、オファーと言えばですが、765プロからラジオの公開録音のゲスト出演依頼が来てますよ
心,また春香ちゃん達の？
ちひろ,いえ、今度は響ちゃん達の方ですね
心,あー、あっちか。じゃあ芸人組じゃない方がいい感じか☆
ちひろ,そうですね。コーナーはネタっぽいですけど、割りと音楽に重点置いてますし
心,じゃあ楓ちゃんに行ってもらおう☆
ちひろ,それが無難ですかね？
心,貴音ちゃんともなんだかんだ気が合うでしょ☆楓ちゃんなら♪
ちひろ,幸子ちゃんとかみくちゃんだと圧倒されちゃいそうですしね。それに響ちゃんとなんとなくキャラ被ってますし
心,響ちゃんも弄られキャラだからなぁ☆。まぁ、心配なのは雪歩ちゃんが若干暴走しそうなところか☆
ちひろ,……きっと音無先輩がなんとかしておいてくれますよ
心,小鳥さんのせいでは？
ちひろ,……。一応、あの人も先輩なんで……。黙秘します
心,おい☆
ちひろ,まぁいいじゃないですか。とりあえず、楓さんが行くって765プロには伝えておきますね
心,よろしく☆
ちひろ,765主体ですし、今回はなにもしなくて良さそうですね
心,まぁ、トップアイドルの3人と元トップモデルの楓ちゃんだから警備だけはちょっと強化すべきかも
ちひろ,警察には話通してくれるはずですけど、念のため私の方でも手配しときますね
心,よろしく☆。っと、電話か☆。もしもしー？。はぁ？。おい、先日もこんな展開あったぞ☆
幸子,ですから！ボクはお仕事があったからここにですねぇ！
？？,はいはい。わかったわかった。で、学校どこ？
幸子,ですからぁ！
心,おいーっす☆
幸子,遅いですよ！プロデューサーさん！早く助けてください！
心,帰るぞ☆
幸子,ごめんなさい！お願いします、助けてください！
？？,あら？
心,お？
？？,あー、君が居るってことはこの子もアイドル？
心,そうです☆
幸子,だから言ってるじゃないですか！
？？,あっちゃー。ごめんねー。てっきり学校サボってるんだと思っちゃった
幸子,ボクを不良扱いしないでください！
心,いやいや、こいつがご迷惑をおかけしました☆申し訳ない☆
？？,こっちこそごめんね？お姉さんこれでも真面目だからさー。お仕事熱心なの
幸子,お仕事熱心の一言で善良なこのボクを職質しないで欲しいですね！
？？,いやいや、あなた確実に怪しかったからね？
心,わかる☆
幸子,ちょ！怪しいって！しかもわかる☆ってどういうことですか！
？？,だって
心,ねぇ？
幸子,なんですか！このカワイイボクのどこが怪しいんですか！
？？,目深に被った帽子、サングラス、マスク
心,尚且つどう見ても子供にしか見えない背丈
？？、心,怪しいわ
幸子,ふぎゃー！！
？？,ま、不良少女なければ問題ないわ。じゃあ、お姉さんはお仕事戻るわね
心,あら、戻っちゃいます？
？？,最近うちのクソ上司がうるさくてねー。こんなに真面目に仕事してるのに
幸子,ふんっ……どこが真面目ですか
