道明寺歌鈴,おはようございましゅっ！
歌鈴,って、ま、また噛んじゃった……うぅ……。部屋に誰もいなくてよかった……みんな笑って流してくれるけど、やっぱり恥ずかしいし……。今度、川島さんに噛まないコツとか、聞いてみようかな……？。えっと、今日の台本は……って、あれ？。机の上に……カメラ？。しかも、かなり本格的なやつです……！。なんでしたっけ……？いち……いちがんれふ……？。椿さんのカメラかな……？。……。……ち、ちょっとだけ……！。おお……けっこうズッシリ……！。軽く持ってるように見えたけど、カメラってけっこう重いんだ……！。……さっ！。……さっさっ！。あ～その表情いいねえ～！ちょっと目線ちょうだい！いいねー！。……。なにやってるんだろ私……。と、とにかく、ドジして落としちゃう前に元の場所に……。ゆっくり……ゆっくり……。わひゃあぁぁぁ！？！？！？。ああああああ。ま、まずいです！！！カメラを両手で持ってるから受け身が取れない……！いやいつも取れてないだろとか言わないでえええ！！！。な、なんとかソファの方に倒れれば……！！！。ふんんんん！！！。ひょえええええ。……。……ふぅ～。よかった……見ましたか今の！空中での華麗な方向転換！器用だったでしょ！。……ホントに器用な人はスマホの着信音にびっくりしてコケないよね。で、でも、こうしてカメラも無事だし、右手にカメラ！左手にレンズ！。……。……。……あれ？。……。……なんで分かれてりゅ……の？。……。……も。……もしか……して。……こ、壊しちゃ……った……！？。きゃぁぁぁーーーーー！！！！！。ど、どうしよう！？どうしょおう！？。歌鈴ピンチ！！！か、カメラが二つに！？。で、ででででも！も、もしかしたらこういう、カメラとレンズが分かれるタイプの最初っからそういうカメラのアレだったっていう可能性もあるかもだよね！？……ね！？。う、うん、確かこの前、椿さんが言ってたもん！レンズが高くてなかなか手が出せないって！。こ、これもきっと、そういう……。で、でも待って！その後に……最近はレンズと一体型になっているカメラも魅力的でって言ってたような……。こ、これがそのタイプだったら……！？。とにかく、どうにかして直さないと
高森藍子,おはようございます～
歌鈴,ひゃわほわあわああ！？！？！？！？
藍子,！？。か、歌鈴ちゃん……？
歌鈴,ひ、ひゃい！！！わらしはどうみょーじかりんでしゅ！！！
藍子,そ、それはわかりますけど……
歌鈴,あなたはあいこひゃんですか！？
藍子,そうですけど……
歌鈴,おげんきでしゅか！？
藍子,ど、どうしてこんな教科書の例文みたいなやりとりを……？
歌鈴,わたしはペンですか！？
藍子,ペンではないと思います……。と、とにかく落ち着いてください
歌鈴,ひゃい！
藍子,深呼吸をしましょう？そうすれば落ち着くはずですから♪
歌鈴,……
藍子,はい、吸って～
歌鈴,すぅー
藍子,吐いて～
歌鈴,はぁー
藍子,落ち着きましたか？
歌鈴,はっ、はい！
藍子,それなら良かったです♪
歌鈴,あ、ありがとうございます……！
藍子,いえいえ
歌鈴,藍子ちゃんはいつでも落ち着いててすごいなあ……。私みたいにコケちゃったり噛んじゃったりなんて見たことないし……
藍子,？
歌鈴,あっ、ご、ごめんなさい！それで、藍子ちゃんはこの部屋になにか用事が？。うん、私も藍子ちゃんみたいになれるように頑張ろう！
藍子,そうでした！歌鈴ちゃん、私のカメラ見ませんでしたか？
歌鈴,ひゃわほわあわわわわああああ！？！？！？！？
藍子,！？！？！？
歌鈴,こ、この後ろ手に隠しちゃったカメラ、も、ももももしかして藍子ちゃんの！？！？
藍子,あの～、歌鈴ちゃん？
歌鈴,ひ、ひゃい！！！わらしはどうみょーじかりんでしゅ！！！
藍子,それはさっき聞きましたけど……。聞こえてなかったのかな……？
歌鈴,かっかかカメラ！？
藍子,そ、そんなにびっくりすること……？
歌鈴,かっカメラって何ですか！？
藍子,その説明から入らないとダメ……！？
歌鈴,で、でもでも、まだ藍子ちゃんのカメラって決まったわけではないし……！い、いや、誰のであろうと壊したのなら正直に言わなきゃいけないのよ歌鈴！そ、そんなのはわかってるんですけどここここここころの準備が！！！。そもそも、藍子ちゃんのカメラはなんだかちっちゃくてカワイイ、えっと……トイカメラ？みたいなやつだったような！
藍子,初めて一眼レフを使うから、事務所で練習しようと思ってたんですけど……
歌鈴,うわーん確定ですよう！！！
藍子,歌鈴ちゃん、さっきからなんだか様子がおかしいような……
歌鈴,しょ、しょんにゃことにゃいでしゅ！！！
藍子,ネコさんかな……？
歌鈴,な、なんで誤魔化しちゃうの！正直に！正直に言わなきゃ！。え、えっと……！じ、実は……！
藍子,実は……？
歌鈴,さっき触ってたら壊してしまって……ごめんなさい！……よし、これでいこう！勇気を出して……！。さ……さっ……
藍子,さ？
歌鈴,さ……さっき……えっと……
藍子,？
歌鈴,さっき……！さ……
藍子,？？？
歌鈴,さっき！！！み、未央ちゃんが呼んでましたよ！藍子ちゃんを！
藍子,あ、そうなんですか？
歌鈴,歌鈴のバカ！！！！！。自分の罪を隠すばかりか未央ちゃんまで巻き込んで……！大馬鹿者です……！！！
藍子,じゃあ、ちょっと行ってきますね？カメラ、もしよかったら探しておいてくれると嬉しいです♪
歌鈴,あ、あう……
藍子,また後で来ますね
