星輝子,あ、はい。見ててすいません……
比奈,いやいや、輝子ちゃんではないっスよ
輝子,でも……わ、私とヒナさん以外、事務所にいませんよ……？
比奈,そんなことはないと思うんっスけど
輝子,もしかして、キノコですか。フヒヒ……そうですね、私としたことが親友を忘れるなんて
比奈,あー……さすがに菌類の視線は感じ取れないっスね
輝子,そ、そうですか。……キノコ
比奈,えっと、少し周りを見てほしいっス
輝子,周り？。――あ、プロデューサーが観葉植物の裏に。ぷ、プロデューサーですか
比奈,そうでス。なにをしてるんっスかね？
輝子,きっと、キノコの気持ちになろうとしてる……
比奈,もしそうだったら、ちょっと関係を考え直そうと思うっスよ
輝子,キノコ……
比奈,とりあえず、おびき寄せまスか
輝子,な、なんですか、それ……
比奈,煙草っスよ
輝子,煙草より……き、キノコの方が良いと思います……
比奈,キノコを咥えるのは、絵面的に勘弁してほしいっス。まあ、煙草ってのは冗談っスよ。本当はシガレットチョコでス。一本どうっスか
輝子,あ、ありがとうございます……フヒヒ
モバＰ,なにをしてるんだ、お前ら！
輝子,プロデューサーが、植木鉢をなぎ倒して走ってきた！？
比奈,こんにちわっス。プロデューサー
Ｐ,芸能界ではおはようございますだぞ――いや、そんなことはどうでも良い。お、お前、煙草って
輝子,プロデューサー、ち、違う
Ｐ,輝子もだ！比奈は二十歳だが、お前はまだ未成年なんだぞ？
輝子,す、すいません……
比奈,プロデューサー、これはチョコでスよ。シガレットチョコレート
Ｐ,……え、あ、本当だ。剥いたら茶色い
比奈,間抜けが見つかったっスね
Ｐ,血管は浮き出てないぞ
比奈,青筋は浮かんだっスよ？
Ｐ,驚いただけだ。怒ってない。悪かったな、輝子。びっくりしただろ？
輝子,フヒヒ……許すよ、親友だから
比奈,さてプロデューサー、聞きたいことがありまスよ
Ｐ,ん、なんだ？
比奈,なんで隠れてこっちを見てたんでスか
Ｐ,なにを言ってるんだ？俺は今事務所に来たばかりだよ
比奈,バレバレでスから、さっさと言ってほしいっス
Ｐ,……もしかして、見えてた？
比奈,どうして見えてないと思ってたんっスかね
Ｐ,息を止めてたし
輝子,息？
比奈,伝わり難いジョークっスよ
Ｐ,本当に深い理由は無いんだよ。比奈が勉三さんに似てるな、と思ったら体が勝手に
比奈,浪人した憶えはないっスけど
Ｐ,共通点は多いと思わないか
比奈,多くても嬉しくないっスよ
Ｐ,運転が下手だったりしない？
比奈,なんで勉三さんにこだわりを見せるんでスかね
輝子,あの、もしかして……ヒナさんの誕生日に関係があったり
比奈,え、ああ、そうえば今日だったっスね
Ｐ,――おいおい、よく分かったな
輝子,フヒヒ……キノコの気持ちは、て、手に取るように分かるから
Ｐ,比奈、俺はバカにされてるのか
比奈,どっちかっていうと、菌類つながりでコケにされてるっスよ
輝子,あ、いや、すいません……親友の間違いです……
Ｐ,ん？輝子が俺の傍まで寄って来た
輝子,……プロデューサーも、ひ、ヒナさんにプレゼントを渡すの？
Ｐ,そういう言い方ってことは、輝子もか
輝子,タイミングを見て、渡そうかと思ってて。……プロデューサーは、どうして隠れてたんですか
Ｐ,誰かに見られると照れ臭かったから、比奈が一人になるのを待ってたんだ
輝子,す、すいません、私が邪魔でしたね。フヒヒ、やっぱり私にはボッチがお似合い……
Ｐ,違う、違うぞ。今の発言にそんな他意は込めてない！
輝子,プロデューサー、わ、私はここにいて良いの？
Ｐ,もちろんだ。俺たちは親友だろ
輝子,……違います
Ｐ,え、そ、そんな
輝子,私とプロデューサーは――大親友だよ
Ｐ,輝子ぉ！
比奈,目の前で耳打ちし合ってたと思ったら、突然なんでスか
Ｐ,なんだよ、水を差すなよ浪人生
比奈,アニメでは合格してまスよ
輝子,ぷ、プロデューサー、プレゼントを渡さなきゃ
Ｐ,そうだった。改めて、比奈、誕生日おめでとう
比奈,今日は勉三さんの誕生日だったんでスね。知らなかったっスよ
Ｐ,すみませんでした
比奈,なにを謝っているナリか
Ｐ,悪かったよ、照れ臭かったんだ
比奈,……さすがに、勉三さん扱いされたら傷つくっスよ？
Ｐ,すまん。このプレゼントは、比奈をちゃんと女性として扱って選んだから、受け取ってくれ
比奈,ありがとうございまス。その、開けて良いっスか
Ｐ,どうぞ
比奈,ではでは。――香水、でスか
Ｐ,臭いが強すぎないものを選んでみたんだ
比奈,……プロデューサー、今から出かけないっスか
Ｐ,ん？構わんが、どこかに用があるのか
比奈,いえ、さっそくこの香水を使ってみようかと。せっかくだから、外に出たいんでスよ
Ｐ,おお、今からつけてくれるのか。そうなると、なんだかデートみたいだなぁ
比奈,そうっスね。デートみたいっス
Ｐ,それじゃ、行くか
比奈,はいっス
Ｐ,……あれ、なんか忘れてるような
輝子,プロデューサーとヒナさん、行っちゃった。プレゼント、渡せなかった。フヒヒ……キノコーキノコーボッチノコーホシショウコー
比奈,視線を感じるっス
Ｐ,念写でもされてるんじゃないか
比奈,吸血鬼はアタシじゃなくて、向こうっスよ
Ｐ,向こう？。――あ、輝子が観葉植物の裏に
輝子,遅れちゃったし、もっとタイミングを見て、渡さなきゃ
