モバＰ(以下Ｐ),何やってんのさりあむ
りあむ,ああＰサマ、ちょっとイイ感じの言い回しとか考えててさー。
モバＰ,イイ感じの言い回し……お前の場合のそういうのって、つまり
りあむ,流石はぼくのＰサマだね！折角だし協力してよ！
Ｐ,はいはい。でも皮肉や煽り風誉め言葉って、いざ面白いものを考えようとすると結構難しいんだぞ？
りあむ,あれ、なんかＰサマ真面目？
Ｐ,当たり前だろ。お前の炎上騒動が起こる度にお前の知らんところでどれだけ俺や皆が鎮火の為に苦労してると……
りあむ,……えー、何かそういうこと言われるとぼくちょっとやむんだけど
Ｐ,はいはい悪かったよ。でも考えるのが難しいのは事実なんだからな？。そもそもりあむはどんな感じの状況を想定しているのさ
]これでアイドルとかざっこｗｗｗｗｗｗみたいな書き込みに対して、ぼくが華麗に,無視しなさい。反応するな。我慢できないなら俺にログとって教えなさい。何度目だこの話するの
Ｐ,皮肉や煽りは話が成立することが要件なの。そもそも会話が成り立たない相手とやり合っちゃ絶対駄目！
りあむ,でもそれ言ったらぼくなんかよりも日本そのものが会話の通じない相手と延々とやめなさい又余計なトラブルになるから！
Ｐ,まあ良い、分かったからせめてそれっぽい言い回しを考えてあげれば良いんだろ？
りあむ,そういうことだよ？Ｐサマも分かってるんなら最初からおとなしくぼくの為に考えておけば良いのさ。
Ｐ,……お前から俺へのそういうのみたいに、本当は変に考えたりしなかったり、相手を煽ろうとか思わない方が良いフレーズとかが出てくるんだろうなきっと。褒めて千人悪口万人って諺があるんだよ。
りあむ,いきなりことわざとか言われても、何かＰサマいけすかないなあ。え、じゃあＰサマはぼくの良いところ1つに対して悪いところを10は知ってるってことになるの？。あれ、じゃあぼくの場合ってそもそもできないんじゃ
Ｐ,正直不本意だがそれは無い。それこそいるのか怪しいが何年も何百回も落第点を取り続けて反省や進歩の意思もなく、周囲からの指摘に逆ギレするような奴でもなければ大丈夫だし
りあむ,え、なにそれ怖い
Ｐ,りあむの場合これまで一緒になったりしてきたアイドルのみんなに、少なからず敬意や自分もこうしたいなって気持ち持ったりしたことあるだろ？
りあむ,そんなの当たり前じゃん。むしろぼくなんかがみんなと一緒に活動して大丈夫なのかって……
Ｐ,その辺は俺達が保証するし責任もとるから安心して……炎上してほしいわけではないんだけどなあ……。まあ結局は皮肉も利いてて面白い言い回しができるようになりたければ、精進しろってことだ。
りあむ,なんか随分唐突だなＰサマ！
Ｐ,お前の唐突っぷりに比べたら突の部分も凹んでるくらいだよ……ってごめん今のは無しで
りあむ,ん？ひょっとして上手いこと言おうとしたの？これはちょっとアウトじゃないか？
Ｐ,うん、言って自分でやべって思ったり、相手や第三者に解説されるようなのはとりあえず駄目だわ。本当すまん。……ところで何よこのディムウィットに富んでて面白いですねって言い回し
りあむ,いやー、ウィットに富むって良く言うから、それをいじってどうにかできないかなって
Ｐ,あのな、誰でも知ってる有名な言い回しはそもそもいじるのが難しいもんだぞ。あるならばすぐに調べて出てくるだろうし、間違ってもこんな表現は使ったら駄目だわ。
りあむ,そういうもんかな。
Ｐ,出された料理が不味かったときアンデリシャスな料理をごちそうさまでしたって言ったら皮肉になるか？不味かったとか実際に駄目だった部分を挙げる方が余程相手に良くも悪くも通じるぞ？
りあむ,うーん、そこまで駄目かー……やむ
Ｐ,まあ、こんなん使おうとせず別のもの考えとけ。機知に富んだ言い回しは割とみんなが憧れるもんだが、自分が利口だと思い込んで道を外れると、それこそ基地外になっちまうって寸法よ
りあむ,お、今のはきちにかけたのか。ちょっとはアリじゃないか？
Ｐ,結構そうやって言い回しに有りか無しかを迫るのも、煽りとしては効果的かもな。しかし基地外なんて文字も本当誰が生み出すんだかな。
