五十嵐響子,ふう……
響子,お部屋の掃除は、これくらいでいいかな……。そろそろお昼……せっかくのオフだし、何か新しいレシピでも試そうかな？。うーん……。あっ！。そうだ！確か今日から新しいお料理番組が始まるんだっけ！。もしかしたら面白いレシピを紹介するかもっ
島村卯月,テレビの前の！
小日向美穂,みなさん！
緒方智絵里,こんにちはっ！
3人,ピンキーキュートでーす！
響子,ええええええ！？。えっ！？し、新番組ってピンキーキュートの番組だったんですか！？
卯月,そうなんです！
響子,なんで返事してるんですか！？
卯月,じゃあ、タイトルコール、いきましょうかっ
美穂,うん！
智絵里,はい！
3人,ピンキーキュートの！ピンキー3時間クッキング～！
響子,尺！！！！！
美穂,す、すいません、間違えちゃいました！本当は"ピンキーお料理教室"でした……
響子,全然違うじゃないですか
卯月,美穂ちゃん、しっかりしてくださいっ
智絵里,そうですよ！
響子,3人で言ってたのになぜ美穂さんだけ……
卯月,次に間違えたら、この出刃包丁の錆ですからね！
響子,罪に対して罰が重すぎる
美穂,せ、せめて果物ナイフの錆に……！
響子,そこじゃなくて錆になることに反抗してください！！！。この番組、大丈夫なのかな……。で、でも、流石に危ない発言とかは、編集でどうにかしているはずだし……
智絵里,この番組は、生放送でお送りしていますっ
響子,詰んだ……
卯月,ちなみに2人とも、お料理は得意ですか？私は調理師、管理栄養士、野菜ソムリエの資格を持ってるので得意です！
響子,話題を振ったのかと思ったら自慢でした……
智絵里,じゃあわたしたちはいらないですねっ
響子,帰った！！！
美穂,ち、智絵里ちゃん！帰っちゃダメだよ！
卯月,さて、始まりました！島村卯月のお料理教室！
響子,勝手に冠番組にしてる！
美穂,卯月ちゃん！みほうづきのお料理教室でしょ！
響子,美穂さんが保身に走った！！！
智絵里,みほうづきのお料理教室つまらない低視聴率
響子,サジェスト汚染しないで！！！
美穂,で、ではここで、今日のメニューを発表します！
卯月,はい！今日は初回ということで、定番の家庭料理です！智絵里ちゃん、お願いします
響子,家庭料理……？ハンバーグとかカレーとかかな……？
