早坂美玲,おはよーございまーす
多田李衣菜,美玲ちゃあぁぁぁああん！！
美玲,うぇぇっ！？
李衣菜,お願いします！私にロックとは何なのかを教えてください！
美玲,ななななんだよッ急に！ビックリしたじゃん！
李衣菜,だって……だってぇ……
美玲,……なんで泣きながらこっち来たんだりーなは
李衣菜,だってね……こないだ新しく買ったギターの写真を見せたらプロデューサーが……。って、うわぁぁぁあん！！
美玲,それ、りーなが間違えただけじゃないのか……
李衣菜,美玲ちゃんって眼帯つけてるけど。歩くときに周り見えなかったり、邪魔にならないのかな？
美玲,そんなの！いつも付けて慣れてるから平気だし！
李衣菜,へー、案外大丈夫なものなんだ
美玲,ふふん！あ、喉かわいたからちょっと飲み物を―――。～～～ッッ！！
李衣菜,ちょっ、大丈夫！？おもいっきり足ぶつけたけど！
美玲,た、たまたまだから……っ！
李衣菜,ギターの、あの……なんか弾くのをピックと言います！
美玲,ふむふむ
李衣菜,またピックという言葉にはツメという意味もあります！
美玲,うんうん
李衣菜,そして今、美玲ちゃんが手に持っているのはツメですね？
美玲,そうだな
李衣菜,この三つから考えられる事はつまり……！
美玲,つまり……？
李衣菜,そのツメでギター弾いてみたいから貸してく
美玲,貸さないぞ。そういえば事務所に入った時に、少し李衣菜のことを紹介されたなー
李衣菜,そうだったの？紹介どんな感じだった？
美玲,たしかあいつロックロックうるさいけど気にするなよって
李衣菜,ひどくない！？誰だそんなこと言ったの！
美玲,プロデューサーとかだったけど
李衣菜,とか！？プロデューサー以外にも言ってたの！？。じゃじゃーん！どうだー！これが私のギターだ！
美玲,おー本物だー……でも本当に弾けるのか？
李衣菜,失礼な！なつきちに教えてもらったからちゃんと弾けるよ！
美玲,おお！
李衣菜,ふふふ、どう？今、私サイコーにロックな……
美玲,りーなっ！もう一回！もう一回さっきみたいに弾いて！
李衣菜,えっ！？えーっと……こ、こう？
美玲,わー……カッコいいなりーな……
李衣菜,そ、そこまで言ってもらえるとは……なんだか私も照れちゃうなぁ……はは。多分この辺に……あーあったあった
美玲,何探してるんだ？あ、それって……
李衣菜,そう！この前のライブで使ってた美玲ちゃん専用ヘッドホン！。いやー、こういうの見つけたら性能を確かめずにはいられなくってねー……。ってあれ、コードは？もしかしてワイヤレス？
美玲,それ作り物なんだよ。ちゃんと使えるやつじゃないぞ
李衣菜,えー！？せっかく2時間探して見つけたのに……
美玲,よくそんな探してられたな！
李衣菜,～～♪
美玲,りーな！ちょっとりーなっ！
李衣菜,ん？ああごめん！ヘッドホンしてたから聞こえなかった……どしたの？
美玲,いや、暑いからアイス買ってこようと思って声かけたんだけど……。ずっとそれ聴いてるしそれも少し気になって
李衣菜,これ？なつきちが私が好きそうなやつをって選んで入れてくれたんだー。美玲ちゃんも聴いてみる？
美玲,え？んー、じゃあちょっとだけ……。!!!。りーなっ！なんっ、これスゴい！カッコいい！
李衣菜,こんな一瞬で気に入ってくれたんだ……そっちもスゴいかも。あ、そうだ！美玲ちゃんアイスは？
美玲,ふんふん、ふんふん……
李衣菜,聴き入ってるなあ。まいっか、私がちょっと行って買って来ちゃおう！
美玲,あ、これで終わりか……。…………？。りーな？。りーなー？。りーいーなー！。……帰っちゃったのか？。…………。うっ……
李衣菜,アイス買って来たよー、ってうわぁ！どうしたの美玲ちゃん！
美玲,勝手にいなくなるなよばかぁっ……！
李衣菜,ごめん！まさか泣いちゃうとは思ってなくて……
美玲,あ、謝んなくていいって！りーなが悪いって訳じゃないし……。代わりにさっきの忘れてくれれば……
李衣菜,さっきのって？
美玲,その……泣いたの……
李衣菜,あーなるほど、恥ずかし
美玲,忘れろッ！！
李衣菜,お、オッケー！今ので全部忘れたよ！。まーいろいろスッキリしたことだし、早速アイス食べよっか！
美玲,行ってきてくれたんだ……あ、その前にこれ
李衣菜,ん？何？
美玲,プレイヤー。さっき聴き終わったから
李衣菜,美玲ちゃん、他にもなんか聴いた？
美玲,いや……聴いてないけど？
李衣菜,もし良かったら、も少し聴いててもいいよ？
美玲,え？でも……
李衣菜,他にもいっぱい入ってるし、さっきのも気に入ってたみたいだから。これでロック好きになってもらったら私がきっかけ、って感じでなんか嬉しいしね！選んだの私じゃないけど！
美玲,借りてもいいのか？りーなのヤツなのに……
李衣菜,もちろん！まあ美玲ちゃんが良かったらだけどね
美玲,……うん、じゃあもっと聴いてみる。ありがと、りーな！
李衣菜,ふっふっふー、どういたしまし……
美玲,あ、このアイス溶けてる
李衣菜,えっ、嘘！？。美玲ちゃぁぁあああん！！
美玲,また！？
李衣菜,またなんですよぉ……またプロデューサーがぁ……
美玲,今度は何があったんだよ……
李衣菜,あのね、どんなギターが好きなのかってプロデューサーと話してたら……。ってプロデューサーが！うわぁぁぁああん！
美玲,えっ
李衣菜,えっ？
