以前に書いた,水曜日のアイドルマスター
春香,さあ！始まりました！水曜日のアイドルマスター！レギュラー放送ですよ！レギュラー！
千早,まさかのレギュラー化ね
美希,今回もスタジオには765プロのアイドル全員とプロデューサー2名が揃ってるの！
亜美真美,いえーい！
律子,やっぱり私達いる必要あります？
P,律子は元アイドルだから良いけど、俺なんて完全に素人だからな
響,いや前回そうとう爪痕残してたとは思うぞ…
春香,前回は特別番組でしたが、今回からはレギュラー放送になりました！
千早,それに伴い、検証する説は毎回１つとなります
美希,前回は結構長かったから、今回は楽なの！
P,でも、毎週やるんだからどうなんだろうな
貴音,今回はどんな説なのでしょうか？
やよい,楽しみですねー！
真,もうターゲットになるのはやだなあ…
美希,前は地獄だったの…
あずさ,美希ちゃん可愛かったわよ～
雪歩,今日のプレゼンターは誰なのかな…？
春香,はい！今日のプレゼンターは……。双海姉妹です！
亜美真美,はーい！！
律子,2人でやるのね
P,2人はどんな説を持ってきたんだ？
亜美,んふふー。今回、亜美たちが持ってきた説はこれだヨ！
真,おお～！なかなか面白そう！
伊織,ホントね。確かにあんた達モノマネとか得意よね
響,でもいくらなんでも分かるんじゃ
千早,電話越しとはいえ、会話するわけだしね
春香,さっそくVTRの方行ってみましょうか！
美希,2人ともV振りお願いなの～
亜美真美,VTRスタートです!
P,そこは合わせろよ
全員,え？
春香,は？
伊織,バッカじゃないの！バッカじゃないの！
律子,あんた達～なんて事提案してくれてるのよ！
やよい,でもコレだと罰ゲームする人はもう分かってるんじゃ…？
P,いや。そうとは限らないぞ？
響,えっ？違うのか？
千早,そうね。だってこの検証ってバレなければって事だから、騙された本人はVTRを見るまで気づかないわ…
響,な、なるほど…
真,これは見るのが怖いね…
律子,VTR中でターゲットになった人は、結果を知っているから顔に出さないようにしましょうか
雪歩,ターゲットがこの企画の心当たりが無い時点で、騙されてるって気づいちゃいますからね
春香,千早ちゃんか～…
千早,……
美希,うーん…千早さんポーカーフェイスだから分からないの
P,さあどうなる？。うますぎるだろ…
伊織,よくこんなにすらっすら話せるわね…
真,これ目閉じてたら本当にただの春香と千早の世間話にしか聞こえない
響,ていうかカボチャのパウンドケーキとか地味に面倒くさいリクエストだぞ
千早,し、仕方ないじゃない！最初に思いついただけなんだからっ///
貴音,攻めてますね
響,攻めるな～
千早,内緒にしてね。って言ったでしょ！！！////
春香,ふふっwww
P,これは恥ずかしいな～
雪歩,これがもう罰ゲームなんじゃ…
貴音,電話が…
あずさ,終わっちゃったわね…
伊織,ため息ってあんたねwww
真,ため息もつきたくなるよね。だって千早だけは最初から結果知ってたわけだし…ww
律子,じゃ、じゃあ千早、BOXから1枚引いてくれる…？
千早,ハイ……
春香,元気出してwww
千早,はい？
春香,……ふふww
P,こ、れは……くっww
響,うわ～…嫌なの引いたなぁ
やよい,でも、アイドルらしくて良いと思います！
伊織,そうね。これなら簡単じゃない？
真,そりゃ伊織にとっては簡単だろうけど…
律子,珍しい千早が見れそうね
亜美,さあ！カメラに向かってどうぞ！
千早,えっ？も、もう！？
真美,3、2、1。ハイ！
千早,今日は…その……ずっと一緒にいよっ？////
響,誰かときめいた音がしたぞ！
春香,可愛い///
雪歩,可愛い///
真美,可愛い///
やよい,可愛いです///
伊織,あんたかい！
律子,いや～……千早が………
貴音,凄く魅力的でした
あずさ,可愛かったわよ？千早ちゃん
千早,もう…帰りたい……///
P,千早……今日はずっと一緒にいてやるぞ？
千早,結構です！！////
真,なんだろ…千早の意外な一面が見れたね…
千早,も、もういいからっ。次の人行って！///
P,次は響か
伊織,これは余裕で騙されるんじゃない？
響,……
律子,さすがに表情では分からないわね…
P,なんでだよwwwww
伊織,無理にもほどがあるでしょwww
真,どんな言い訳してるのさwww
春香,分かっちゃったかぁwwww
P,純粋すぎて可愛いなww
貴音,おそらくこの後の事でしょう。響が私に自分も練習したら瞬間移動できるかな？と聞いてきたのは。やっと謎が解決しました
伊織,子供かっwww
美希,練習ってwww
真,できるわけないwwww
響,あの時の貴音の何言ってんだコイツ…みたいな顔は今でも覚えてるぞ…
千早,ふふっwww
律子,み、見たかったその顔wwww
貴音,！！
雪歩,えっ？
あずさ,また？
春香,毎日！？
P,毎日かぁ……
美希,意外と寂しがり屋なの？
貴音,ちょ、ちょっと映像を止めてください！////
やよい,仲良しさんですね！
貴音,うぅ…///
響いつもは寝る前にかけてきて、,響が可愛くおやすみなさいと言ってくれないと眠れません
響,うがー！全然分かんなかったぞ！！
律子,気づくポイント多かったけどね
伊織,もうこれ貴音の罰ゲームなんじゃない？かなり恥ずかしい事バラされてるわよ？
真,うん。もういいんじゃないかな……僕もうお腹いっぱいだよ…
やよい,貴音さん可愛いですー！
あずさ,貴音ちゃんって意外と甘えん坊さんなのね～
貴音,うううう//////
P,この日は結局電話きたのか？
響,来た。しつこかったぞ
雪歩,ふふっw
貴音,は、はやく響の罰ゲームを！////
あずさ,今日は珍しい貴音ちゃんが見れるわねぇ
千早,そうね……じゃあ引いてくれるかしら？
響,なんかマシなので良かったぞ…
あずさ,響ちゃんの右隣ってことは
美希,貴音なの！
全員,おお～…
貴音,おお～…とは何ですかっ//
P,照れるな照れるなwww
貴音,て、てりぇてません！///
伊織,カミカミじゃない
春香,じゃあ響ちゃん、お願いします！
響,わ、分かったぞ！。貴音！。電話してくれるのは嬉しいけど、正直毎晩はキツい……
貴音,
伊織,ふふふっwwww
P,そ、そりゃそうだよなwwww
真,そ、そんなハッキリ……ww…言わなくてもww
律子,この罰ゲーム怖いわね……
美希,他の誰かも怪我する可能性があるってことが分かったの……
貴音,私、この企画キライです……
響,拗ねちゃった
貴音,拗ねてません
P,貴音、拗ねるなよww
伊織,わ、私！？。さ、さーて次は誰かしらね？
春香,次は律子さんか～
伊織,たしかに強敵ね
あずさ,私が電話した事になるのね～
律子,………
美希,例によって無表情なの
P,これが内心焦っているのかそうでないのか
あずさ,！。ち、違うのよ？///
P,何も違わなくありません
