名探偵,犯人はアナタです！
お前ら,おいおい……冗談はよしてくれよ。犯人はイケメンだって、そこの目撃者さんが言ってたじゃねぇか
目撃者女,そ、そうですよ！犯人は私好みのイケメンでした。そんなやつとは違います
お前ら,……
名探偵ぼく,彼はトリックを使ったんですよ。風呂に入るっていうトリックをね
お前ら,！？
名探偵ぼく,百聞は一見に如かず。実際に風呂に入ってもらいましょう
お前ら,ふ、風呂はさっき入ったからわざわざ入りなおす必要なんてないぜ
女目撃者,普通にくさいですよ
お前ら,……
名探偵ぼく,いいから、早く入りなさい
お前ら,……
女目撃者,……ﾁｯｻ
名探偵ぼく,……ふむ
お前ら,さ、さあ、風呂に入ったぜ！！これで何が分かるっていうだよ
名探偵ぼく,それでは風呂から上がってください
お前ら,！？
名探偵ぼく,どうしたんですか？もう風呂から上がって服を着てもいいですよ
女目撃者,……ったく粗末なものいつまでも見せんなよな
お前ら,……
女目撃者,……え？
名探偵ぼく,思ったとおりだ
女目撃者,え？…え？なんでイケメンになったの？
お前ら,……
名探偵ぼく,簡単なことですよ。これは風呂上がりイケメン効果です
お前ら,……ﾁｯ
名探偵ぼく,彼は風呂上がりにすぐ犯行を行い、わざと目撃されることで捜査を撹乱させたんです
お前ら,……なんで分かった？
名探偵ぼく,昨日、風呂上がりに鏡を見てピンときたんです。あなたでも風呂上がりにはイケメンになるんじゃないかってね
女目撃者,あ……どんどんブサイクに戻っていく
お前ら,……俺の負けか
名探偵ぼく,さあ、服を着てください
お前ら,最初は殺すつもり何てなかったんだ……イケメンになったらあいつに好かれると思っただけなんだ
名探偵ぼく,それでも罪は罪です。さあ、服を着てください
お前ら,……最後に一つだけ聞いてもいいか？
名探偵ぼく,なんですか？
お前ら,ブサイクが恋しちゃいけないのかな？
女目撃者,……ﾌﾟｯ(笑)
名探偵ぼく,ブサイクでも恋はしてもいいですが、何事も相手に強制しては駄目です
お前ら,ははは……俺は心までもブサイクだったってわけか
名探偵ぼく,さあ、服を着てください
