※このSSは,世にも奇妙な物語
のぞみ,ブンビーさん、お見舞いに来たよ♪
ブンビー,ああ、すまないね…お土産はそっちに置いてくれたまえ…
のぞみ,ブンビーさん大丈夫？過労で倒れたって聞いたから駆けつけたけど…
ブンビー,ああ…クライアス社からブンビーカンパニーに戻ったのはいいのだが、逆に今まで以上に部下からこき使われてしまってだな…
のぞみ,そうなんだ…結構大変なんだね…。…それにしてもセミの音うるさいなー
ブンビー,…ん？。辺りは緑一面…ここは何処だ…？。あれっ…向こうに何か建物が？。…不動産？……とりあえず…入ってみるか…
ニワトリ,ｺｹｺｯｺｰ
ブンビー,…っ！？
店主,…いらっしゃいませ。
ブンビー,ああ…どうも。
店主,どうぞ、お掛けになってください。
ブンビー,あの…ここは一体…？
店主,ああ、来世不動産です。
ブンビー,来世不動産？
店主,ええ。一つの人生の契約を終えた方に、次に生まれ変わる物件を紹介する場所です。
ブンビー,…物件？
店主,まあ要するに、魂が次に宿る体のことです。
ブンビー,なるほど…。ということは、私はもう、死んだという事でしょうか…？
店主,ええ…ご存知なかったですか。
ブンビー,いえ…その…
店主,実感がわかないわけですね…大丈夫です、皆さんそうおっしゃいますから。
ブンビー,は、はあ…。………。
店主,早速ですが…お客様、どのような物件をご希望で？
ブンビー,えっ？ああ、そうですね…
店主,分かりますよ…一生モノですからね、皆さん悩まれます。
ブンビー,そうですね…私は前世が一応怪人でしたが、生まれ変わるなら普通の人間が良いですねえ。
店主,なるほど…普通の人間をご希望で。
ブンビー,えっ…人間じゃない場合もあるんですか…？
店主,ええ、もちろんありますよ。特に人間の場合は人気がありますので、ご希望の場合はそれなりに前世での行いが良くないとなかなか難しいんですよ。
ブンビー,前世での行い…？
店主,ええ、お客様の前世での行いを足し引きして、人生のトータルポイントを出すんです。それによって選べる来世が決まります。
ブンビー,なるほど…良く出来てますね…
店主,こちらのパソコンにですね、お客様の名前と生年月日を入力すると、お客様の前世での行いが全て出てきます。
ブンビー,…全部ですか？
店主,ええ、お客様の前世での行いが、ここに全てデータとして記録されているんです。早速お調べいたしますね。…お待たせしました、こちらです。
ブンビー,…ほほう。
店主,こちらのリストには、お客様が生前行なったすべての事柄とその回数が記載されています。
ブンビー,事柄と回数？
店主,ええ、お客様が生前おこなった良い行いも悪い行いも普通の行いも、もれなく記録されているんです。例えばこちらの30,665という数字、こちらはお客様が生前顔を洗った回数ですね。
ブンビー,すごいですね…私そんなに顔洗いましたでしょうか…。あっ、そうだ…この358という数字は何ですか？
店主,あっ、こちらはお客様がポイ捨てをした回数ですね。
ブンビー,…ポイ捨て？…私そんなにしていましたか？
