泰葉,岡崎泰葉の、オープニングトーク。とりとめのない話。周囲で犬を飼っている子って多くて……あ、もちろん事務所にはあまり入れないようにしているみたいですけど。渋谷凛ちゃん。ご存知の方も多いですよね、ニュージェネレーションズやトライアドプリムスの。凛ちゃんの飼ってるのがハナコってわんちゃんなんですけど。そのハナコちゃんが、最近おなかをさわらせてくれるようになったんです。ふふっ。デビュー特別企画、目指せ！シンデレラNO.1！。デビューしたての新人アイドルが、明日のトップアイドルを目指してアイドル力をアップするべく精一杯頑張る番組。目指せ！シンデレラNO.1！皆さんこんにちは。パーソナリティーを務めさせていただきます、岡崎泰葉です。一アイドルとして、これまでに担当してきた方々に負けないよう、楽しく頑張ります。では改めて自己紹介をさせていただきますね。岡崎泰葉。歳は16、長崎県出身の高校１年生です。趣味はドールハウスの制作を。細かい作業が多いんですけど、そうして集中している時が落ち着くんですよね。時間がある時でないと出来ませんが、趣味に割く時間が無いっていうのが嬉しいんです。ふふっ、不思議な話ですね。特訓、思い出トークで昨日の自分自身と向き合おう。昨日あった思い出についてトークをして自分自身を見つめ直し、自分の魅力を再発見するコーナーです。では、事務所であったことをお話しますね。同じ事務所に所属するアイドルって、人数が多いものだから趣味もそれだけ多彩なんです。お菓子作りや写真撮影、お喋りそのものが趣味だ、なんて子もいて。私、プライベートでの写真が殆ど無いのが悩みなんですけど、以前それを事務所の方に話したんですね。そしたら、どこで聞いたのやら毎日何かある度にみんなで写真を撮ろうと必ず一人は言い出すようになっちゃったんです。女の子ばかりですから、噂が広まるのも早いんですね。アルバムがぱんぱんになっちゃいました。実はアイドルになるずっと以前から芸能のお仕事をさせて貰っていたんですが……だからプライベートの写真が少ないんですね。あの頃は忙しくて何も出来ない、なんて言っていたんですけど、贅沢な話だと思います。今は頂いたお仕事の一つ一つが、かけがえのない大切な思い出ですから。友達とお喋りすることや、人に頼ることを覚えて。心に余裕が出来たと言ったらいいんでしょうか。これも、長くお仕事を続けているからかもしれませんね。ふふっ。そうして、写真の分だけの思い出と、これまでは思い出だなんて思ってなかったお仕事の記憶も全部積み重なっていっちゃって。一つでも忘れちゃうのが怖いくらいです。あ、これでは自分の魅力に繋がりませんね。こんなミスも、これまでなら絶対しないように気を付けたのですが……。楽しすぎて仕事すら忘れちゃったうっかりさんなんてオチが付いた、ということで。ふふっ、当たり前ですね。すみません、なんだか本当に楽しくって。？合格、ですか？えっと、何が……。え、自然な笑顔……？。…………あう……。……こほん。えー、先程はお見苦しい所を。改めまして、次のコーナーに参ります。レッスン、演技力を磨け！アドリブシチュエーション！。このコーナーでは、アイドル活動に必要な演技力を身に付ける為に、用意されたお題のシチュエーションに合わせてアドリブで演技に挑戦します。これでも、演技は専門の分野なんです。期待に応えられるよう精一杯やりますね。お題はこちら。あの、これって人のキャラ――ではなくて、えっと……。……はい、ウサミン星人は実在する宇宙人だから大丈夫ですか？。わ、分かりました。では……。どうでしょう？。え、ためらいが無い？当然です、お仕事ですから手は抜きません。ふふっ、演技には全力ですからね。わーっ！再生は無しです！やめて！。やめてください！。と、撮れ高充分ですか……。色々やってきましたけど、こんな仕事は複数の意味で初めてです……。とにかく！もう合格ですよね！？。やめて！。エンディングです。まさか、こんな事が起こるなんて思いもしませんでした。でも、終えてみれば新鮮で良い経験だったと思います。これからも、様々な仕事に挑戦出来るよう精進しますね。もちろん、プライベートも。それでは最後のコーナーになりました、普通の言葉に魔法をかけてかわいく言っちゃおうシンデレラワードです。またお会い出来るといいですね、バイバイ！
アーニャ,ﾏｴｶﾜ･･･ﾏｲ･･･ﾌﾚﾝﾄﾞ･･･
のあ,みく、諦めなさい
みく,みくは嫌いにゃあ！アイツは仲間でも何でも無いにゃぁあああ！！
アーニャ,みく……酷いです……
みく,ちちち、違うにゃ！これはそういう台本であって、あーにゃんの事がキライとかそんなんじゃあ……！
のあ,踏むなみかんをォ！！
みく,なんで続行してるにゃ！？
P,何すかアレ
ちひろ,新年会でコントやるんですって。プロデューサーさんは何をするんですか？
P,どぶろっくのもしかしてだけどを
ちひろ,シャレになんねえ
