モバＰ,以降Ｐ表記。もう慣れましたぁ
Ｐ,………。…。ガンブレ新作決定か…ヤベェなこれ。プロデューサーやってる場合じゃねぇぞこれ。…。…。……。暇だなぁ。デスクワークは終わってるし営業はアッキーが行ってくれてるし千川は常務とガンプラ買いに行ったし…。…アイドルのみんなも絶賛仕事中だし。……帰っちゃ駄目かな？。ネットサーフィンも飽きたし…せめて他に誰か来てくれればなぁ。…事務所の掃除でも…あっ駄目だ。五十嵐クリーニングがピッカピカにしてるわ。仮眠室で昼寝…あっ駄目だ。愛海を簀巻にするのに布団使ってるんだった。…本当に帰っちまおうかな、もう
幸子,カワイイボク、参上！
Ｐ,あ、オモチャが来た
幸子,おはようございます。おやプロデューサーさんだけなんですか？って言うか今何て言いました
Ｐ,おはよう幸子。出会い頭に畳みかけてくるなぁ
幸子,何だか暇そうにしてますねえ。アイドル事務所として大丈夫なんですか？
Ｐ,心配ご無用。暇してるのは俺だけだから
幸子,働いてくださいよ
Ｐ,働いた後なんだよ。やる事無くてもう帰っちまおうかと思ってたところに丁度オモチャが来てだね
幸子,今度は聞き逃しませんでしたよ！オモチャと言いましたね？今ボクをオモチャと言いましたね！？
Ｐ,幸子こそ暇なのか？今日はオフの筈だろ。なんで事務所に来てんの？
幸子,そんな事もわからないんですか？まったくダメダメなプロデューサーさんですねえ
Ｐ,暇なんだな
幸子,そんな訳無いでしょう！日々世界中にカワイサを振り撒いているボクですよ！
Ｐ,ある意味もうヘレンより幸子のほうが世界レベルだよなぁ
幸子,そんなボクがお休みで事務所に来ない。そうなると一体この事務所はどうなると思います？
Ｐ,どうなんの？
幸子,ボクというカワイイの権化、カワイイの化身を欠いた事務所は圧倒的カワイイ不足に陥ります
Ｐ,壮大
幸子,ボクというカワイイ太陽を失った事務所はみるみるうちに衰退してしまい、ボクというカワイイ道標を失った皆さんはたちまち進むべき道を見失ってしまいます
Ｐ,ちょっと何言ってるのかわかんないんですけど
幸子,ボクがオフを取ってしまいカワイイボクに会えなくなるのは可哀想なのでこうしてわざわざカワイイ成分をお届けに来た次第です！
Ｐ,輿水は今後オフはいらない…と
幸子,ちょ
Ｐ,要は輝子とか小梅とか普段の遊び相手が仕事で退屈だし寂しいから構ってもらいに来たんだろ？あったかいものどうぞ
幸子,人をまるで構ってちゃんのように言うのはやめてくれませんか？あったかいものどうも
Ｐ,まぁ丁度俺も手持無沙汰だったし。チッヒもいない事だし遊んであげよう
幸子,何でプロデューサーさんが上から目線なんですか。ここはボクの遊び相手をさせてもらえる事を涙を流して感謝する場面ですよ？
Ｐ,梨沙パパ今暇かな
幸子,嘘です冗談です遊びに来ました構ってください
Ｐ,お前さん周りの目が無いと結構素直だよね。でも遊ぶって何するよ。モンハン？
幸子,ボク今日ＰＳＰ持ってきていませんよ…と言うかコミュニケーション手段モンハンしかないんですか
Ｐ,失礼な。マリオカートもあるぞ
幸子,プロデューサーさんレースより妨害工作に熱込めるから嫌です
Ｐ,ワガママだなぁ…あ、幸子頭に何かついてるぞ
幸子,えっ？どこですか？
Ｐ,待て待て。やってやるから
幸子,取れました？
Ｐ,よし、こんなもんか
幸子,何がついてたんですか？
Ｐ,髪の毛
幸子,そりゃ生えてますよ！。ってあぁ！ボクのチャームポイント横ハネがペッタンコにされてる！？
Ｐ,横ッハネ無くなるとモブ臭凄いな幸子
幸子,日本が生んだ世界に誇るカワイイを捕まえてモブと！？
Ｐ,はいはい元に戻してやるってばよ。後ろ向いてみ？
幸子,…そんな事言って、どうせ変な髪形にする気なんじゃないですか？
Ｐ,この髪の長さじゃあんまり面白いのは出来ないよ
幸子,する気は満々なんじゃないですか！
Ｐ,ほい、出来た
幸子,早っ。相変わらず無駄に技能持ってますよね…。って、横ハネ４枚になってる！？
Ｐ,ハハッ、４枚羽ならぬ４枚ハネだな
幸子,ボクカワ！
Ｐ,油断している鳩尾に１４歳の拳が！
幸子,まったくもう！まったくもうったらもう！
Ｐ,ごふ…日頃無茶なロケで鍛えられている幸子のボディブロー…
