透華,このSSは松実姉妹の平凡な日常を淡々と描くものですわ。過度な期待はしないでくださいまし！
玄,Zzz・・・
宥,玄ちゃーん、朝だよー、起きてー
玄,んんっ・・・あと5分・・・
宥,玄ちゃんー、起きてー
玄,んんっ・・・Zzz
宥,玄ちゃんってば
玄,ふぁぁ・・・
宥,もう朝ご飯出来てるよ？
玄,Zzz・・・
宥,玄ちゃーん
玄,あっ・・・おねーちゃん、おはよー
宥,あっ、やっと起きた
玄,おやすみなさーい・・・Zzz
宥,玄ちゃん、今起きたばっかりだよ？
玄,んん・・・お布団から出たくないのですー・・・
宥,もー・・・私みたいなこと言わないでよ、玄ちゃん
玄,だって眠いんだもーん
宥,もー・・・こうなったら
玄,・・・ひゃっ！何するのおねーちゃん！？
宥,玄ちゃんをだっこして、リビングに連れていくの・・・
玄,おねーちゃん・・・。すっごくプルプルしてる・・・。おねーちゃん？重いんでしょ？
宥,だっ・・・大丈夫・・・
玄,絶対嘘だ。今すぐ降りたいけど、私が動いたらおねーちゃんが危なそうだし・・・
宥,玄ちゃんが・・・起きないせいだからね・・・
玄,おねーちゃんってば、結構頑固だからね
宥,もっ・・・もうちょっと・・・
玄,頑張ってねおねーちゃん
玄宥,あっ
憧,玄ー、宥姉ー、向かいに来たわよー
穏乃,一緒に学校行きましょう！
玄宥,・・・
穏乃,えっ？
憧,・・・朝っぱらから何やってんの？
カガヤイテ～ココイチバン～～♪,OP
玄,今日はちょっと遅れちゃったや。急いで部室に行かなきゃ、きっとみんな待っててくれてるだろうし。あっ、やっぱりみんなもう集まってる
穏乃,へー、灼さんもおもち好きなんですね
玄,！！
灼,うん、結構好き
玄,灼ちゃんもおもちが・・・！！
灼,二つくらいならぺろりだね
玄,！？。おっ、おもちを二つも！？ぺろりと！？
灼,穏乃はどうなの？
穏乃,私も好きですよー！
玄,しずちゃんも！？
灼,穏乃はどのくらい？
穏乃,三つくらいいくときもありますよ、最高記録は四つです！
玄,おっ、おっ、おもちを四つも・・・
灼,そんなにたくさん、大丈夫なの？
穏乃,だって止まらなくなるんですもん！
玄,おもち中毒・・・私だけじゃ無かったんだ・・・
穏乃,灼さんは、甘いのとしょっぱいのだったらどっちが好きですか？
玄,味！？そんなマニアックなレベルまで・・・
灼,甘いのかな、甘くてあったかいおもちを頂くのが・・・
玄,ふむふむ、灼ちゃんなかなかできるね
穏乃,おもちって案外飽きないんですよね、種類も結構多いし
玄,そうなんだよねー、おもちって大きさももちろんだけどハリとか艶とか・・・
穏乃,灼さんは・・
玄,ん・・・話がよく聞こえないや・・・
穏乃灼,・・・
玄,なんて言ってるの・・・
憧,・・・
玄,・・・って、もうちょっと大きい声で話してくれないかな・・・
憧,・・・玄？
玄,せっかくのおもち話が・・・
憧,ねえ、玄？玄ってば？
玄,！？
憧,なにやってるの？
玄,・・・憧・・・ちゃん。・・・見てたの？
憧,そりゃぁ、部室の前であんなごそごそやってたら目立つわよ。何してるの？早く中入りましょう
玄,！？。待って憧ちゃん！今中に入ったら・・・
穏乃,あっ、憧と玄さん
灼,遅かったね二人とも
憧,んー、ちょーっと用事がね
穏乃,宥さんは？
灼,宥さんは今日来れないって連絡もらってる、今年受験生だし色々あるみたい
穏乃,そっかー、大変だなー3年生は
玄,・・・
灼,・・・どうしたの玄？
憧,あっ、実はねさっき玄が・・・
玄,なんでもない！なんでもないよ！！
穏乃灼,？
憧,ちょっとなにするのよ玄！
玄,それより早く部活始めよう！4人なら人数もちょうどだし！
灼,えっ・・・あ、そうだね
穏乃,どうしたんだろ玄さん？
憧,・・・それにしても、しずと灼さんの二人ってのも珍しい組み合わせよね
穏乃,そうかな？
憧,私たちが来るまで何してたの？二人とも気まずくて、黙りこくってたんじゃなーい？
灼,あれ？もしかして憧ったらやきもち？
憧,ちっ、違うわよ！！
穏乃,色々しゃべってたよ、麻雀の話とかおもちの話とか
玄,！？
憧,おもちの話？
穏乃,うん、どんなおもちが好きですか？って
玄,しずちゃん・・・本当におもちが好きなんだね・・・
憧,なんでまたそんな話を・・・
穏乃,憧も好きでしょ？おもち
憧,そりゃ嫌いじゃないけど・・・
玄,憧ちゃんも！？
灼,おいしいよね、焼きもちとか
玄,えっ！？おもちを焼く！？
穏乃,私は煮もちにきなこをかけるのが好きなんだよねー
玄,煮る！？きなこ！？
憧,私はベタにお汁粉かな
玄,お汁粉・・・？もしかして・・・。みんなの言ってるおもちって・・・お餅？
咲,お邪魔します
玄,あっ、咲ちゃんいらっしゃーい
咲,玄さん、・・・宥さんは？
玄,おねーちゃんは今お買い物に行ってるよ
咲,そうですか・・・、じゃああの着替えさせてもらってもいいですか？
玄,はいはい、そっちの部屋使っていいよー
咲,じゃあ失礼します
玄,・・・。彼女の名前は宮永咲ちゃん、ここ最近よく家に来るようになりました。なんでそうなったか置いといて、彼女は今おねーちゃんに非常になついています。なんでも、理想のお姉さんというものをおねーちゃんに見てるそうです。でまぁそれはいいんですけど、ちょっとそれ以外でめんどくさいことになってまして・・・
咲,あっ、ありがとうございました
玄,咲ちゃんは阿知賀麻雀クラブにいた、小学生ってことになっています。ほんと似合うね咲ちゃん、本当に小学生みたい
咲,やめてください・・・私一応高校生です・・・
玄,その姿で言われても・・・。じゃあとりあえずリビング行こっか
咲,はい
