早坂美玲,疲れた……アイドルってあんなこともやんなきゃいけないのか……
美玲,でも……意外と面白かったし、終わった後アイツも褒めて……。って違う！別にアイツは関係ないだろ！。お、面白かったのは少しだけだし！アイドルしてるのだって仕方なくだし……。ん、誰もいないのか。まあ、一人のほうが気楽だしな……。……。……。……がおー
市原仁奈,ただいま帰りやがりました！
美玲,うわぁあッ！？
仁奈,わっ！。なんでごぜーますか！ビックリしやがりました！
美玲,ななな何だお前！
仁奈,え？仁奈は仁奈ですよ。おねーさんは誰でごぜーますか？
美玲,ウ、ウチ？ウチのことは別にいいだろ！
仁奈,それは聞けねー相談ってやつです！おねーさんも言いやがらないとずりーですよ！
美玲,み……美玲だよ！これでいいだろ！？
仁奈,はい！これでおあいこでごぜーます！
美玲,本当に何なんだよオマエ、いきなり入ってきて……。それに話し方おかしいだろ！やがるとかごぜーますとか！
仁奈,おかしくねーと思いますよ？すげー丁寧な敬語です！
美玲,敬語なのにやがるとか言うのか？
仁奈,そこが仁奈の敬語の一番大切なポイントでやがります
美玲,どう聞いても口悪いだろ……
仁奈,それにしてもおねーさん……
美玲,な、何だよ。ジロジロ見るなよ
仁奈,ピンととがった耳……。大きなするどい爪……。真っ赤な血で汚れた体……。もしかして……！。に、仁奈を食べやがるつもりですか！？
美玲,はぁ！？。ちょっと待て！本当に何言って……
仁奈,ここまで何匹もの動物を食べてきて……。今度はヒツジの仁奈を狙ってやがるんですね！？
美玲,いや違うし……てか、これはウチの服なんだけど
仁奈,それならこっちにも考えがあるですよ！ちょっと待っててくだせー！
美玲,何だアイツ……
仁奈,お待たせしやがりました！！
美玲,別に待って……って何それ、犬？
仁奈,イヌじゃねーですよ！仁奈はオオカミでごぜーます！。今の仁奈はさっきの仁奈とは一味ちげーですよ……
美玲,着ぐるみ着替えただけじゃんか。それ以外に変わってないだろ？
仁奈,あめーですよおねーさん。今の仁奈は中身がちげーんでやがります！
美玲,中身って……
仁奈,仁奈オオカミはとーってもワイルドで怖えーんですよ。これならおねーさんにも負けねーでごぜーます！
美玲,ウチは勝負してる気ないんだけど……
仁奈,逃がさねーですよ！がおーっ！
美玲,うるさいなぁ……
仁奈,おねーさんもワイルドなら一緒にやってくだせー！がおーっ！
美玲,だから別にウチは……
仁奈,がおーっ！
美玲,……
仁奈,がおーっ！！
美玲,……がおー
仁奈,もっと大きくですよ！がおーっ！！
美玲,うぅ……がおー！
仁奈,がおーーっ！！
美玲,がおーっ！！
仁奈,がおぉーっ！！
Ｐ,すまん美玲！少し遅れて……
美玲,がおぉ……ぅ？
Ｐ,お？
美玲,うぁ……あ……！
Ｐ,なんだ美玲、仁奈と遊んでくれてたのか？
仁奈,ちげーです！仁奈は今対決してるのでごぜーますよ！
Ｐ,おお、そうなのか。いやー美玲にも結構お姉さんな部分があるぶふぅっ！？
美玲,うわああぁぁーっ！！
仁奈,おねーさん、どこに行きやがりますかー？
Ｐ,待っ……なんで腹……ぐふっ
ちひろ,きゃああ！！プロデューサーさんどうしたんですか！？
