新庄アキオ,５５
食堂の隅にある液晶テレビの画面には、何かのバラエティー番組が映っている。番組のタイトルは,日本中がビビる夏2018
テロップ,新庄アキオ５５
新庄,これは本物の心霊写真の可能性が高いですね。どう見ても幽霊が写っていると考えていいでしょう
サラリーマンA,ケッ、なぁにが心霊写真だ！こんなの作りものに決まってるだろう！
サラリーマンB,言うまでもないさ！あれはわざと騙されて楽しむための番組なんだからな
サラリーマンC,そうとも！要するに、昔のナントカ探検隊みたいなもんだよなぁ！
サラリーマンA、B、C,ギャハハハ！！
雑誌ラーを開く喪黒。喪黒が見ているページは新庄アキオの連載,本当にあった怖い話
新庄,これが来月号の原稿です
編集者,ありがとうございます。先生の連載はいつも読んでも面白いですよ
新庄,いやぁ、自分が興味あることを執筆するのは楽しいですから
喪黒,新庄アキオさん……、ですね？
新庄,うわっ！！び、びっくりしたっ！！
喪黒,ラーの先生の連載、愛読していますよ。毎号毎号、読み応えがあります
新庄,い、いやぁ……、それはどうも……
喪黒,昨日の番組での先生の解説も、なかなか分かりやすくて面白かったですよ
新庄,そ、そうですか……。だが、あの番組構成は私にはちょっと不満がありまして……
喪黒,無理もありませんよ……。先生はもともとプロの放送作家なのですから
新庄,ええ……。私ならもっと番組の内容をしっかりしたものにできるんですが……
喪黒,それに、先生は誰よりもオカルトにお詳しいですからね
新庄,はい。オカルトは私の大好物といってもいいくらいです
喪黒,実はですね……。そんな先生にいい話があるんですが……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
BAR,魔の巣
喪黒,新庄先生は、放送作家として数々の有名なバラエティー番組を手掛けてきたお方……
新庄,はい。オカルトは私が特に興味ある分野でしたから……。だから怪奇番組を作るのは楽しかったですね
喪黒,ですが……。先生はここのところ、放送作家の仕事を控えているようですなぁ
新庄,仕事を控えているというよりむしろ、放送作家としての仕事がなくなったと言った方がいいでしょう
喪黒,どういうことです？
新庄,ほら……。今から10年前に放送されていたアウラの奇跡……
喪黒,ああ、アウラの奇跡ですか……。スピリチュアルブームの一角を担ったあの番組……
新庄,あれの放送作家は私でした
喪黒,確か、アウラの奇跡は……。週刊誌でヤラセ疑惑が報道され、番組打ち切りに追い込まれていますね
新庄,ええ、その通りですよ。アウラの奇跡のヤラセ疑惑の影響で、私は放送作家としての仕事を失いました
喪黒,その後、先生は………。オカルト系のライターや評論家としての活動が多くなり、今に至っている……
新庄,はい。オカルト系の番組を手掛けてきた私の実績を、雑誌ラーの編集者が買ってくれたのです
喪黒,それだけじゃないでしょう。先生はオカルトが大好物と公言されているお方……
