時刻は夜11時を過ぎている。一般的には遅い時間だ。何が送られてきたのかはわからないが、送ってくる相手も,もしかしたらもう寝てるかもしれない
向日葵,…………。……？。は……はぁ……？？？
最後に書かれた,おやすみ
まずそもそも、これは本当に櫻子が打ち込んだメッセージなのだろうか。そこからして私の頭には疑問符が浮かんでいた。あの子からはいつも、,宿題の答えおしえて
誰かに送り間違えた？……と思ったが、ご丁寧に最初に,向日葵へ
向日葵,……このメッセージで言うわけには、いかないんですの？。なんなんですのよ……話したいことって……
さっきまであったはずの眠気は、とうにどこかへ吹き飛んでいた。もう一度メッセージをよく読んで、最後の,おやすみ
私はもぞもぞとベッドに戻って、櫻子が言う,話さなきゃいけないこと
ぼーっとしていて、どこを見てるのかわからなくて、体調でも悪いのかと気にかけても、私には,大丈夫
向日葵,あれは……何のため？。もしかして……本当に、遠くに行っちゃうんですの？。最後くらいは、って気持ちで、優しくしてくれてたんですの……？
櫻子,おっ、おはよう！！///
向日葵,…………。…………
櫻子,おっ、おはようっつってんじゃん！なんか言えよ！！
向日葵,お…………はよ、ございます
櫻子,はいっ！おはよっ！
向日葵,えっ、ど、どうしたんですの！？
櫻子,はぁ！？
向日葵,なんか変ですわよあなた！その、なんか……なんか変ですわよ！
櫻子,へっ、変じゃないだろ別に！櫻子様はいつもこのくらい爽やかだろ！
向日葵,いやいやいや、絶対変ですって！やっぱり昨日のLINEが……
櫻子,ああ～～～～～っっ！！？おい！それダメって言ったよな！？昨日のLINEについて何も質問しちゃダメって言ったよな！？///
向日葵,いや、だっておかしいんですもの！絶対、あなた変ですもの！！
櫻子,変でもなんでもダメーっ！！その話は絶対にしちゃダメ！約束守れよ！
向日葵,約束ったって、あなたが勝手に送りつけてきたくせに……
櫻子,だぁぁーーーっ！！うるさいうるさいうるさーい！！。あだっ
向日葵,あっ、おはようございますっ
撫子,おはよ。こんなところでケンカしてないで、早く学校行きな
櫻子,け、ケンカはしてないもん……！
撫子,なんでもいいから。遅刻するよ
向日葵,そ、そうですわね
櫻子,ほらっ。行くぞ
撫子,あ……櫻子
櫻子,ん？
撫子,あんた……もしかして、送ったの？
向日葵,あ
櫻子,あああぁぁ～～～ねーちゃんまで！！だからその話はしないでよ！なんの意味もなくなっちゃうじゃんっ！！///
撫子,うっわぁ……全然隠せてないけど……ま、いっか
向日葵,な、撫子さんも知ってるんですの？
撫子,ん、まぁ……
櫻子,おーい！！変なこと話すな話すな！ねーちゃん早く学校行きなよ！遅刻するよ！
撫子,うるさいな……ともかく送ったんだね。じゃあ頑張んなよ
櫻子,頑張んなとかも言わなくていいのーー！！
向日葵,…………
櫻子,……ほらっ、行くぞ向日葵！私たちも遅刻しちゃう
向日葵,ええ
明日の夕方に待ち受けている,それ
どう考えても話すべきは昨日のLINEのことなのだが……それに触れると櫻子はかんしゃくを起こしたように真っ赤になって怒る。書いてあったルールを守れということなのだろう。櫻子もずっと,そのことだけは話すな
しかもどうやら、昨日の内容は撫子さんも把握していたようだ。私に送るメッセージをなんで撫子さんが……最後に言った,頑張んなよ
低血圧を振り切って、私は脳内コンピュータを懸命に働かせた。櫻子の,話さなきゃいけないこと
櫻子,……な、なんなのさっきから……あんまこっち見ないでくれる？///
向日葵,あ
これを,話さなきゃいけないこと
向日葵,櫻子……
どちらが先に動き出すかはわからなかった。私は,なるようになる
最後の,おやすみ
向日葵,ありがとう……櫻子。あら、吉川さん、赤座さん
あかり,実はあかりたち、ずっと向日葵ちゃんたちの後ろにいたんだけどねっ？なかなか話しかけられなくって
ちなつ,二人の様子がいつもと違うような気がしたから……もしかして、また喧嘩でもしたの？
向日葵,ふふ、そう言われると思いましたわ。あっ……。もしかして……それでその日を選んだんですの？。夏休みを……晴れ晴れとした気持ちで過ごしたいから？。……たぶん、そうなんでしょうね
西垣,……ってなわけで、ここの答えはどうなるかわかるな？古谷
向日葵,…………
西垣,……おや、珍しいな。まさか古谷まで、もう休み気分なのか？
あかり,向日葵ちゃん、呼ばれてる呼ばれてる……！
向日葵,ひあぁっ、は、はい！
西垣,さあ、ここの答えは
向日葵,え……わかりません
西垣,おいおい、適当言うな。確か古谷はこの問題を正解した数少ない生徒のうちの一人だったはずだが？
向日葵,う……
西垣,たとえ答えがわかっていたって、寝てていいわけじゃない。授業なんだからきちんと聞くように
向日葵,す、すみません……///
千歳,不要なものは処分してしまわんとなぁ。捨てていいプリント類は会長がまとめておいてくれたみたいやで
綾乃,一回ゴミ捨て行きましょうか。私はたまった古紙を持つから、千歳はゴミ袋お願い
千歳,りょーかい
櫻子,あっ、私！私行きます！
綾乃,え？
千歳,んん、ありがたいけど、こっちはうちらで大丈夫やで？
櫻子,いやいや、それ重そうだし！私こう見えて力あるんで！むしろ一人で全部持てますよ！
綾乃,これを一人は無理よ……大室さんは窓の拭き掃除やっちゃって？まだ途中でしょ？
櫻子,あぅ……
綾乃,帰ってきたら私たちも手伝うから。それじゃ行ってくるわね
向日葵,…………
櫻子,…………
向日葵,……櫻子
櫻子,なっ、なに
向日葵,……なんでもない
櫻子,な、なんでもないなら話しかけないでよ！
向日葵,なんで怒ってるんですの？
櫻子,怒ってないよ！
向日葵,あ、それマジックリンじゃなくてアルコールスプレーですわよ
櫻子,……まちがえた
向日葵,はい、こっち
櫻子,……うん
向日葵,…………
櫻子,…………
向日葵,…………
櫻子,…………
向日葵,……あの、櫻子
櫻子,なに
