森久保乃々,あぶないあぶない！小さな灯火どころかお家が吹っ飛ぶんですけどっ！？
柑奈,寒さも寂しさも都会の孤独も全部吹っ飛ばしていきましょう！物理で！。そう！破壊と再生は表裏一体！……一体？
南条光,主人公のライバルみたいだ！かっこいい！
柑奈,はいっ！
光,うんっ！。ここＰの机だけど
乃々,……地主はもりくぼです。たまにまゆさん達にも貸し出します
P,おいっ！？
ちひろ,あっ。こら。収録中ですよ！
P,ろぐぼっ！？
光,……ちひろさん、注射器で何を
ちひろ,試作品のエナドリ注射です♪
柑奈,ともあれ！今回の公開録音は、ここ、モバＰ机からお送りします！。有浦柑奈のォォォォォォ、ピースフルゥゥゥゥッッレディオォォォォォッッ↑↑↑！
乃々,うるさい！それはもういいんですけど！
光,口調口調
乃々,……つい
柑奈,ピスレは私、パーソナリティ有浦柑奈がアシスタントの光ちゃんと一緒にお送りする、ラブ&ピースなラジオ番組です！
光,です！
柑奈,公開録音の予約をしていたホワイトハウスと大統領に急な予定が入ったので、今回はモバＰ机からお送りします！
乃々,グレードダウン著しいんですけど！
柑奈,ゲストも米大統領と北◯◯◯軍様から、急遽変更して、日本机連盟副会長にして森林セラピストにして引き篭もり対策評論家の森久保乃々ちゃんをお迎えしてお送りします！
光,せっかく肇さんゲストからの陶芸家人間国宝のお祖父さん、そこから大臣や総理経ての海外VIPゲスト回だったのにね！。うん？あ。メールだ。……露の大統領さんは都合つきそうだって
柑奈,あ。ちょうどいいところにアッキーちゃん見っけ
乃々,あげちゃダメですよ？相手が愛犬家だからって勝手に優さんの飼い犬をあげちゃダメなんですけど！？
柑奈,……来たら膝の上に乗せて可愛がってもらうだけですよ？
乃々,間がありましたし目をそらしましたし、どの道、アッキーさんストレス半端ないんですけどっ！？
光,はい、ではここで一旦CMでーす！
乃々,スポンサーの偏り！
桃華,ふぅ……。ではお疲れ様ですわ
乃々,えっ？桃華さん？急に現れて……もう帰るんですか！？
桃華,ええ、次の予定がありますので
柑奈,いつもありがとう！
光,ありがとうっ！
乃々,いつも！？もしかしていつもこの提供読み上げるためだけに呼び出してるんですかっ？
柑奈,うん。なんか成り行きで
光,ノーギャラで
乃々,録音で使い回したらよくないですか！？
光,……なるほど、その手が……！
柑奈,……発想の転換ですね！
桃華,やはり天才でしたか……
乃々,ええぇ……。桃華さんも……断わればいいのに……
桃華,Ｐちゃまのお願いは断れませんわ！
乃々,健気！
桃華,では次は芽衣子さんの旅番組の提供を読み上げてきますわ！
P,…………
ちひろ,…………
柑奈,ラブピメーーールのコーナー！。ではＰＮ"きの子"さんから
乃々,ちょっと待って下さい。ラジオネームじゃなくて……ＰＮ(ペンネーム)なんですか？
光,机の下から鋭いツッコミ！
柑奈,はいっ。けど実はペンネームじゃなくて、ピースフルネームの略なんです！
乃々,……なるぼの
光,斬新な相槌だっ！？
乃々,おかしいおかしい。色々おかしいんですけどっ！？
光,えっ？
柑奈,……どこが？
乃々,その"深紅の絆"さんに心当たりがある上に、早くも放送事故の予感が漂う出だしの上に、さり気なくＰＮ"きの子"さんのお便りが読まれること無くスルーされてるんですけどっ！？
光,丁寧なツッコミだ……！
柑奈,きの子さんからはメールでぼののさん頑張れ……生きろ……とだけだったので。けど、よくよく考えたらこれはこれでお友達を心配する、なかなかのラブに溢れた一通ですね！よし、きの子さん、100点！
光,100点出ましたーっ
乃々,判定ガバガバなんですけどっ！？
光,キノコの苗床！
柑奈,じゃあそれでっ！
乃々,適当過ぎません！？喜びそうですけど！
P,おいっ！もっとステッカーとかボールペンとか、安そうなのにしろっt…
ちひろ,しっ
P,すたどっ！？
光,にんにく注射っていうのは聞いたことあるけど、スタドリ直接注入するのはどうなんだろう……？
P,…………
乃々,バラした！ぶっちゃけたんですけどっ！
光,気になる
柑奈,気にせずＰさんのポケットマネーから景品を！はい直感で！光ちゃん！
乃々,Ｐさん全額負担になってますっ！？
光,えーっと？……指輪？
柑奈,それだっ！
乃々,それだじゃないんですけどっ！？
柑奈,ＰＮ"深紅の絆"さんにはプロダクションのプロデューサーさんから指輪が贈られま
乃々,しーえむ！CMか何か曲流して下さいっ！。なぜさだまさし……
柑奈,次は普通のお便り、ふつおたのコーナー！
光,お悩み相談も可！
乃々,普通だ……いえ普通でいいんですけど
柑奈,まずラブ&ピースに一通目。しね
光,では次のお便り！
乃々,ラブ&ピースはっ！？今すっごい毒吐いたんですけど！？
柑奈,あはははまっさかー！
乃々,でも、死ねって……
柑奈,しあわせね、って言ったんですよ。声が小さいからマイクが拾い損ねたんですね
光,しかたないね。！？。あー、そういえばそうだった……
乃々,……なるくぼ。……お昼はお友達と、夜はひとり寂しく過ごしましたヨ？
柑奈,適当だ！
光,フリだけだ！
柑奈・光,何があった！？
乃々,次のお葉書です。あ、Twitterでも募集してるんですね……なになに……
柑奈,机の下から手を伸ばして！
光,ついに仕切りだした！乗っ取られるよ柑奈さん！
乃々,ＰＮ"一昨年の鏡餅"さん
光,カビてそうなピースフルネームだ
乃々,大したことではないのですが、最近悩みがあります
柑奈,悩みに大小はないよ！どしどし！
光,どしどし！
乃々,わたし、夜お散歩ながらに公園で歌を口ずさむのが日課なのですが、最近サラリーマン風の人が毎日のように声を掛けてきてちょっと困っています
柑奈,……大したことあるくない？
光,ちょっと犯罪に繋がりそうな……悪の気配が……！
乃々,最初は無視してたのですが、途中から差し入れに食べ物を色々持ってきてくれるようになったので、段々拒絶しにくくなってきました。……美味しいし
柑奈,アウトアウト！
光,受け取っちゃダメ！食べちゃダメだ！
乃々,帰りしなに次は何かリクエストある？
柑奈,結論そこっ！？悩みってそれっ！？
光,マンネリ化するくらい馴染んでるし！
柑奈,そして漂うちょいＳ気質！
光,不健全！助けてヒーロー！助けてライダーっ！。動じずすすめたっ！？
柑奈,乗っ取られる乗っ取られる！
乃々,では次のお便r…
柑奈,ここで一曲挟みます！
光,ストップ机の下傘下っ！
乃々,…………。……なぜさだまさし
柑奈,ここで趣向を変えて新コーナーむっチャレンジ！
光,わー！どんどんピーピー！ひゅーひゅー！
柑奈,どうぞお入り下さいっ！氏家むつみちゃんでーす！
むつみ,どうもどうもー♪お呼びいただき、ありがとうございまっす！
乃々,あー、むっって……。漠然！アバウトなんですけどっ！
光,ゆるふわ時空効果:相手と自分の全ユニットが８ターン停止する
乃々,なんの意味があるんですか、それ……
むつみ,…………
乃々,あ。むつみちゃんが真顔で待機してるんですけど
むつみ,……こほん。今日はチャレンジと称して恩人であるＰさんにお礼がしたいと思っていますっ！
乃々,……恩人？
むつみ,アイドル活動がとっても楽しいのでっ。そろそろ恩返しがしたいなって！
乃々,……なるくぼ
光,気に入ったんだね、それ。あと、乃々ちゃん、なんか目が怖い
柑奈,具体的には何するんですか？幸いＰさんはそこの隅っこ、スタドリ直入で痙攣してるけど
光,幸いかなぁ？
むつみ,志希さんと晶葉ちゃんとちひろさんのご協力でこんなモノを用意してきました！
光,やばそうな名前が！
柑奈,なんですかこれ……瓶？
乃々,瓶にマル危って書いてあるんですけど
むつみ,感度が３０００倍になるマッサージオイルだって！ねっ！すごい！効きそう！
乃々・柑奈・光,すっごい！(ヤバそう！)
むつみ,お疲れで眠ってるんですね！なら幸い！
乃々・柑奈・光,幸いかなぁ？
P,！？！？
むつみ,わぁーっと、もみっとー♪ふんふふーん♪
柑奈,さてふつおたのコーナーも終わったので次に行きましょう！
乃々,あ……さっきの新コーナーはなかったことにしていくんですね……
光,普通に放送事故沙汰だったしね
柑奈,何のことでしょう？では次は恒例質問箱のコーナー！
乃々,目の前で繰り広げられる惨劇を華麗にスルー……
光,ラブ&ピース、だね！
乃々,そこに正義はあるんですか……？
光,これは気になる。……実家帰るの？
乃々,おじいさん……ですか。仲がいいんですね。！？
光,………
柑奈,まぁ、生きてるんですけどね、爺っちゃん
乃々,生きとるんかいっ！なんですけどっ！
光,たまにこの番組にもお便りくれるしね
乃々,ただの孫スキーじゃないですかっ！
光,隔週くらいで
乃々,それはハガキ職人に片足突っ込んでいませんか？。それならそれで紛らわしいこと言わないで欲しいんですけど！。形見多っ！その呼称やめません！？
光,さすがに苦情が来てやめたけど、少し前まで"今日の形見"ってコーナーもあったからなぁ……
乃々,そりゃ苦情も来るんですけど……
柑奈,爺っちゃん本人はあのコーナー、なんでなくなったん……？ってちょっと寂しそうでした
乃々,そ、そう言われると続けるべきだったような気もしてきます……
柑奈,なんか乃々ちゃんに見下された気がする！
乃々,き、気のせいなんですけど
柑奈,目を逸らした！
光,それはいつものことだけどね
乃々,そ、それでは次のお便りぃ～
柑奈,逃げるな！ピースフルベアハッグ！。誰が力士かっ！あっ、乃々ちゃん良い匂い。森っぽい！
乃々,って、カエルの話題、拾うの早くないですかっ？
柑奈,実は今回の収録の模様はネットで公開中だからね～
光,……どんな人が好きなんですか？だって。ついでに光ちゃんと乃々ちゃんのも教えて下さいとも
柑奈,好みのタイプかぁ～。あんまり深く考えたことないなぁ～
乃々,ラブが口癖の割にそうなんですね……。………
光,………
乃々,ま、まとも……模範解答っぽいんですけど……！
柑奈,そこまで驚くことっ！？正直に答えたよ！
光,………
乃々,なるくぼ
光,……強くて優しい人かな
柑奈,おおー！
光,行動力があって勇気があって……ノリが良かったり明るかったり……それでいて包容力もあったら……理想的？
柑奈,なるほど。やっぱり、ヒーロー！って感じの人かー！
乃々,…………
光,……時に悩みながらも何かを追い求めてる人ってかっこいいよね！
柑奈,わかるわ！
光,あと人の感情の機微に敏感だと完璧なんだけどな！
柑奈,鈍感な人の相手は大変そうだもんね！
光,ついでに歌が上手かったり楽器を扱えたら……すごい！憧れる！
柑奈,一緒に歌ったり演奏できたら楽しそうですねー！
光,あと人の感情の機微に敏感だと完璧なんだけどな！
柑奈,なんで２回言いました！？
光,なるほど
柑奈,そこも参考にしない！
乃々,もりくぼアンダーデスク相談室は年休363日くらいで営業中ぅ……
光,また色々相談しに行くよ！
乃々,これも柑奈さんの完コピで申し訳ないのですが……もりくぼちょっぴり被虐趣味な所があるので、上手にいぢめてくれる人だとなお良いです……
光,では続いて次のお便りＰＮ"反故板"さんから！
乃々,さっきから微妙にお正月っぽいピスネばっかりなんですけど
柑奈,ピスネ！？
光,もう乃々ちゃんレギュラーで良くないですか？
乃々,良くないんですけどっ！？
柑奈,文句言いつつもノリノリで仕事こなすからねー……
光,さらに続けるよ！ＰＮ"ずんだ餅"さん、柑奈さんに質問です
乃々,また餅なんですけど！ていうかもりくぼの台詞拾われてる！？
光,柑奈さんは一応アイドルなんですよね？
柑奈,そうだけど一応って！？
光,歌はお好きですか？
柑奈,はい。大好きです！
光,アイドルって楽しいですか？
柑奈,大変な事もあるけれどそれも含めて楽しいです！
光,もしアイドルになる道にためらってる子がいたらあなたは手を引いてくれますか？
柑奈,どんとこい！。夜の公園の子だっ！？
乃々,この番組でリクエストされても困るんですけど！？
光,自由だなー……
