白菊ほたる,ぐすっ……ごめんなさい……ごめんなさい……！！
プロデューサー,泣くんじゃない、ほたる。多分お前が悪いんじゃないということは、よく解っているから
ほたる,でも……！
愛海,そうそう。あたしたちは大丈夫だからね？だから、何故こんなことになったのか、落ち着いてはじめから説明してくれる？
ほたる,ぐすっ……は、はい！
Ｐ,ほたるはいい子だなあ。今すぐ頭を撫でて上げられないのが残念だ
ほたる,////
棟方愛海,照れた顔もかわいいよねえ
Ｐ,ほんとになあ
ほたる,と、とにかくですね
Ｐ,うん
ほたる,この事務所にお世話になって、皆さんによくしてもらって――私、このごろとても幸せで
愛海,笑顔も増えたよなあ
ほたる,それで――思い切って、髪を延ばしてみたんです
Ｐ,それでこのごろ伸ばしてたのか。だが、なぜ幸せになったからって髪なんだ？
ほたる,実は私、以前は髪を伸ばしていたんです。でも、髪のせいで危ないことが続いたから、これはいけないと思って
愛海,きっと、切るのつらかったよね……
ほたる,はい……でも、このごろは私の周りで不幸なことも危険なことも起こらなくなってきたし、もしかしたら、って思って
Ｐ,なるほど、それでもういちど伸ばしてみようと考えたわけか
ほたる,はい。みんなも、愛海ちゃんも薦めてくれて
愛海,だってほたるちゃん、絶対ロングヘア似合うと思ったから！
ほたる,ありがとうございます……今の事務所でなら、伸ばしても大丈夫かなって思ったんです
Ｐ,伸ばしてる間、鏡をみるたび嬉しそうにしていたな。見ているこっちも嬉しい気持ちになったよ
ほたる,でも、やっぱり伸ばしてはいけなかったんです。だってうねうね
Ｐ,空中でほたるの髪にギリギリ締め上げられている
愛海,空中でほたるの髪に逆さ吊りにされている
ほたる,まさかまた、こんな風に皆さんを危険な目にあわせてしまうなんてわっと泣き崩れる
Ｐ,危険ってほたるじゃなく回りが危険だったのか、うーん苦しい
ほたる,長く伸ばすと何故か時々にゅっと伸びて、周りの人を締め上げるんです……！！
愛海,たまげたなあ。なんだか頭に血が上ってきちゃったなあ
ほたる,ごめんなさい……こうなると私の意志では髪をどうにもできなくて
Ｐ,ほたるは平気なのか
ほたる,実はけっこう首がキツいです
愛海,人間２人持ち上げてキツいで済むのってすごくない？
ほたる,不幸も減ったし、今ならもうこんな怪現象には悩まされないかもしれないと思っていたのに。やっぱりもう、髪を伸ばしたりするべきではなかったんです……！！
Ｐ,うーん否定しづらい
愛海,あたしは勿体無いと思うけどなあ。ほたるちゃんの髪綺麗だし。やっぱロングヘア似合うし
Ｐ,それは確かにそうなんだが――ああいや、それより不味いな
ほたる,まずい？
Ｐ,今事務所に俺たちしか居なかったからいいが、他の子たちが戻って来るとまずいだろう
愛海,あー
Ｐ,俺や愛海はギャグ方面の出身だから平気なんだが、そうでない子はほたるに悪気が無くても、こうして締め上げられたら怪我してしまうかもしれん
ほたる,そ、そんなの絶対に嫌です！
Ｐ,ほたる、外回りに出てる子たちに連絡して、今日は事務所に戻らず直帰するように――
高森藍子,ただいま戻りましたードアガチャー
Ｐ,タイミング悪い！！
藍子,えっ、これは一体
ほたる,藍子さん、逃げてください！私の髪が……！！
藍子,きゃあ――って、あれ？
ほたるヘア,藍子に見向きもせずＰと愛海を締め上げている
Ｐ,なんだと
ほたる,良かった、藍子さんを傷つけなくて――でも、何故？
藍子,あの、一体これ、何がどうなっているんですか
愛海,かくかくのしかじかなんだよ
藍子,なるほどほたるちゃんの髪がそんなことを。納得です
Ｐ,納得が早い
藍子,ほたるちゃんの髪ってちょっと神秘的な色合いですから、そんなことがあっても不思議でない気がします
愛海,あ、それちょっと解る。なんとなく紫がかって見えるっていうか
藍子,それに真っ直ぐでとっても綺麗。私、ちょっと癖があるから羨ましいな
ほたる,えへへ
Ｐ,そこ、暢気に照れてるんじゃない
愛海,しかし、無差別に締め上げるわけじゃないんだね。これどうなってるんだろ
依田芳乃,簡単なことでしてードアガチャー
Ｐ,やった解決芳乃ちゃんだ！
愛海,おたすけよしのん登場だ！
芳乃,人を便利キャラのように扱うとー、ひどいですよー？
Ｐ,具体的にどうひどいの
芳乃,泣きますー
愛海,ごめんなさい
Ｐ,ごめんなさい許してくださいでも助けて！
芳乃,まあ、助けるつもりで来たのも事実なればー。水にながしましょー
