本田未央,おっはよー！今日も暑いねー……あれ？
渋谷凛,……この問題は……この公式で……
未央,あ……、しぶりん、勉強中だ！何の教科だろ？公式とか言ってるし、数学かな……？。なんで！？！？！？
凛,わっ！なんだ未央か……、ビックリさせないでよ
未央,いやこっちのセリフだけど！？図工って！
凛,え？ああ、これはフェイクだよ、ほら下に別の教科書が
未央,そ、そうだったの？じゃあ下にあるのが本当に勉強してた教科の……。教科書ですらなくなった！！！
凛,ふふっ、冗談だよ。本当は数学
未央,だ、だとしても意図が掴めないんだけど
凛,だって、事務所で数学の勉強してるのってなんか恥ずかしくない？
未央,絵本の方が数百倍しぶりんの評価を地に落とすよ？。この時期ってことは、テスト勉強？
凛,うん、ちょっと危なくってね
未央,あれ？そうなの？平均点を下回りそうとか？
凛,いや、まあ、俗に“RedPoint”と呼ばれるラインにはなるかな
未央,へ？。Red→赤Point→点……。赤点！？
凛,“RedPoint”って言ってるでしょ！？
未央,うるさいな！なんでかっこつけるの！？
凛,だから、ちょっと勉強、見てくれない……？
未央,ええ……。私もそんな成績優秀ってわけじゃないけど……
凛,イヤミか貴様ッ！！！
未央,あんまり言いたくないけどそれが人に頼む態度かな！？
凛,お願い！ミオでれら！
未央,なんでそんな“ドラえもん”みたいなひらがなカタカナのバランスなの
凛,はっきり返事してくれないかな！？
未央,もうただの情緒不安定じゃない！？。えっと、どの教科が危ないの？
凛,逆にどれが危なそうにみえるかなぁ？ねえねえ！どれ？？？
未央,全部だよ全部
凛,よくわかったね
未央,ここは外れていてほしかったのに……
凛,世の中そんなに甘くないんだよ
未央,誰の目線に立てばそんな無責任な暴言が出てくるの。ってか全部って！
凛,もちろん、そんな時間はないから、主要科目だけお願いできるかな
未央,えっと、現代文、古典、英語、生物とか？
凛,そうそう、あと数学Cとか、地理Dとか、物理BBとか
未央,そんなのないよね！？なんか栄養ドリンクっぽくなってるけど！？
凛,オロナミオCとリンポビタンDってコラボしたら売れそうじゃない？
未央,割と売れそうだから困る
凛,じゃあ現代文からいこうか
未央,はいはい、そっちのテスト範囲はどこなの？
凛,なんかババアが髪の毛抜いてるやつ
未央,羅生門ね
凛,話が早くて助かるよ
未央,そのままこの会話を終わらせたい気分だよこっちは。こういうのは、作者について聞く問題が一個は出るモノなんだよねー
凛,芥川龍之介の担当アイドルとか？
未央,担当なんているか！！！
凛,菜々さん安定かな
未央,もうホント単純に失礼だよね
凛,じゃあどんなことが聞かれるかな？
未央,んー、例えば、これ以外の代表作を答えろって聞かれたらわかる？
凛,揖保乃糸
未央,蜘蛛の糸！！！
凛,惜しいね……！
未央,惜しくない！いつ芥川がそうめんの購入を促進したのさ！！！
凛,もうそこは捨てるからさ、内容にいこうよ
未央,諦めるの早すぎないかな
凛,このババアの担当アイドルとか
未央,だからいないって！よしんばこのお婆さんに推されて嬉しいの！？
凛,ファンの人、ひとりひとりを大切にしなきゃね
未央,急にアイドルみたいなセリフ言うのはなんなのさ！？
凛,いや、アイドルだし
未央,じゃあせめてババア呼ばわりはやめときなよ
凛,わかったばばあよ
未央,語尾
凛,もう現代文は捨てるからさ、別の教科いこうよ
未央,この流れだと全教科が捨てられそうだけど
凛,英語！
未央,だってしぶりん絶対英語とかできなそうじゃん！
凛,なんで！？……あっ違う、WHY！？
未央,そうやって単語で満足してるからでしょ！？
凛,ジーザス……
未央,もはや英語表記すら諦めちゃったよ
凛,未央、知ってた？英語力は単語力なんだよ
未央,パーツを集めても繋ぐ方法がわからないくせに
凛,例えば日本語でも、卯月すごいやばいって感じでも言いたいことは伝わるでしょ？
未央,肝心の単語力もボッロボロだけど！？
凛,だから、英単語のクイズを出してよ
未央,しょうがないな……。Shine
凛,死ね！
未央,全力で正面突破するのやめてくれない！？。持ち歌なのに！
凛,次！
未央,よくそのテンションを保てるね！？……じゃあApple
凛,iPod！
未央,関連商品を紹介するな！！！
凛,次！
未央,Japan！
凛,アメリカの
未央,皮肉るな！！！。これ以上やっても無駄だよ！しぶりんボケてばっかだもん！
凛,しぶりんはボケた馬鹿だもん！？酷いよ未央！
未央,酷いのはそっちの耳じゃなくて！？
凛,これでも聴力検査はクラスで1.2を争う成績だよ
未央,あれ多分クラス30人くらい同率で1位だと思うよ
凛,やっぱり、同学年に教わるのは上手くいかないね。範囲とか違うだろうし
未央,しぶりんはそれ以前のレベルだけどね？
凛,しぶりんは幼稚園
未央,被害妄想やめてよ！文章を補いすぎでしょ！？
凛,こんなときに卯月がいてくれたら……
島村卯月,こんにちは！
凛,卯月！
未央,もうなんにも言わないよ私は
凛,卯月！勉強教えて！
卯月,はい！お任せください！志望校はどこの医学部にしますか？
未央,その野望はなんなの？ドラゴン桜なの？
凛,駅から近いとこがいいな。あとコンビニ
未央,そんな部屋を借りる感覚で医学部を！？
卯月,あ！海外の名門もよかったですよ！
未央,まるで行ったことがあるかのような！？
凛,ならアイオワ州立大学！
未央,またかよ！！！そのアメリカ中西部への憧れはどこからくるの！？
卯月,じゃあ、どの教科のテスト問題を流出させればいいんですか？
未央,そういう方法は望んでないから！！！
凛,全教科を……
未央,プライドはないのか！！！
凛,というか、高校生の勉強を卯月に聞くなんて、草野球やりたいからイチローに弟子入りするくらい大それてるよね
未央,無駄に的確な例えで締めないでよ……
