平手大地,３９
テロップ,J2ユナイツ千葉―東京コラジョーゾ。平手大地３９
平手,何てことだ……。昔の俺なら、こんなあっさりゴールをさせなかったのに……。衰えが目立つようになった……。俺も……年を取ったのだろうか……。若いころの俺は……、もっと身体が身軽に動いていたはずだったがな……
喪黒,平手さん、サインをお願いします
平手,ど、どうも……
喪黒,私はあなたの復活を信じていますよ
平手,あ、ありがとうございます……！
テロップ,東京コラジョーゾ―グランデアーヴォリ町田
東京サポーターたち,たかーみざーわ♪たかーみざーわ♪。あああ……！！！
平手,今日の試合……！！俺がしっかりしていれば、相手のゴールを許すことはなかった……！！。ちくしょおおおおっ！！！
喪黒,夕方のさっきの試合……、惜しかったですなぁ
平手,あ、あなたは……！！なぜこんな所に……！！
喪黒,思い出してください。ほら、昼間のサイン会であなたは私と会ったでしょ……！
平手,ああ……、サポーターの方ですか……！！
喪黒,いやぁ、自己紹介が遅れました……。私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
平手,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
平手,は、はあ……
喪黒,あなたの心にも、スキマがおありのようですからねぇ……
平手,ああ、見ての通りですよ……。ここ最近の試合結果……。俺がふがいないせいで、チームはこんなことに……
喪黒,いえいえ……。平手さんは、かつては日本代表のメンバーにも選ばれたことがある逸材……
平手,そりゃあ、どうも……
BAR,魔の巣
平手,アルコールはいりません。トマトジュースを頼みます
喪黒,体調管理のためですか。感心ですなぁ……
平手,まあ……、体調管理に気を使うようになったのはここ最近のことですから……。今は寮生活で食事もバランスが取れていますけど……、昔の俺は食生活がメチャクチャでしたし……
喪黒,でも、若いころなら多少不健康な生活をしても、身体はピンピンしていたでしょうなぁ
平手,その通りですよ……。ですがね……、身体は正直なもんですよ……
喪黒,ある程度、年を取ってから一気にガタがくるのが人間ですからねぇ……
平手,ええ。若いころに比べると身軽な動きができなくなったし、いろいろ衰えが目立つようになりましたからね……
喪黒,それだけでなしに……。年をとると目に衰えが現れてくるものですからね。例えば、老眼、動体視力の衰え……
平手,はい。目の衰えまで出てくると、もう……。ゴールキーパーを続けるかどうかに関わりますからね
喪黒,まあ……。こう言っては失礼な質問になりますが……。引退を考えたことはありますかね？
平手,うーん……。年齢的に引退も一時は考えましたよ……。とはいえ……ね。何よりも気がかりなのは……
喪黒,今のJリーグは、外国人のゴールキーパーが増えていますからねぇ
平手,そうですよ！外国人キーパーの活躍の影響で、今の日本はゴールキーパーが手薄なポジションになっているんです！
喪黒,平手さんが引退したら……、ただでさえ少ない日本人ゴールキーパーが一人減ることになりますよねぇ
平手,だから、俺はまだまだ引退するつもりはありません！！……ですが、どうしても身体が言うことを聞いてくれなくて
喪黒,なるほど……。サッカー選手として復活できれば、あなたは本望でしょうな
平手,できることなら……！できることなら、それに越したことはありませんよ！！でも、果たしてそんなことが……
喪黒,できますよ。あなたのために、私がいいものをあげましょう
平手,これは……！？
喪黒,最新のサプリメントですよ。名前はホイシュレッケRです
平手,ホイシュレッケ……、ドイツ語でバッタですか
喪黒,そうです。名前の通り、このサプリメントにはバッタのエキスが含まれています
平手,へえ……。これはなかなかよさそうですね……
喪黒,年を取って、身体のあちこちに衰えが目立つようになったあなたには……。ぴったりの品物です
平手,ええ……。おっしゃる通りですよ
喪黒,それにです……。脚を使うサッカー選手の仕事に……、健脚を持つバッタの名前のサプリメント……
平手,ハハハ、面白いことを言いますね。そこまで言われると、このサプリ欲しくなってきましたよ
喪黒,じゃあ、今回は特別にこのホイシュレッケRを無料でプレゼントしましょう
平手,いいんですか！？こんな高そうなものを……
喪黒,これは、あなたの復活を願う私からの気持ちです。だから、服用する際は約束を守ってください
平手,分かりました、喪黒さん。じゃあ、帰ったらさっそくこのサプリ服用してみますよ！
喪黒,どうも、どうも……
平手,このサプリで俺の選手生命が延びるのなら御の字……。続けてみるか……。気のせいかな……？今日の俺はいつもよりも体調がよさそうだ……
テロップ,J2ベルクーツ金沢―東京コラジョーゾ
平手,よしっ……！！
テロップ,J2京都カーネヴィオラ―東京コラジョーゾ
平手,やったぞ……！！
