色々アレなモバＰ,以降Ｐ表記
芳乃,でしてー
Ｐ,いやぁ凄いぞ芳乃！部門別なら１位だしな！もう芳乃の時代と言っても過言じゃないぐらいだ。明日から年号が芳乃
芳乃,過言すぎますー
Ｐ,これでヨシノリウムが足りないＰにも芳乃の声が届くようになるんだぞ！
芳乃,一体何のお話でしょうー
Ｐ,いやー本当に嬉しい。ドライブのＶシネの第二弾が発表された事より嬉しいぞ！
芳乃,そこまで喜んでいただけるのならー、わたくしも喜ばしきかなー
Ｐ,なんだろうなぁ、この気持ち…うん、胸がいっぱいになるって、こういう事を言うんだろうなぁ…
芳乃,泣かないでくださいー、そなたの涙は見たくないのでー。笑顔でいてほしいのでー
Ｐ,グスッ…ゴメンよ五代さん
芳乃,依田さんちの芳乃ですー
乃々,あ、あの…ここに４位もいるんですけど…
Ｐ,おぉ森久保ぉ！お前も凄いじゃないか偉いぞ森久保ぉ！
乃々,ひぃぃっ！
Ｐ,ほーらお前も胴上げだぁーっ！第４位おめでとう森久保ぉぉぉぉ！！
乃々,ひぃぃぃっ！ど、胴上げって人をボールみたいに放り投げる事じゃない筈ですけど！
芳乃,意外に力持ちなのでしてー
乃々,お、女の子とは言え人２人をまるでお手玉のようになんですけど！？
Ｐ,いやぁ嬉しい、本当に嬉しいぞ…おっちゃん感激しすぎてそろそろ手が疲れてきたわ
乃々,だったら無理せず下ろして欲しいんですけどぉぉぉ！
芳乃,ほー
Ｐ,ただいまー
芳乃,おかえりなさいませー。そしてただいまですー
Ｐ,うんおかえり
乃々,何ですかその茶番…あ、お、お邪魔します…
Ｐ,けど本当にウチでお祝いでいいのか？もっと豪勢にロイホとかでも良かったのに
乃々,奮発してもファミレスなんですか…４位もりくぼは庶民の味方お手頃価格でお祝いですか…
Ｐ,いや冗談だけど
乃々,も、もりくぼも冗談です…
芳乃,お二人だけで遊ぶのはずるいのでー
Ｐ,はいはい、ちゃんと平等に構いますよ
芳乃,へにゃっ
乃々,い、今更ですけど…本当に打ち上げ抜けてきて良かったんですか…？もりくぼと芳乃さん、入賞者なんですし…
Ｐ,大丈夫。みんなも乃々のことだからどっかに隠れちゃったんだ
乃々,日頃の行い…
Ｐ,ちなみに芳乃はちゃんと分身が会場に残っているから問題ありません
芳乃,ませんー
乃々,そのチートスキル教えて欲しいんですけど
Ｐ,お前が増えても全員隠れるだけだろ
乃々,あっ…じゃ、じゃあプロデューサーさんは、残らなくても良かったんですか…？
Ｐ,ハハッ、そりゃもちろん。後日個別にお祝いする事で許してもらいました
乃々,許されてないんですけど
芳乃,努々ー、刺されぬようにー
Ｐ,森久保はうちに来るのは初めてだっけか？
乃々,い、いえ…前に一度、雨風が凄い日にお天気リポーターのお仕事だった時に…
Ｐ,ああ、うちのベランダに飛んできてたっけ
乃々,死ぬかと思いました…
Ｐ,…森久保も案外輿水チャレンジみたいな企画出来そうだな
乃々,やめてくださいもりくぼはアイドルなんですけど
Ｐ,幸子も一応はアイドルだよ
芳乃,お買い物したものをー、冷蔵庫に入れてきましたー
Ｐ,ん、ありがとな。っていつのまに着替えたの芳乃さん
乃々,ぴにゃこら太パジャマ可愛いんですけど
Ｐ,森久保も着替えるか？ずっと正装のままじゃくつろげないだろ
乃々,えっ？で、でも、もりくぼは着替え持ってないんですけど…
芳乃,ここにご用意してありますー
乃々,いつの間にですけど！
Ｐ,んじゃ俺何か適当にオヤツでも用意しとくから着替えておいで。その辺の部屋適当に使っていいから
乃々,うぅ…ひ、人の家で着替えるのって割とハードル高いんですけど…
Ｐ,人のデスクの下のハードルは低いのかい
乃々,あそこはもりくぼの自宅のようなものですけど
Ｐ,俺の足を延ばすためのスペースですけど！？。面倒臭い。芳乃、このリス娘を着替えせさせてやりなさい
芳乃,あいあいさー
乃々,えっ？ちょ、一人でっ、一人で着替えられますけど…！
芳乃,よきかなよきかなー
乃々,い、意外と力強いんですけど！？て、抵抗むぅーりぃー…！
Ｐ,さてと、この隙に何か作っておくか。…冷蔵庫の中が歌舞伎揚げで埋め尽くされとるがな
芳乃,お着換え完了いたしましたー
乃々,うぅ…もうお嫁にいけません…
Ｐ,ウチの娘は嫁にやらん
乃々,こんなお父さん嫌です
Ｐ,何で真面目なトーンでハッキリ拒絶するの…？。けど色違いぴにゃこら太パジャマ可愛い
芳乃,何やらー、美味しそうな匂いがー
Ｐ,んー？ああ、ちょっとオヤツをと思って
乃々,な、何ですか甘くて香ばしい匂い……手羽先ですか？
Ｐ,森久保にとって手羽先はオヤツなのかよ
芳乃,歌舞伎揚げですのでー？
