・春香さん…家事を完璧にこなせる、千早ちゃんの通い妻(介護要員)。料理の腕は、美食家いおりんが,やよいと一緒に、うちに専属で来なさい！
・雪歩…途中参加。皆ともっと仲良くなりたがっている。,雪歩スペシャル
千早,…
春香,…
千早,…
春香,ん？はい、千早ちゃん
千早,ありがとう、春香。良く分かったわね
春香,そりゃあ…コタツに入って欲しいものと言えばねー
美希,ミキにも蜜柑～…
春香,起きたらあげるよ
美希,んにゅ～…
春香,はいどうぞ
美希,ありがとうなのー♪。美味しいの♪
千早,美希ったら…でも、コタツの中で食べる蜜柑はどうしてこんなに美味しいのかしら？
春香,それは、蜜柑に含まれているﾐｰｶﾝαが、コタツで温まった身体の温度に反応して、口の中で甘味成分に変わるからで～す
千早,そんな適当な
美希,それ、誰が言ってたの～？
春香,小鳥さん
千早,やっぱり
美希,小鳥は最近更に迷走してるの～…
春香,仕方ないよ…ついに来年は大台らしいから…
千早,ついに…
美希,正直な話、小鳥はまだ２０代前半で通じると思うの…
千早,気にし過ぎなのよね…
春香,ねー。前にお仕事遅くなって、スーパー銭湯に一緒に行ったんだけどさぁ…
ちはみき,ふむふむ
春香,ふぇ～…今日も疲れたぁ
音無,ふふ、お疲れ様。ここの電気風呂とか、疲れた身体をほぐしてくれるわよ
春香,…
音無,な、何？春香ちゃん…
春香,小鳥さん、スタイル超良いですよね…
音無,ええっ！？そ、そんなこと無いわよ
春香,何というか、出過ぎず、引っ込み過ぎず…しかも肌ツルツル…むむむ…
音無,ちょ、変な所つつかないで！…んもぅ！苦労してるんです！ほら、入りましょう！風邪引いちゃうわ！
春香,あれはズルい
美希,おっぱいは勝ってるけど、全体的なスタイルは負けてる気がするの…
千早,ノーコメント
春香,なんかね、おっぱいとかお尻じゃなくて、足、しかも太もも
美希,ああ…分かる気がするの
千早,何というか、むちむちだけど、太いという訳じゃないのよね
美希,エロいの
春香,うん、エロい
千早,同意だわ
美希,あの制服のぴっちり感とか、口元のホクロとか
千早,たまに見せる大人の雰囲気とか
春香,結論。美人事務員の音無小鳥さんはエロい
美希,エロいの～
千早,異議無しだわ
春香,わー
美希,わーなのー
千早,わ、わー…
春香,…
美希,…
千早,…
春香,お茶淹れてくるねー
美希,この寒さの中、コタツから躊躇無く出る勇気…春香、ナンバーワンなの…っ！
春香,んな大袈裟な
千早,春香、蜜柑の買い置きもお願い
春香,ここ、千早ちゃんの家だよね？…私の方がどこに何があるか分かるの、おかしくない？
美希,多分、ミキも千早さんより詳しいの
千早,いいじゃない、私は気にしないわ
